title,album,track,year
boys don't cry,boys don't cry,1.0,1980.0
when i dream of michelangelo,saturday nights &amp; sunday mornings,9.0,2008.0
humahuaque&ntilde;o-quebrade&ntilde;o,folklore latinamericano vol. ii,,
one rock 'n' roll too many,,,2008.0
man on the moon,automatic for the people,10.0,1992.0
closer to free,go slow down,1.0,1993.0
shenandoah,on stage,13.0,1997.0
my life,52nd street,3.0,1978.0
the promise,when in rome,1.0,1988.0
walking on broken glass,diva,2.0,1992.0
special,version 2.0,5.0,1998.0
playdough,the return of the aquabats!,1.0,1996.0
testify,testify,2.0,2007.0
maggie may,every picture tells a story,7.0,1971.0
vivir sin aire,donde jugaran los ni&ntilde;os?,4.0,1992.0
with or without you,the joshua tree,3.0,1987.0
path of thorns,mirrorball,8.0,1999.0
baby it's cold outside,a winter romance,9.0,1959.0
experimental film,the spine,1.0,2004.0
can i borrow a feeling?,go simpsonic with the simpsons,47.0,1999.0
shadow of the day,minutes to midnight,5.0,2007.0
it's no good,ultra,4.0,1995.0
screaming infidelities,the places you have come to fear the most,2.0,2001.0
carmen suite no. 1,,,
hold on,the young and the hopeless,8.0,2002.0
cupid,on and on,6.0,2003.0
men in black,big willie style,16.0,1997.0
banana pancakes,in between dreams,3.0,2005.0
freshmen,villains,7.0,1996.0
if she only knew,faithful,7.0,1994.0
candle in the wind,goodbye yellow brick road,2.0,1973.0
polonaise no. 6 op.53 (heroic),,,
wanna b ur lovr,poodle hat,6.0,2003.0
ce fut en mai,,,
by the way,by the way,1.0,2002.0
she drives me crazy,the raw &amp; the cooked,1.0,1989.0
if i was your woman,,,2008.0
fuera de m&iacute;,mtv unplugged (la ley),14.0,2000.0
flagpole sitta,where have all the merrymakers gone?,2.0,1998.0
1999,1999,1.0,1982.0
it's my life,crush,1.0,2000.0
tucker's town,fairweather johnson,3.0,1996.0
theme from flood,flood,1.0,1990.0
thunderbird,the spine,6.0,2004.0
i got a woman,ray charles at newport,3.0,1954.0
everything to everyone,so much for the afterglow,2.0,1997.0
robot parade,no!,3.0,2002.0
do you believe in love,picture this,6.0,1982.0
do da da,shenanigans,12.0,2002.0
porcelain,analog heart,6.0,2006.0
desensitized,shenanigans,2.0,2002.0
dance of the sugar plum fairy,,,
lay all your love on me,super trouper,9.0,1980.0
santa monica,sparkle &amp; fade,4.0,1995.0
all the small things,enema of the state,8.0,1999.0
whatever it takes,house of love,3.0,1994.0
butterfly,gift of game,6.0,1999.0
someday,14:59,6.0,1999.0
my soul hungered,book of mormon soundtrack,2.0,1994.0
let go,analog heart,8.0,2006.0
where your eyes don't go,lincoln,6.0,1993.0
superstar,,,2008.0
i come from the water,rubberneck,7.0,1994.0
come to my window,yes i am,3.0,1993.0
hold on to the child,faithful,2.0,1994.0
burndt jamb,maladroit,7.0,2002.0
tales of a scorched earth,mellon collie and the infinite sadness - twilight to starlight,6.0,1995.0
silly little pop song,fairweather johnson,11.0,1996.0
fashion zombies!,charge!!,2.0,2005.0
daddy,pieces of you,12.0,1995.0
stars,les mis&eacute;rables soundtrack,16.0,1995.0
spider,severe tire damage,11.0,2006.0
winter - 1st movement,,,
jack and diane,american fool,2.0,1982.0
monkey business,monkey business,9.0,
crazy little thing called love,the game,5.0,1980.0
maneater,h2o,1.0,1982.0
imagine,imagine,1.0,1971.0
yesterday,ii,13.0,1994.0
don't tell me,music,7.0,2000.0
all i want is more (clean),turn the radio off,11.0,1996.0
stay with me,stay with me,,1984.0
secret,songs about jane,9.0,2002.0
push,yourself or someone like you,4.0,1996.0
lullaby,soul's core,2.0,1998.0
silver,analog heart,10.0,2006.0
bleed,collective soul,11.0,1995.0
oh how the years go by,house of love,6.0,1994.0
america,the jazz singer soundtrack,1.0,1980.0
stayin' alive,saturday night fever soundtrack,1.0,1977.0
mississippi,globe sessions,9.0,1998.0
piano man,piano man,2.0,1973.0
my name is (slim shady) (clean),the slim shady lp,2.0,1999.0
private idaho,wild planet,5.0,1980.0
song to make love to,home,7.0,1995.0
macondo,folklore latinamericano vol. ii,,
bring him home,on stage,8.0,1997.0
in the dark,let it rain,4.0,2002.0
inner light spectrum,transistor,5.0,1997.0
the raiders march,raiders of the lost ark soundtrack,1.0,1981.0
goodnight elisabeth,recovering the satellites,5.0,1996.0
rushing,play,6.0,1999.0
it's over,perennial favorites,12.0,1998.0
up up up,gutterflower,6.0,2002.0
stay with you,let love in,1.0,2006.0
innocence maintained,spirit,6.0,1998.0
la adelita,folklore latinamericano vol. ii,,
who will save your soul,pieces of you,1.0,1995.0
warm tape,by the way,15.0,2002.0
borderline,madonna,2.0,1983.0
don't dream it's over,crowded house,4.0,1986.0
stay (wasting time),before these crowded streets,5.0,1998.0
i'll be there for you,friends soundtrack,13.0,1995.0
together again,the velvet rope,11.0,1997.0
here comes the sun,,,2008.0
trouble,parachutes,6.0,2000.0
complicated,let go,2.0,2002.0
attempt on the royals,patriot games soundtrack,2.0,1992.0
west end girls,please,2.0,1986.0
mr. brightside,hot fuss,2.0,2004.0
one by one,a day without rain,10.0,2000.0
walk this way (clean),raising hell,,1986.0
rainy day women #12 &amp; 35,before the flood,3.0,1974.0
what a good boy,rock spectacle,7.0,1996.0
istanbul (not constantinople),severe tire damage,8.0,2006.0
dope nose,maladroit,2.0,2002.0
sweet child o' mine,globe sessions,12.0,1998.0
america,,,2008.0
emily,book of mormon soundtrack,3.0,1994.0
hold on,mirrorball,2.0,1999.0
istanbul (not constantinople),flood,4.0,1990.0
end credits (addams family homage),songs in the key of springfield,36.0,1997.0
no not much,forever plaid soundtrack,5.0,1990.0
first contact,star trek first contact soundtrack,10.0,1996.0
sunny came home,a few small repairs,1.0,1996.0
torn,left of the middle,1.0,1997.0
staring at the sun,pop,5.0,1997.0
everybody hates ned flanders medley (feat. david byrne),testify,17.0,2007.0
a thousand years,brand new day,1.0,1999.0
strange fire,strange fire,1.0,1989.0
angels,,,2008.0
i dreamed a dream,les mis&eacute;rables soundtrack,5.0,1995.0
sgt. pepper's lonely hearts club band,sgt. pepper's lonely hearts club band,1.0,1967.0
everything had changed,are me,7.0,2006.0
i swear,all-4-one,4.0,1994.0
lounge act,nevermind,9.0,1991.0
dime,pressure chief,4.0,2004.0
morning song,pieces of you,7.0,1995.0
white &amp; nerdy,straight outta lynwood,1.0,2006.0
the long day is over,come away with me,13.0,2002.0
go and tell him (soup song),hootie and the blowfish,12.0,2003.0
unbelievable,schubert dip,6.0,1991.0
just a gigolo,crazy from the heat,2.0,1985.0
waltz of the flowers,,,
eleanor rigby,,,2008.0
jenny was a friend of mine,hot fuss,1.0,2004.0
virus alert,straight outta lynwood,6.0,2006.0
pocketful of sunshine,pocketful of sunshine,2.0,2008.0
can't fight this feeling,wheels are turnin',6.0,1984.0
walk on by,prolonging the magic,6.0,1998.0
suddenly seymour,little shop of horrors soundtrack,16.0,2003.0
