LocationDesc,HealthTopic,PolicyTopic,Title,Status,GeoLocation,DisplayOrder,PolicyTypeID
Texas,Nutrition,Appropriations,Farm to School Community Connections Pilot Program,Introduced,"(31.827240407, -99.426770206)",2,LEG
Georgia,Nutrition,Appropriations,General Provisions Relating to Health,Dead,"(32.839681093, -83.627580346)",2,LEG
Virginia,Physical Activity,Bicycling,Land Use Permit Manual,Enacted,"(37.542680674, -78.457890463)",50,REG
Pennsylvania,Physical Activity,Pedestrians/Walking,Private Land and Public Recreation,Dead,"(40.793730152, -77.860700294)",69,LEG
North Carolina,Obesity,Appropriations,Video Gaming and Profit Sharing,Dead,"(35.466220975, -79.159250463)",28,LEG
Kentucky,Physical Activity,Task Forces/Councils,Legislative Research Commission,Enacted,"(37.645970271, -84.774971048)",67,LEG
Oregon,Nutrition,Incentives,Finance,Dead,"(44.567449424, -120.155031326)",17,LEG
Washington,Physical Activity,Pedestrians/Walking,Share The Road License Plate,Enacted,"(47.522278629, -120.47001079)",69,LEG
Tennessee,Physical Activity,Safe Routes to Schools,Traffic Safety,Dead,"(35.68094058, -85.774490914)",64,LEG
California,Physical Activity,Physical Education Requirements,Budget Act of 2011,Dead,"(37.638640123, -120.999999538)",61,LEG
Illinois,Nutrition,Appropriations,Wellness Programs,Enacted,"(40.485010283, -88.997710178)",2,LEG
Colorado,Nutrition,Task Forces/Councils,Incentives Wellness and Prevention Program,Enacted,"(38.843840757, -106.133610921)",23,LEG
Illinois,Obesity,Menu Labeling,Menu Labeling Act,Dead,"(40.485010283, -88.997710178)",41,LEG
Pennsylvania,Obesity,Incentives,Reduced Insurance Premiums,Dead,"(40.793730152, -77.860700294)",38,LEG
Florida,Physical Activity,Bicycling,Growth Management,Dead,"(28.932040377, -81.928960539)",50,LEG
Virginia,Obesity,Appropriations,Overtaking and Passing Vehicles,Enacted,"(37.542680674, -78.457890463)",28,LEG
Rhode Island,Nutrition,Appropriations,School Health and Wellness Programs,Enacted,"(41.708280193, -71.522470314)",2,LEG
Illinois,Obesity,Appropriations,Food Stamp Benefits,Dead,"(40.485010283, -88.997710178)",28,LEG
Hawaii,Physical Activity,Pedestrians/Walking,Blind Pedestrians,Dead,"(21.304850435, -157.857749403)",69,LEG
Michigan,Nutrition,Access to Healthy Foods,"A Resolution Related to Buy Local, Select Pure Michigan Day <br>",Enacted,"(44.661319543001, -84.71439027)",1,LEG
Hawaii,Nutrition,Agriculture and Farming,Task Force for Loss of Agricultural Lands,Dead,"(21.304850435, -157.857749403)",10,LEG
Illinois,Nutrition,Point of Purchase Promotion,Time Minimum for Daily Physical Education,Dead,"(40.485010283, -88.997710178)",20,LEG
California,Obesity,Disparities/Equity,Budget Act of 2011,Dead,"(37.638640123, -120.999999538)",32,LEG
Virginia,Nutrition,Appropriations,Private Home Food Preparation,Dead,"(37.542680674, -78.457890463)",2,LEG
Washington,Obesity,Appropriations,2009-11 Supplemental Transportation Appropriations,Enacted,"(47.522278629, -120.47001079)",28,LEG
Nevada,Obesity,Menu Labeling,Eminent Domain,Enacted,"(39.49324039, -117.071840564)",41,LEG
Hawaii,Nutrition,Agriculture and Farming,Taro Security,Enacted,"(21.304850435, -157.857749403)",10,LEG
Hawaii,Nutrition,Access to Healthy Foods,Child Nutrition Programs,Enacted,"(21.304850435, -157.857749403)",1,LEG
New Jersey,Nutrition,Farm Direct Foods,"""An act concerning produce served in schools, and supplementing chapter 33 of Title 18A of the New Jersey Statutes""",Dead,"(40.130570048, -74.273691288)",8,LEG
Alabama,Physical Activity,Bicycling,Transportation Department,Dead,"(32.840571122, -86.631860762)",50,LEG
Minnesota,Physical Activity,Bicycling,Capital Improvements,Dead,"(46.355648736, -94.794200503)",50,LEG
Texas,Obesity,Disparities/Equity,Developmental Activities And Activity Plan,Enacted,"(31.827240407, -99.426770206)",32,REG
Michigan,Nutrition,Farmers Markets,Community Health Appropriations,Dead,"(44.661319543001, -84.71439027)",9,LEG
Hawaii,Nutrition,Appropriations,Consumer Information,Dead,"(21.304850435, -157.857749403)",2,LEG
New York,Obesity,Appropriations,Health Kids Act Pilot Program,Dead,"(42.827001032, -75.543970427)",28,LEG
Tennessee,Obesity,Appropriations,Fiscal Year Appropriations,Enacted,"(35.68094058, -85.774490914)",28,LEG
New York,Obesity,Disparities/Equity,Chancellor of City School District,Enacted,"(42.827001032, -75.543970427)",32,LEG
New Mexico,Nutrition,Initiatives and Programs,Senate Joint Memorial<br>,Enacted,"(34.520880952, -106.240580985)",26,LEG
Maryland,Nutrition,Farm Direct Foods,Agricultural Product Sales,Dead,"(39.290580964, -76.609260111)",8,LEG
Florida,Obesity,Media Campaigns,Obesity Prevention,Dead,"(28.932040377, -81.928960539)",40,LEG
Maryland,Physical Activity,Public Safety,An Act Concerning Housing<br>,Enacted,"(39.290580964, -76.609260111)",62,LEG
Maryland,Obesity,Front of Package Labeling,"Processing, Transportation, Storage, and Distribution",Enacted,"(39.290580964, -76.609260111)",36,REG
Florida,Physical Activity,Pedestrians/Walking,Growth Management,Dead,"(28.932040377, -81.928960539)",69,LEG
Mississippi,Nutrition,Access to Healthy Foods,Health Foods,Dead,"(32.745510099, -89.538030825)",1,LEG
District of Columbia,Physical Activity,"Parks, Recreation and Trails",Southeast Federal Center and Yards,Dead,"(38.890371385, -77.031961127)",59,LEG
Hawaii,Nutrition,Food Policy Councils,Government,Dead,"(21.304850435, -157.857749403)",13,LEG
North Carolina,Nutrition,School Nutrition,Appropriations Act of 2007,Enacted,"(35.466220975, -79.159250463)",21,LEG
Arizona,Nutrition,Task Forces/Councils,Establishing the Arizona Health Task Force<br>,Dead,"(34.86597028, -111.763811277)",23,LEG
New Jersey,Nutrition,Access to Healthy Foods,State Budget,Dead,"(40.130570048, -74.273691288)",1,LEG
Hawaii,Nutrition,Trans Fats,Trans Fats,Dead,"(21.304850435, -157.857749403)",24,LEG
Massachusetts,Nutrition,Farm Direct Foods,Liability of Farmer Markets,Dead,"(42.27687047, -72.082690675)",8,LEG
Nebraska,Nutrition,Farm Direct Foods,Appropriation Supplement,Dead,"(41.641040988001, -99.365720623)",8,LEG
California,Obesity,Front of Package Labeling,Education: Physical Education,Dead,"(37.638640123, -120.999999538)",36,LEG
Indiana,Obesity,Marketing Restrictions,Designation of Communities for a Lifetime,Dead,"(39.766910452, -86.149960194)",34,LEG
New York,Obesity,Disparities/Equity,Outdoor Playspace Annual Report,Dead,"(42.827001032, -75.543970427)",32,LEG
Minnesota,Nutrition,Farm Direct Foods,Capital Investment,Dead,"(46.355648736, -94.794200503)",8,LEG
Mississippi,Nutrition,School Nutrition,Sweetened Beverages and Syrups Tax,Dead,"(32.745510099, -89.538030825)",21,LEG
California,Obesity,Appropriations,Budget Act of 2010,Enacted,"(37.638640123, -120.999999538)",28,LEG
New Mexico,Physical Activity,"Parks, Recreation and Trails",Arroyos Trash Buildup Study,Enacted,"(34.520880952, -106.240580985)",59,LEG
Illinois,Obesity,Appropriations,School Code,Dead,"(40.485010283, -88.997710178)",28,LEG
Illinois,Obesity,Appropriations,Fresh Food Fund,Enacted,"(40.485010283, -88.997710178)",28,LEG
Massachusetts,Obesity,Body Mass Index (BMI),Transportation System Reform,Dead,"(42.27687047, -72.082690675)",29,LEG
Hawaii,Nutrition,Task Forces/Councils,Child Nutrition Programs,Enacted,"(21.304850435, -157.857749403)",23,LEG
New York,Nutrition,Appropriations,Insurer Fund for Underserved Neighborhood Areas,Dead,"(42.827001032, -75.543970427)",2,LEG
Montana,Physical Activity,Bicycling,Alternative Transportation,Dead,"(47.066528972, -109.424420645)",50,LEG
Ohio,Obesity,Appropriations,Bicycle Helmet Law,Dead,"(40.060210141, -82.404260056)",28,LEG
Connecticut,Obesity,Appropriations,Harm to Vulnerable Users of a Public Way,Dead,"(41.56266102, -72.649840952)",28,LEG
Washington,Obesity,Task Forces/Councils,Interagency Council on Health Disparities,Enacted,"(47.522278629, -120.47001079)",44,LEG
Georgia,Nutrition,Access to Healthy Foods,Farm to School Programs,Enacted,"(32.839681093, -83.627580346)",1,LEG
California,Nutrition,Farm Direct Foods,Farm Stands: Direct Marketing: Retail Food,Enacted,"(37.638640123, -120.999999538)",8,LEG
Massachusetts,Physical Activity,Media Campaigns,Healthy Alternatives in Public School Food Program,Dead,"(42.27687047, -72.082690675)",57,LEG
Texas,Nutrition,Access to Healthy Foods,Public School Campus Improvement Plans,Dead,"(31.827240407, -99.426770206)",1,LEG
Montana,Obesity,Food Restrictions,Tax Incentive for Producers,Dead,"(47.066528972, -109.424420645)",35,LEG
Washington,Obesity,Appropriations,Regional Transit Authority Facilities,Enacted,"(47.522278629, -120.47001079)",28,LEG
Oklahoma,Nutrition,Agriculture and Farming,Regulation of Prepared Foods,Dead,"(35.472031356, -97.521070214)",10,LEG
Massachusetts,Physical Activity,Physical Education Requirements,Student Nutrition and Wellness,Dead,"(42.27687047, -72.082690675)",61,LEG
Washington,Obesity,Body Mass Index (BMI),Rural Conservation Development Demonstration Projects,Dead,"(47.522278629, -120.47001079)",29,LEG
Montana,Nutrition,Incentives,Produced Foods,Enacted,"(47.066528972, -109.424420645)",17,LEG
Massachusetts,Obesity,Disparities/Equity,Mandatory Physical Education for All Students,Dead,"(42.27687047, -72.082690675)",32,LEG
New York,Nutrition,Access to Healthy Foods,"Task Force on Improving Urban and Rural Consumer Access to Locally Produced, Healthy Foods",Introduced,"(42.827001032, -75.543970427)",1,LEG
California,Physical Activity,Safe Routes to Schools,Greene Facilities Act- General Site- Extension,Enacted,"(37.638640123, -120.999999538)",64,REG
Washington,Obesity,Appropriations,High Capacity Transportation System Plan Components,Enacted,"(47.522278629, -120.47001079)",28,LEG
Maine,Nutrition,Appropriations,Farms for the Future Program,Enacted,"(45.254228894001, -68.985031336)",2,REG
Illinois,Obesity,Appropriations,Physical Education,Enacted,"(40.485010283, -88.997710178)",28,LEG
Hawaii,Obesity,Appropriations,Support for Home Organic Produce Cooperatives,Dead,"(21.304850435, -157.857749403)",28,LEG
Massachusetts,Nutrition,Farmers Markets,Electronic Benefit Transfer Farmers Market Project,Dead,"(42.27687047, -72.082690675)",9,LEG
New York,Physical Activity,Physical Activity Requirements,Eligibility for High School Athletic Competition,Dead,"(42.827001032, -75.543970427)",60,LEG
California,Nutrition,Medical Care,2009-10 Budget,Dead,"(37.638640123, -120.999999538)",16,LEG
Kentucky,Obesity,Menu Labeling,Tax Increment Financing,Dead,"(37.645970271, -84.774971048)",41,LEG
Alabama,Nutrition,Farmers Markets,An Act Relating to the Farmersâ Market Authority,Introduced,"(32.840571122, -86.631860762)",9,LEG
Massachusetts,Physical Activity,Public Transportation,Creating the Mass Rail Transit Fund,Dead,"(42.27687047, -72.082690675)",63,LEG
Indiana,Obesity,Health Insurance Coverage,Basic Health Insurance Coverage,Dead,"(39.766910452, -86.149960194)",37,LEG
Missouri,Physical Activity,Public Safety,City of Grandview,Dead,"(38.635790776, -92.566300053)",62,LEG
Connecticut,Nutrition,Appropriations,An Act Making Appropriations<br>,Enacted,"(41.56266102, -72.649840952)",2,LEG
New York,Nutrition,Task Forces/Councils,Amending the Agriculture and Markets Law,Enacted,"(42.827001032, -75.543970427)",23,LEG
Florida,Nutrition,Incentives,An Act Relating to the Healthy Foods Retail Act<br>,Dead,"(28.932040377, -81.928960539)",17,LEG
Massachusetts,Obesity,Body Mass Index (BMI),Act to Assess the Impact of the Public Welfare System on the Health and Well-Being of Children,Introduced,"(42.27687047, -72.082690675)",29,LEG
Washington,Obesity,Menu Labeling,Impact Fees,Dead,"(47.522278629, -120.47001079)",41,LEG
Washington,Obesity,Appropriations,Flexibility in the Education System,Dead,"(47.522278629, -120.47001079)",28,LEG
Minnesota,Physical Activity,Bicycling,Stadiums,Dead,"(46.355648736, -94.794200503)",50,LEG
Florida,Nutrition,Appropriations,Incorporations by Reference,Enacted,"(28.932040377, -81.928960539)",2,REG
New York,Physical Activity,Physical Activity Requirements,Physical Education/Activity Pilot,Introduced,"(42.827001032, -75.543970427)",60,LEG
Ohio,Physical Activity,Bicycling,Transportation Innovation Authorities,Dead,"(40.060210141, -82.404260056)",50,LEG
Tennessee,Obesity,Food Restrictions,Food and Food Products,Dead,"(35.68094058, -85.774490914)",35,LEG
Texas,Physical Activity,Physical Education Requirements,Relating to health and physical education requirements in public schools.,Introduced,"(31.827240407, -99.426770206)",61,LEG
Oklahoma,Obesity,Appropriations,Healthy Communities,Dead,"(35.472031356, -97.521070214)",28,LEG
Minnesota,Nutrition,Appropriations,Capital Improvements,Dead,"(46.355648736, -94.794200503)",2,LEG
Iowa,Nutrition,Food Policy Councils,Local Foods,Dead,"(42.469400913, -93.816490556)",13,LEG
North Carolina,Nutrition,Farm Direct Foods,Department of Agriculture Employee Position,Dead,"(35.466220975, -79.159250463)",8,LEG
Hawaii,Nutrition,Initiatives and Programs,An Act Relating to  Sustainability<br>,Dead,"(21.304850435, -157.857749403)",26,LEG
Oklahoma,Nutrition,Food Assistance Programs,Sooner Seniors,Enacted,"(35.472031356, -97.521070214)",3,REG
Kentucky,Physical Activity,Bicycling,Bicycle and Bikeway Program,Enacted,"(37.645970271, -84.774971048)",50,REG
Alabama,Physical Activity,Access to Recreational Opportunities,Public K-12 Education,Dead,"(32.840571122, -86.631860762)",49,LEG
Vermont,Nutrition,Healthier Food Retail and Food Deserts,Soft Drinks,Dead,"(43.625381239, -72.517640791)",12,LEG
Hawaii,Obesity,Appropriations,Affordable Housing,Dead,"(21.304850435, -157.857749403)",28,LEG
Illinois,Physical Activity,Bicycling,Tax Increment Allocation Redevelopment Act,Dead,"(40.485010283, -88.997710178)",50,LEG
Mississippi,Nutrition,Disparities/Equity,Nonprofit Organizations Sales Tax,Dead,"(32.745510099, -89.538030825)",7,LEG
Alabama,Nutrition,Agriculture and Farming,"An Act To make appropriations for the ordinary expenses of the executive, legislative and judicial agencies of the State<br>",Enacted,"(32.840571122, -86.631860762)",10,LEG
New York,Obesity,Appropriations,Eligibility for High School Athletic Competition,Dead,"(42.827001032, -75.543970427)",28,LEG
New York,Nutrition,Farmers Markets,An Act Making Appropriations,Enacted,"(42.827001032, -75.543970427)",9,LEG
Oregon,Nutrition,Appropriations,National School Lunch Program,Enacted,"(44.567449424, -120.155031326)",2,LEG
Minnesota,Obesity,Menu Labeling,Capital Improvements,Dead,"(46.355648736, -94.794200503)",41,LEG
Maryland,Physical Activity,Built Environment and Street-Scale Design,County Board of Education,Dead,"(39.290580964, -76.609260111)",68,LEG
Texas,Obesity,Body Mass Index (BMI),Specific Management District Creation and Tax,Dead,"(31.827240407, -99.426770206)",29,LEG
New York,Obesity,Appropriations,Food Retail Establishment,Dead,"(42.827001032, -75.543970427)",28,LEG
Massachusetts,Physical Activity,Bicycling,Infrastructure Investment,Dead,"(42.27687047, -72.082690675)",50,LEG
Kansas,Obesity,Liability and Indemnity,Food Sales Tax,Dead,"(38.3477403, -98.200781227)",39,LEG
New Jersey,Nutrition,Farm Direct Foods,New Jersey Farm to School Program,Enacted,"(40.130570048, -74.273691288)",8,LEG
Oregon,Nutrition,Media Campaigns,Healthy Lifestyles for Children,Dead,"(44.567449424, -120.155031326)",19,LEG
Tennessee,Nutrition,Access to Healthy Foods,Food and Food Products,Dead,"(35.68094058, -85.774490914)",1,LEG
Ohio,Nutrition,Healthier Food Retail and Food Deserts,Standards for Vending Machine Foods in Schools,Dead,"(40.060210141, -82.404260056)",12,LEG
Minnesota,Physical Activity,Public Transportation,Metropolitan Government,Dead,"(46.355648736, -94.794200503)",63,LEG
Tennessee,Nutrition,Medical Care,Highways Roads and Bridges,Dead,"(35.68094058, -85.774490914)",16,LEG
Hawaii,Nutrition,Food Security,Increased Food Security and Food Self-Sufficiency Strategy,Dead,"(21.304850435, -157.857749403)",14,LEG
Utah,Obesity,Front of Package Labeling,Short Title - Club Teams in Public Schools,Dead,"(39.360700171, -111.587130635)",36,LEG
Wisconsin,Physical Activity,Safe Routes to Schools,Budget Act,Dead,"(44.393191174, -89.816370742)",64,LEG
New Mexico,Obesity,Media Campaigns,Nutrition Council,Dead,"(34.520880952, -106.240580985)",40,LEG
Michigan,Physical Activity,Public Transportation,Intermunicipality Committees,Enacted,"(44.661319543001, -84.71439027)",63,LEG
New York,Obesity,Food Restrictions,Wholesale Regional Farmers Markets,Dead,"(42.827001032, -75.543970427)",35,LEG
New Jersey,Nutrition,Medical Care,Bike Month,Dead,"(40.130570048, -74.273691288)",16,LEG
Massachusetts,Obesity,Appropriations,Food Policy Council,Dead,"(42.27687047, -72.082690675)",28,LEG
Rhode Island,Nutrition,Medical Care,Towns & Cities,Dead,"(41.708280193, -71.522470314)",16,LEG
Connecticut,Nutrition,Appropriations,Vending Machine Sales,Dead,"(41.56266102, -72.649840952)",2,LEG
Florida,Nutrition,Healthier Food Retail and Food Deserts,Streamlined Sales and Use Tax Agreement,Dead,"(28.932040377, -81.928960539)",12,LEG
Texas,Nutrition,Incentives,Interagency Obesity Council,Dead,"(31.827240407, -99.426770206)",17,LEG
Minnesota,Nutrition,Appropriations,Agriculture,Dead,"(46.355648736, -94.794200503)",2,LEG
Minnesota,Nutrition,Medical Care,Natural Resources and State Trails,Dead,"(46.355648736, -94.794200503)",16,LEG
Maryland,Nutrition,Incentives,Public Entity Price Preference,Enacted,"(39.290580964, -76.609260111)",17,LEG
Minnesota,Nutrition,Agriculture and Farming,Agriculture,Dead,"(46.355648736, -94.794200503)",10,LEG
Virginia,Physical Activity,Pedestrians/Walking,Statewide Pedestrian Plan,Enacted,"(37.542680674, -78.457890463)",69,LEG
Minnesota,Nutrition,Appropriations,Higher Education,Dead,"(46.355648736, -94.794200503)",2,LEG
Louisiana,Obesity,Appropriations,Sustainable Local Food Policy Council,Enacted,"(31.312660644, -92.445680071)",28,LEG
New York,Obesity,Food Restrictions,An Act to Amend the Public Health Law,Introduced,"(42.827001032, -75.543970427)",35,LEG
District of Columbia,Nutrition,Liability and Indemnity,Budget Support Act,Enacted,"(38.890371385, -77.031961127)",18,LEG
Kansas,Physical Activity,Physical Activity Requirements,Senate Concurrent Resolution<br>,Enacted,"(38.3477403, -98.200781227)",60,LEG
New York,Obesity,Food Restrictions,Definition of Greenmarket,Vetoed,"(42.827001032, -75.543970427)",35,LEG
Illinois,Physical Activity,Physical Activity Requirements,Flavored Milk in School Lunch Program,Dead,"(40.485010283, -88.997710178)",60,LEG
Oregon,Nutrition,Farm Direct Foods,An Act Relating to Oregon Farm-to-School and School Garden Program<br>,Enacted,"(44.567449424, -120.155031326)",8,LEG
Massachusetts,Obesity,Appropriations,School Nutrition,Dead,"(42.27687047, -72.082690675)",28,LEG
Colorado,Nutrition,Medical Care,Inherent Risk Mountain Biking Liability,Dead,"(38.843840757, -106.133610921)",16,LEG
Mississippi,Nutrition,Incentives,Nonprofit Organizations Sales Tax,Dead,"(32.745510099, -89.538030825)",17,LEG
North Carolina,Nutrition,Incentives,Childcare Nutrition,Enacted,"(35.466220975, -79.159250463)",17,LEG
Hawaii,Obesity,Incentives,Medicaid Wellness Pilot Program,Dead,"(21.304850435, -157.857749403)",38,LEG
Illinois,Nutrition,Agriculture and Farming,Department Of Commerce And Economic Opportunity,Dead,"(40.485010283, -88.997710178)",10,LEG
Ohio,Physical Activity,Disparities/Equity,Bicycle Operators and Passengers Requirement,Dead,"(40.060210141, -82.404260056)",53,LEG
New York,Nutrition,Appropriations,School Meal Programs Food Donations,Vetoed,"(42.827001032, -75.543970427)",2,LEG
Connecticut,Physical Activity,Appropriations,Funding of School Construction Projects,Dead,"(41.56266102, -72.649840952)",48,LEG
Indiana,Nutrition,Food Policy Councils,Local Food and Farm Task Force,Dead,"(39.766910452, -86.149960194)",13,LEG
Connecticut,Obesity,Health Insurance Coverage,Preventive Care Services,Dead,"(41.56266102, -72.649840952)",37,LEG
Tennessee,Physical Activity,Pedestrians/Walking,Outdoor Bill Of Rights,Enacted,"(35.68094058, -85.774490914)",69,LEG
South Dakota,Physical Activity,Pedestrians/Walking,Bicycle Passing Restrictions,Dead,"(44.353130053, -100.373530637)",69,LEG
New Jersey,Nutrition,Appropriations,State Budget,Dead,"(40.130570048, -74.273691288)",2,LEG
Iowa,Nutrition,Farmers Markets,Local Foods,Dead,"(42.469400913, -93.816490556)",9,LEG
Illinois,Nutrition,Appropriations,Food Systems Policy Council,Enacted,"(40.485010283, -88.997710178)",2,LEG
Colorado,Obesity,Access to Drinking Water,Children Nutrition Improvement Policies,Enacted,"(38.843840757, -106.133610921)",33,LEG
Tennessee,Nutrition,Farmers Markets,Public Funds and Financing,Dead,"(35.68094058, -85.774490914)",9,LEG
Georgia,Nutrition,Farm Direct Foods,Commending School Districts Participating in the Farm to School 5 Million Meals Campaign,Enacted,"(32.839681093, -83.627580346)",8,LEG
Hawaii,Nutrition,Appropriations,Relating to Early Learning Wellness Guidelines,Introduced,"(21.304850435, -157.857749403)",2,LEG
Maryland,Nutrition,Farm Direct Foods,Program Open Space,Dead,"(39.290580964, -76.609260111)",8,LEG
Maine,Obesity,Appropriations,State Ceiling of Low Income Housing Tax Credit Rule,Enacted,"(45.254228894001, -68.985031336)",28,REG
Arkansas,Nutrition,Appropriations,Department of Finance and Administration,Enacted,"(34.748650124, -92.274490743)",2,LEG
Maryland,Nutrition,Appropriations,Fees for Community Health Programs,Enacted,"(39.290580964, -76.609260111)",2,REG
Utah,Nutrition,Incentives,Soft Drink Taxes and Education Funding,Dead,"(39.360700171, -111.587130635)",17,LEG
West Virginia,Nutrition,Agriculture and Farming,Charitable Organizations and Property Taxation,Dead,"(38.665510202, -80.712640135)",10,LEG
Pennsylvania,Nutrition,Access to Healthy Foods,Agricultural Surplus System,Enacted,"(40.793730152, -77.860700294)",1,LEG
California,Obesity,Appropriations,Child Care: Nutritional Requirements,Vetoed,"(37.638640123, -120.999999538)",28,LEG
Ohio,Nutrition,Point of Purchase Promotion,"Women, Infants and Children (WIC) Program",Enacted,"(40.060210141, -82.404260056)",20,REG
District of Columbia,Nutrition,Initiatives and Programs,Nutritional Standards for Food Sold at Parks,Dead,"(38.890371385, -77.031961127)",26,LEG
Florida,Obesity,Task Forces/Councils,School Wellness and Physical Education Policies,Dead,"(28.932040377, -81.928960539)",44,LEG
Nevada,Obesity,Appropriations,Operation of Bicycles,Enacted,"(39.49324039, -117.071840564)",28,LEG
Alabama,Nutrition,Vending,Public K-12 Education,Dead,"(32.840571122, -86.631860762)",25,LEG
Illinois,Obesity,Food Restrictions,Department of Human Services,Dead,"(40.485010283, -88.997710178)",35,LEG
Michigan,Obesity,Appropriations,Physical Education,Dead,"(44.661319543001, -84.71439027)",28,LEG
Alabama,Nutrition,Breastfeeding,Birthing Centers,Enacted,"(32.840571122, -86.631860762)",4,REG
California,Physical Activity,Physical Education Requirements,2009-10 Budget,Enacted,"(37.638640123, -120.999999538)",61,LEG
Hawaii,Obesity,Incentives,General Excise Taxes on Sweetened Beverages,Dead,"(21.304850435, -157.857749403)",38,LEG
Georgia,Physical Activity,Access to Recreational Opportunities,An Act Related to Torts<br>,Dead,"(32.839681093, -83.627580346)",49,LEG
Iowa,Nutrition,Medical Care,Operation of Bicycles,Dead,"(42.469400913, -93.816490556)",16,LEG
Hawaii,Obesity,Food Restrictions,Aspartame,Dead,"(21.304850435, -157.857749403)",35,LEG
New Mexico,Nutrition,Agriculture and Farming,Sweetened Beverage Excise Tax Act,Dead,"(34.520880952, -106.240580985)",10,LEG
Maryland,Obesity,Disparities/Equity,Public Schools,Enacted,"(39.290580964, -76.609260111)",32,LEG
Oklahoma,Nutrition,Incentives,Groceries Sales Tax,Dead,"(35.472031356, -97.521070214)",17,LEG
Washington,Obesity,Sugar Sweetened Beverages,An Act Relating to the Establishment of Food Purchasing Policies<br>,Dead,"(47.522278629, -120.47001079)",43,LEG
Florida,Obesity,Body Mass Index (BMI),Chronic Diseases<br>,Dead,"(28.932040377, -81.928960539)",29,LEG
New York,Obesity,Appropriations,Pedestrian Crosswalks,Enacted,"(42.827001032, -75.543970427)",28,LEG
Oregon,Nutrition,Disparities/Equity,Nutrition,Dead,"(44.567449424, -120.155031326)",7,LEG
Wisconsin,Nutrition,Appropriations,Breast Feeding in Public or Private Locations,Dead,"(44.393191174, -89.816370742)",2,LEG
New York,Nutrition,Trans Fats,Tax Increment Bonds Payable From Real Property Taxes Le,Dead,"(42.827001032, -75.543970427)",24,LEG
Vermont,Nutrition,Appropriations,Sugar-Sweetened Beverages,Dead,"(43.625381239, -72.517640791)",2,LEG
Minnesota,Nutrition,Trans Fats,Stadiums,Dead,"(46.355648736, -94.794200503)",24,LEG
Hawaii,Nutrition,Liability and Indemnity,Eleventh Senatorial District,Dead,"(21.304850435, -157.857749403)",18,LEG
Michigan,Physical Activity,Incentives,Public Transit,Enacted,"(44.661319543001, -84.71439027)",55,LEG
New York,Obesity,Appropriations,New York Calcium Purchasing Preference Initiative,Dead,"(42.827001032, -75.543970427)",28,LEG
Rhode Island,Nutrition,Access to Healthy Foods,Rite Care Program,Enacted,"(41.708280193, -71.522470314)",1,REG
Massachusetts,Nutrition,Medical Care,Transportation System Modernization,Enacted,"(42.27687047, -72.082690675)",16,LEG
Connecticut,Physical Activity,Bicycling,Commemorative Number Plates,Dead,"(41.56266102, -72.649840952)",50,LEG
Washington,Nutrition,Fruits and Vegetables,State Agency Food Purchasing Policy,Dead,"(47.522278629, -120.47001079)",15,LEG
Arkansas,Nutrition,Agriculture and Farming,Education Appropriation,Enacted,"(34.748650124, -92.274490743)",10,LEG
Nevada,Physical Activity,Physical Education Requirements,Physical Activity in Public Schools,Dead,"(39.49324039, -117.071840564)",61,LEG
Texas,Nutrition,Farm Direct Foods,Interagency Obesity Council,Dead,"(31.827240407, -99.426770206)",8,LEG
Iowa,Nutrition,Medical Care,Adjacent Travel Lane,Dead,"(42.469400913, -93.816490556)",16,LEG
Michigan,Nutrition,Agriculture and Farming,House Resolution,Enacted,"(44.661319543001, -84.71439027)",10,LEG
Arkansas,Nutrition,Fruits and Vegetables,Municipal Regulation of Farmers Markets,Enacted,"(34.748650124, -92.274490743)",15,LEG
Maine,Nutrition,Food Security,School Nutrition Education,Enacted,"(45.254228894001, -68.985031336)",14,LEG
Michigan,Obesity,Appropriations,Citizens Council,Dead,"(44.661319543001, -84.71439027)",28,LEG
Michigan,Obesity,Appropriations,Vacant Property,Dead,"(44.661319543001, -84.71439027)",28,LEG
Pennsylvania,Nutrition,School Nutrition,Payment of Bills From the General Fund,Enacted,"(40.793730152, -77.860700294)",21,LEG
Florida,Physical Activity,Pedestrians/Walking,Professional Sports Development Trust Fund,Enacted,"(28.932040377, -81.928960539)",69,LEG
New York,Physical Activity,Task Forces/Councils,Governor's Council on Physical Fitness,Dead,"(42.827001032, -75.543970427)",67,LEG
Texas,Nutrition,Fruits and Vegetables,Texas Public School Nutrition Policy (TPSNP),Enacted,"(31.827240407, -99.426770206)",15,REG
Maryland,Nutrition,Trans Fats,Food Service Facilities,Dead,"(39.290580964, -76.609260111)",24,LEG
Texas,Obesity,Task Forces/Councils,Nutrition Working Groups,Enacted,"(31.827240407, -99.426770206)",44,REG
Massachusetts,Physical Activity,School Siting,Transportation System Reform,Dead,"(42.27687047, -72.082690675)",65,LEG
Washington,Obesity,Appropriations,Economic Crisis Revenue Bill,Dead,"(47.522278629, -120.47001079)",28,LEG
California,Nutrition,Food Assistance Programs,Budget Act of 2011,Dead,"(37.638640123, -120.999999538)",3,LEG
Texas,Obesity,Body Mass Index (BMI),Transportation Commission,Dead,"(31.827240407, -99.426770206)",29,LEG
Washington,Nutrition,Medical Care,Greenhouse Gases in Washington,Dead,"(47.522278629, -120.47001079)",16,LEG
Minnesota,Physical Activity,Disabilities,Education,Dead,"(46.355648736, -94.794200503)",52,LEG
