"ï»¿""REF_DATE""",GEO,Activity,Time spent,UOM
1994,Lithuania,Play computer games,4 to 6 hours,Percent
1990,Canada,Play computer games,4 to 6 hours,Percent
1998,Germany,Watch VCR movies,1 to 3 hours,Percent
1998,Northern Ireland,Play computer games,Not at all,Percent
1994,Austria,Play computer games,Less than 1 hour,Percent
1990,Austria,Watch VCR movies,Not at all,Percent
1998,Belgium (French speaking),Watch VCR movies,10 hours or more,Percent
1990,Finland,Play computer games,Less than 1 hour,Percent
1994,Scotland,Play computer games,Not at all,Percent
1994,Greenland,Play computer games,Less than 1 hour,Percent
1998,Austria,Play computer games,4 to 6 hours,Percent
1990,Sweden,Play computer games,10 hours or more,Percent
1998,Russia,Play computer games,Less than 1 hour,Percent
1998,Latvia,Play computer games,1 to 3 hours,Percent
1994,Canada,Play computer games,10 hours or more,Percent
1994,Russia,Play computer games,7 to 9 hours,Percent
1994,Denmark,Watch VCR movies,10 hours or more,Percent
1998,Switzerland,Watch VCR movies,Less than 1 hour,Percent
1990,Austria,Watch VCR movies,10 hours or more,Percent
1998,Russia,Play computer games,10 hours or more,Percent
1990,Norway,Watch VCR movies,4 to 6 hours,Percent
1998,Greenland,Watch VCR movies,1 to 3 hours,Percent
1998,Germany,Watch VCR movies,Less than 1 hour,Percent
1998,Israel,Watch VCR movies,10 hours or more,Percent
1990,Spain,Watch VCR movies,7 to 9 hours,Percent
1998,Denmark,Play computer games,1 to 3 hours,Percent
1994,France,Play computer games,10 hours or more,Percent
1994,Belgium,Play computer games,Less than 1 hour,Percent
1994,Russia,Play computer games,4 to 6 hours,Percent
1998,Hungary,Watch VCR movies,Not at all,Percent
1998,Switzerland,Play computer games,1 to 3 hours,Percent
1998,Spain,Play computer games,4 to 6 hours,Percent
1998,United States,Watch VCR movies,Less than 1 hour,Percent
1994,Poland,Watch VCR movies,10 hours or more,Percent
1998,Belgium (French speaking),Watch VCR movies,Not at all,Percent
1998,Finland,Play computer games,Less than 1 hour,Percent
1998,United States,Watch VCR movies,Less than 1 hour,Percent
1994,Latvia,Play computer games,Less than 1 hour,Percent
1998,Ireland,Play computer games,7 to 9 hours,Percent
1990,Canada,Watch VCR movies,10 hours or more,Percent
1990,Wales,Play computer games,Less than 1 hour,Percent
1994,Greenland,Play computer games,1 to 3 hours,Percent
1998,Switzerland,Watch VCR movies,Less than 1 hour,Percent
1998,Russia,Play computer games,1 to 3 hours,Percent
1998,Germany,Watch VCR movies,1 to 3 hours,Percent
1994,Finland,Play computer games,4 to 6 hours,Percent
1998,Ireland,Watch VCR movies,7 to 9 hours,Percent
1998,Scotland,Play computer games,10 hours or more,Percent
1990,Poland,Watch VCR movies,1 to 3 hours,Percent
1990,Scotland,Watch VCR movies,1 to 3 hours,Percent
1994,Israel,Play computer games,7 to 9 hours,Percent
1998,Russia,Watch VCR movies,10 hours or more,Percent
1994,Wales,Watch VCR movies,10 hours or more,Percent
1998,Poland,Watch VCR movies,7 to 9 hours,Percent
1990,Belgium,Play computer games,10 hours or more,Percent
1998,Portugal,Play computer games,Not at all,Percent
1994,Lithuania,Play computer games,10 hours or more,Percent
1994,Spain,Watch VCR movies,4 to 6 hours,Percent
1998,Estonia,Watch VCR movies,Less than 1 hour,Percent
1998,Denmark,Play computer games,4 to 6 hours,Percent
1994,Hungary,Play computer games,4 to 6 hours,Percent
1998,Belgium (French speaking),Play computer games,1 to 3 hours,Percent
1998,United States,Play computer games,7 to 9 hours,Percent
1998,Czech Republic,Play computer games,Less than 1 hour,Percent
1994,Slovakia,Watch VCR movies,Less than 1 hour,Percent
1990,Hungary,Watch VCR movies,10 hours or more,Percent
1994,Scotland,Play computer games,4 to 6 hours,Percent
1998,Czech Republic,Play computer games,1 to 3 hours,Percent
1990,Austria,Play computer games,4 to 6 hours,Percent
1994,Spain,Play computer games,Not at all,Percent
1998,Lithuania,Play computer games,7 to 9 hours,Percent
1998,Belgium (French speaking),Watch VCR movies,4 to 6 hours,Percent
1998,Germany,Watch VCR movies,1 to 3 hours,Percent
1998,Portugal,Watch VCR movies,4 to 6 hours,Percent
1990,Norway,Watch VCR movies,1 to 3 hours,Percent
1998,United States,Play computer games,4 to 6 hours,Percent
1994,Czech Republic,Play computer games,1 to 3 hours,Percent
1994,Poland,Watch VCR movies,4 to 6 hours,Percent
1990,Poland,Watch VCR movies,Not at all,Percent
1998,Hungary,Play computer games,1 to 3 hours,Percent
1994,Denmark,Watch VCR movies,4 to 6 hours,Percent
1998,Northern Ireland,Play computer games,10 hours or more,Percent
1998,Greece,Play computer games,Not at all,Percent
1998,Northern Ireland,Play computer games,10 hours or more,Percent
1998,Belgium (French speaking),Play computer games,7 to 9 hours,Percent
1994,Hungary,Watch VCR movies,Less than 1 hour,Percent
1994,Slovakia,Play computer games,Less than 1 hour,Percent
1990,Finland,Watch VCR movies,10 hours or more,Percent
1994,Denmark,Play computer games,7 to 9 hours,Percent
1998,Latvia,Watch VCR movies,7 to 9 hours,Percent
1998,Portugal,Watch VCR movies,1 to 3 hours,Percent
1998,Czech Republic,Watch VCR movies,Not at all,Percent
1994,Northern Ireland,Watch VCR movies,4 to 6 hours,Percent
1998,Wales,Play computer games,Less than 1 hour,Percent
1990,Finland,Watch VCR movies,7 to 9 hours,Percent
1998,Wales,Watch VCR movies,4 to 6 hours,Percent
1998,Denmark,Play computer games,10 hours or more,Percent
1994,France,Play computer games,4 to 6 hours,Percent
1998,Portugal,Watch VCR movies,7 to 9 hours,Percent
1994,Belgium,Play computer games,1 to 3 hours,Percent
1998,Austria,Watch VCR movies,10 hours or more,Percent
1994,Wales,Play computer games,7 to 9 hours,Percent
1994,France,Watch VCR movies,Not at all,Percent
1998,Wales,Watch VCR movies,1 to 3 hours,Percent
1994,Denmark,Watch VCR movies,1 to 3 hours,Percent
1998,Spain,Play computer games,Not at all,Percent
1998,Israel,Watch VCR movies,4 to 6 hours,Percent
1994,Lithuania,Play computer games,4 to 6 hours,Percent
1998,Latvia,Watch VCR movies,10 hours or more,Percent
1994,Finland,Watch VCR movies,Less than 1 hour,Percent
1994,Finland,Watch VCR movies,Less than 1 hour,Percent
1994,Slovakia,Play computer games,7 to 9 hours,Percent
1994,Wales,Watch VCR movies,Not at all,Percent
1990,Wales,Play computer games,4 to 6 hours,Percent
1998,Canada,Watch VCR movies,1 to 3 hours,Percent
1990,Canada,Watch VCR movies,1 to 3 hours,Percent
1990,Hungary,Watch VCR movies,10 hours or more,Percent
1998,Scotland,Play computer games,10 hours or more,Percent
1994,Greenland,Watch VCR movies,10 hours or more,Percent
1994,Belgium,Watch VCR movies,4 to 6 hours,Percent
1998,Sweden,Watch VCR movies,4 to 6 hours,Percent
1998,Spain,Watch VCR movies,Less than 1 hour,Percent
1994,Slovakia,Watch VCR movies,1 to 3 hours,Percent
1990,Wales,Watch VCR movies,7 to 9 hours,Percent
1994,Poland,Watch VCR movies,Less than 1 hour,Percent
1990,Norway,Play computer games,Not at all,Percent
1994,Belgium,Watch VCR movies,7 to 9 hours,Percent
1998,Spain,Watch VCR movies,1 to 3 hours,Percent
1994,Lithuania,Play computer games,Not at all,Percent
1990,Scotland,Watch VCR movies,4 to 6 hours,Percent
1990,Spain,Watch VCR movies,4 to 6 hours,Percent
1990,Austria,Watch VCR movies,Not at all,Percent
1998,Germany,Play computer games,7 to 9 hours,Percent
1990,Sweden,Watch VCR movies,7 to 9 hours,Percent
1994,Wales,Play computer games,1 to 3 hours,Percent
1998,Denmark,Play computer games,4 to 6 hours,Percent
1998,Slovakia,Play computer games,10 hours or more,Percent
1998,United States,Watch VCR movies,Less than 1 hour,Percent
1990,Canada,Watch VCR movies,Less than 1 hour,Percent
1990,Poland,Watch VCR movies,Less than 1 hour,Percent
1998,Denmark,Play computer games,Less than 1 hour,Percent
1998,Israel,Watch VCR movies,10 hours or more,Percent
1990,Wales,Watch VCR movies,1 to 3 hours,Percent
1998,Ireland,Watch VCR movies,7 to 9 hours,Percent
1990,Poland,Play computer games,10 hours or more,Percent
1998,Estonia,Watch VCR movies,4 to 6 hours,Percent
1994,Germany,Play computer games,1 to 3 hours,Percent
1994,Norway,Watch VCR movies,1 to 3 hours,Percent
1990,Finland,Watch VCR movies,7 to 9 hours,Percent
1998,Poland,Play computer games,4 to 6 hours,Percent
1990,Scotland,Watch VCR movies,10 hours or more,Percent
1998,Israel,Play computer games,Less than 1 hour,Percent
1994,Israel,Play computer games,7 to 9 hours,Percent
1994,Northern Ireland,Play computer games,1 to 3 hours,Percent
1990,Hungary,Play computer games,1 to 3 hours,Percent
1998,Belgium (Flemish speaking),Watch VCR movies,Not at all,Percent
1998,Scotland,Watch VCR movies,1 to 3 hours,Percent
1990,Wales,Play computer games,1 to 3 hours,Percent
1998,Sweden,Play computer games,1 to 3 hours,Percent
1998,Germany,Play computer games,1 to 3 hours,Percent
1994,Northern Ireland,Play computer games,Less than 1 hour,Percent
1998,Norway,Watch VCR movies,Not at all,Percent
1994,Wales,Play computer games,7 to 9 hours,Percent
1994,Germany,Watch VCR movies,Less than 1 hour,Percent
1994,Spain,Watch VCR movies,1 to 3 hours,Percent
1998,Latvia,Play computer games,4 to 6 hours,Percent
1994,Germany,Watch VCR movies,10 hours or more,Percent
1998,Spain,Play computer games,10 hours or more,Percent
1990,Scotland,Watch VCR movies,Less than 1 hour,Percent
1998,Scotland,Watch VCR movies,10 hours or more,Percent
1994,Greenland,Watch VCR movies,4 to 6 hours,Percent
1994,Belgium,Play computer games,4 to 6 hours,Percent
1994,Spain,Watch VCR movies,1 to 3 hours,Percent
1998,Israel,Watch VCR movies,7 to 9 hours,Percent
1990,Austria,Watch VCR movies,4 to 6 hours,Percent
1998,Denmark,Play computer games,10 hours or more,Percent
1994,Hungary,Watch VCR movies,1 to 3 hours,Percent
1990,Finland,Watch VCR movies,10 hours or more,Percent
1994,Russia,Play computer games,7 to 9 hours,Percent
1990,Austria,Play computer games,4 to 6 hours,Percent
1994,Greenland,Watch VCR movies,10 hours or more,Percent
1998,Greece,Play computer games,7 to 9 hours,Percent
1998,Greece,Watch VCR movies,Less than 1 hour,Percent
1990,Wales,Play computer games,Not at all,Percent
1998,Switzerland,Watch VCR movies,10 hours or more,Percent
1998,Denmark,Watch VCR movies,1 to 3 hours,Percent
1990,Canada,Watch VCR movies,Not at all,Percent
1998,Russia,Watch VCR movies,10 hours or more,Percent
1990,Hungary,Watch VCR movies,Less than 1 hour,Percent
1994,Hungary,Play computer games,7 to 9 hours,Percent
1990,Finland,Play computer games,7 to 9 hours,Percent
1998,Denmark,Play computer games,Less than 1 hour,Percent
1990,Wales,Watch VCR movies,7 to 9 hours,Percent
1998,Ireland,Watch VCR movies,10 hours or more,Percent
1998,Wales,Watch VCR movies,Less than 1 hour,Percent
1990,Belgium,Play computer games,4 to 6 hours,Percent
1998,Czech Republic,Watch VCR movies,Not at all,Percent
1994,Finland,Play computer games,Less than 1 hour,Percent
1990,Hungary,Watch VCR movies,Not at all,Percent
1998,Belgium (French speaking),Play computer games,10 hours or more,Percent
1998,Spain,Watch VCR movies,7 to 9 hours,Percent
1998,Spain,Watch VCR movies,Not at all,Percent
1990,Canada,Play computer games,7 to 9 hours,Percent
1994,Belgium,Play computer games,Less than 1 hour,Percent
1990,Austria,Play computer games,Not at all,Percent
1998,Belgium (French speaking),Watch VCR movies,4 to 6 hours,Percent
1998,Czech Republic,Play computer games,4 to 6 hours,Percent
1998,Belgium (French speaking),Watch VCR movies,Less than 1 hour,Percent
1994,Wales,Play computer games,Not at all,Percent
1994,Russia,Play computer games,Less than 1 hour,Percent
1994,Lithuania,Play computer games,10 hours or more,Percent
1998,Austria,Watch VCR movies,Not at all,Percent
1990,Austria,Watch VCR movies,Not at all,Percent
1998,Hungary,Watch VCR movies,4 to 6 hours,Percent
1994,Spain,Play computer games,10 hours or more,Percent
1998,Estonia,Watch VCR movies,Not at all,Percent
1994,France,Play computer games,Not at all,Percent
1994,France,Play computer games,7 to 9 hours,Percent
1998,Latvia,Play computer games,Not at all,Percent
1998,Wales,Watch VCR movies,7 to 9 hours,Percent
1998,Ireland,Watch VCR movies,Not at all,Percent
1994,Scotland,Watch VCR movies,10 hours or more,Percent
1998,Czech Republic,Play computer games,4 to 6 hours,Percent
1994,Hungary,Watch VCR movies,Less than 1 hour,Percent
1994,Russia,Watch VCR movies,4 to 6 hours,Percent
1990,Canada,Watch VCR movies,7 to 9 hours,Percent
1998,Hungary,Play computer games,4 to 6 hours,Percent
1990,Belgium,Watch VCR movies,7 to 9 hours,Percent
1994,Spain,Watch VCR movies,4 to 6 hours,Percent
1998,Belgium (French speaking),Play computer games,4 to 6 hours,Percent
1990,Wales,Play computer games,10 hours or more,Percent
1998,Scotland,Watch VCR movies,Not at all,Percent
1998,Belgium (Flemish speaking),Play computer games,7 to 9 hours,Percent
1998,Germany,Play computer games,Not at all,Percent
1994,Finland,Watch VCR movies,4 to 6 hours,Percent
1998,Finland,Play computer games,4 to 6 hours,Percent
1998,Latvia,Play computer games,Less than 1 hour,Percent
1994,France,Watch VCR movies,Not at all,Percent
1998,Portugal,Watch VCR movies,7 to 9 hours,Percent
1998,Canada,Play computer games,1 to 3 hours,Percent
1994,Northern Ireland,Watch VCR movies,7 to 9 hours,Percent
1998,Greece,Watch VCR movies,4 to 6 hours,Percent
1994,Poland,Watch VCR movies,1 to 3 hours,Percent
1994,Austria,Watch VCR movies,7 to 9 hours,Percent
1998,Belgium (French speaking),Play computer games,10 hours or more,Percent
1994,Poland,Watch VCR movies,1 to 3 hours,Percent
1994,Spain,Play computer games,4 to 6 hours,Percent
1994,Norway,Play computer games,7 to 9 hours,Percent
1998,Sweden,Play computer games,1 to 3 hours,Percent
1998,Poland,Play computer games,4 to 6 hours,Percent
1998,Scotland,Watch VCR movies,7 to 9 hours,Percent
1998,United States,Play computer games,Not at all,Percent
1998,Sweden,Play computer games,Not at all,Percent
1998,Canada,Watch VCR movies,7 to 9 hours,Percent
1994,Hungary,Play computer games,1 to 3 hours,Percent
1994,Poland,Play computer games,10 hours or more,Percent
1998,Slovakia,Play computer games,10 hours or more,Percent
1994,Sweden,Watch VCR movies,1 to 3 hours,Percent
1998,Denmark,Play computer games,7 to 9 hours,Percent
1998,United States,Watch VCR movies,4 to 6 hours,Percent
1998,Czech Republic,Play computer games,Less than 1 hour,Percent
1998,Czech Republic,Play computer games,10 hours or more,Percent
1998,Finland,Watch VCR movies,7 to 9 hours,Percent
1994,Wales,Play computer games,10 hours or more,Percent
1990,Austria,Watch VCR movies,Not at all,Percent
1998,Portugal,Play computer games,Not at all,Percent
1994,Poland,Watch VCR movies,4 to 6 hours,Percent
1994,Russia,Play computer games,Not at all,Percent
1990,Spain,Watch VCR movies,Less than 1 hour,Percent
1994,Latvia,Play computer games,10 hours or more,Percent
1998,France,Watch VCR movies,Not at all,Percent
1994,Greenland,Play computer games,4 to 6 hours,Percent
1990,Norway,Watch VCR movies,1 to 3 hours,Percent
1994,Poland,Play computer games,7 to 9 hours,Percent
1994,Denmark,Watch VCR movies,Not at all,Percent
1994,Latvia,Play computer games,7 to 9 hours,Percent
1994,Finland,Watch VCR movies,Not at all,Percent
1994,Wales,Play computer games,4 to 6 hours,Percent
1998,Ireland,Watch VCR movies,Not at all,Percent
1998,Austria,Play computer games,1 to 3 hours,Percent
1998,Estonia,Watch VCR movies,10 hours or more,Percent
1990,Norway,Play computer games,Less than 1 hour,Percent
1994,Finland,Watch VCR movies,1 to 3 hours,Percent
1998,Germany,Watch VCR movies,Less than 1 hour,Percent
1998,United States,Watch VCR movies,1 to 3 hours,Percent
1998,Spain,Watch VCR movies,Less than 1 hour,Percent
1990,Spain,Watch VCR movies,Less than 1 hour,Percent
1998,Russia,Play computer games,7 to 9 hours,Percent
1998,Slovakia,Watch VCR movies,7 to 9 hours,Percent
1998,Spain,Play computer games,Less than 1 hour,Percent
1998,Czech Republic,Watch VCR movies,1 to 3 hours,Percent
1998,Northern Ireland,Watch VCR movies,Not at all,Percent
1998,Poland,Watch VCR movies,10 hours or more,Percent
1990,Poland,Play computer games,1 to 3 hours,Percent
1998,Finland,Play computer games,Not at all,Percent
1998,France,Watch VCR movies,1 to 3 hours,Percent
1998,Estonia,Watch VCR movies,10 hours or more,Percent
1990,Scotland,Play computer games,Less than 1 hour,Percent
1998,Denmark,Watch VCR movies,4 to 6 hours,Percent
1994,Poland,Watch VCR movies,10 hours or more,Percent
1994,Norway,Play computer games,7 to 9 hours,Percent
1994,Austria,Play computer games,10 hours or more,Percent
1994,Latvia,Play computer games,7 to 9 hours,Percent
1998,Hungary,Play computer games,Less than 1 hour,Percent
1994,Spain,Watch VCR movies,Not at all,Percent
1998,Ireland,Play computer games,10 hours or more,Percent
1998,Belgium (Flemish speaking),Play computer games,4 to 6 hours,Percent
1990,Canada,Play computer games,4 to 6 hours,Percent
1998,Portugal,Play computer games,1 to 3 hours,Percent
1998,Germany,Watch VCR movies,7 to 9 hours,Percent
1994,Finland,Watch VCR movies,4 to 6 hours,Percent
1994,Estonia,Play computer games,4 to 6 hours,Percent
1998,Slovakia,Watch VCR movies,Not at all,Percent
1998,Spain,Play computer games,7 to 9 hours,Percent
1998,Northern Ireland,Play computer games,1 to 3 hours,Percent
1998,Israel,Watch VCR movies,1 to 3 hours,Percent
1994,Slovakia,Watch VCR movies,1 to 3 hours,Percent
1990,Belgium,Play computer games,4 to 6 hours,Percent
1994,Hungary,Watch VCR movies,4 to 6 hours,Percent
1994,Estonia,Play computer games,4 to 6 hours,Percent
1994,France,Play computer games,7 to 9 hours,Percent
1994,Greenland,Play computer games,Not at all,Percent
1990,Finland,Play computer games,10 hours or more,Percent
1994,Sweden,Watch VCR movies,Less than 1 hour,Percent
1994,Scotland,Watch VCR movies,Less than 1 hour,Percent
1998,France,Play computer games,4 to 6 hours,Percent
1994,Germany,Watch VCR movies,Not at all,Percent
1994,Spain,Play computer games,Not at all,Percent
1994,Norway,Watch VCR movies,Less than 1 hour,Percent
1994,Canada,Watch VCR movies,Not at all,Percent
1990,Scotland,Play computer games,1 to 3 hours,Percent
1998,Ireland,Watch VCR movies,1 to 3 hours,Percent
1998,Czech Republic,Watch VCR movies,4 to 6 hours,Percent
1998,Greenland,Play computer games,Not at all,Percent
1994,Lithuania,Play computer games,10 hours or more,Percent
1994,Denmark,Play computer games,4 to 6 hours,Percent
1990,Poland,Watch VCR movies,4 to 6 hours,Percent
1994,Austria,Watch VCR movies,1 to 3 hours,Percent
1998,Scotland,Watch VCR movies,4 to 6 hours,Percent
1998,Belgium (Flemish speaking),Play computer games,1 to 3 hours,Percent
1994,Scotland,Watch VCR movies,4 to 6 hours,Percent
1998,Slovakia,Play computer games,10 hours or more,Percent
1994,Wales,Play computer games,1 to 3 hours,Percent
1998,Spain,Play computer games,7 to 9 hours,Percent
1994,Northern Ireland,Watch VCR movies,Not at all,Percent
1990,Finland,Watch VCR movies,4 to 6 hours,Percent
1994,Estonia,Play computer games,7 to 9 hours,Percent
1994,Sweden,Play computer games,Not at all,Percent
1990,Hungary,Watch VCR movies,1 to 3 hours,Percent
1998,Latvia,Watch VCR movies,1 to 3 hours,Percent
1998,Canada,Play computer games,7 to 9 hours,Percent
1998,Greenland,Play computer games,Less than 1 hour,Percent
1994,Russia,Play computer games,10 hours or more,Percent
1994,Norway,Watch VCR movies,Not at all,Percent
1994,Denmark,Watch VCR movies,4 to 6 hours,Percent
1998,Sweden,Watch VCR movies,7 to 9 hours,Percent
1998,France,Play computer games,Not at all,Percent
1994,Sweden,Play computer games,10 hours or more,Percent
1998,Estonia,Watch VCR movies,Less than 1 hour,Percent
1998,Ireland,Watch VCR movies,10 hours or more,Percent
1994,Germany,Play computer games,Less than 1 hour,Percent
1990,Finland,Play computer games,Not at all,Percent
1998,United States,Play computer games,Less than 1 hour,Percent
1994,Israel,Play computer games,Less than 1 hour,Percent
1994,Denmark,Play computer games,Not at all,Percent
1998,Northern Ireland,Play computer games,10 hours or more,Percent
1994,Finland,Watch VCR movies,10 hours or more,Percent
1998,Germany,Play computer games,7 to 9 hours,Percent
1990,Sweden,Watch VCR movies,10 hours or more,Percent
1998,Lithuania,Play computer games,10 hours or more,Percent
1998,Denmark,Play computer games,Not at all,Percent
1994,Belgium,Watch VCR movies,7 to 9 hours,Percent
1994,Estonia,Watch VCR movies,Less than 1 hour,Percent
1994,Latvia,Play computer games,Not at all,Percent
1998,Estonia,Play computer games,4 to 6 hours,Percent
1998,Denmark,Play computer games,Not at all,Percent
1994,Finland,Watch VCR movies,1 to 3 hours,Percent
1994,Czech Republic,Play computer games,4 to 6 hours,Percent
1994,Northern Ireland,Watch VCR movies,1 to 3 hours,Percent
1994,Canada,Watch VCR movies,Less than 1 hour,Percent
1998,Hungary,Watch VCR movies,4 to 6 hours,Percent
1998,Israel,Play computer games,10 hours or more,Percent
1994,Poland,Watch VCR movies,1 to 3 hours,Percent
1994,Wales,Watch VCR movies,1 to 3 hours,Percent
1990,Spain,Play computer games,Not at all,Percent
1994,Poland,Watch VCR movies,Not at all,Percent
1998,Austria,Watch VCR movies,Less than 1 hour,Percent
1998,Slovakia,Watch VCR movies,4 to 6 hours,Percent
1990,Austria,Watch VCR movies,10 hours or more,Percent
1990,Belgium,Watch VCR movies,7 to 9 hours,Percent
1990,Spain,Play computer games,7 to 9 hours,Percent
1994,France,Watch VCR movies,10 hours or more,Percent
1994,Lithuania,Play computer games,1 to 3 hours,Percent
1998,Israel,Watch VCR movies,7 to 9 hours,Percent
1994,Finland,Watch VCR movies,1 to 3 hours,Percent
1994,France,Play computer games,4 to 6 hours,Percent
1994,Austria,Watch VCR movies,Less than 1 hour,Percent
1994,Czech Republic,Watch VCR movies,7 to 9 hours,Percent
1990,Poland,Play computer games,10 hours or more,Percent
1990,Sweden,Watch VCR movies,10 hours or more,Percent
1998,Greenland,Watch VCR movies,10 hours or more,Percent
1998,Czech Republic,Play computer games,Not at all,Percent
1994,Greenland,Watch VCR movies,Less than 1 hour,Percent
1998,Belgium (French speaking),Play computer games,10 hours or more,Percent
1990,Poland,Watch VCR movies,Not at all,Percent
1994,Denmark,Play computer games,1 to 3 hours,Percent
1998,Canada,Watch VCR movies,4 to 6 hours,Percent
1990,Austria,Play computer games,7 to 9 hours,Percent
1998,Spain,Watch VCR movies,4 to 6 hours,Percent
1994,Finland,Watch VCR movies,Not at all,Percent
1994,Russia,Watch VCR movies,1 to 3 hours,Percent
1994,Canada,Play computer games,Less than 1 hour,Percent
1990,Sweden,Watch VCR movies,1 to 3 hours,Percent
1990,Scotland,Play computer games,Not at all,Percent
1998,Austria,Play computer games,10 hours or more,Percent
1998,France,Watch VCR movies,4 to 6 hours,Percent
1998,Spain,Watch VCR movies,7 to 9 hours,Percent
1998,Hungary,Play computer games,Less than 1 hour,Percent
1998,Canada,Watch VCR movies,Less than 1 hour,Percent
1990,Austria,Play computer games,4 to 6 hours,Percent
1998,Hungary,Watch VCR movies,Less than 1 hour,Percent
1998,Greenland,Watch VCR movies,10 hours or more,Percent
1998,Latvia,Watch VCR movies,10 hours or more,Percent
1998,Belgium (Flemish speaking),Play computer games,10 hours or more,Percent
1998,United States,Watch VCR movies,1 to 3 hours,Percent
1994,Austria,Play computer games,4 to 6 hours,Percent
1990,Wales,Watch VCR movies,Less than 1 hour,Percent
1994,Lithuania,Play computer games,1 to 3 hours,Percent
1994,Denmark,Play computer games,4 to 6 hours,Percent
1998,Belgium (French speaking),Play computer games,Not at all,Percent
1994,Latvia,Watch VCR movies,1 to 3 hours,Percent
1998,Austria,Play computer games,1 to 3 hours,Percent
1998,Denmark,Play computer games,7 to 9 hours,Percent
1998,Lithuania,Play computer games,4 to 6 hours,Percent
1994,Austria,Watch VCR movies,4 to 6 hours,Percent
1994,Finland,Watch VCR movies,7 to 9 hours,Percent
1998,Belgium (French speaking),Watch VCR movies,10 hours or more,Percent
1994,Lithuania,Play computer games,1 to 3 hours,Percent
1994,Canada,Watch VCR movies,Less than 1 hour,Percent
1990,Norway,Play computer games,7 to 9 hours,Percent
1998,Czech Republic,Watch VCR movies,4 to 6 hours,Percent
1994,Lithuania,Play computer games,4 to 6 hours,Percent
1998,Spain,Watch VCR movies,1 to 3 hours,Percent
1994,France,Play computer games,Not at all,Percent
1994,Belgium,Play computer games,Not at all,Percent
1994,Austria,Play computer games,10 hours or more,Percent
1994,Russia,Play computer games,Not at all,Percent
1998,Greece,Play computer games,Not at all,Percent
1998,Sweden,Play computer games,10 hours or more,Percent
1998,Denmark,Watch VCR movies,Less than 1 hour,Percent
1994,Belgium,Watch VCR movies,10 hours or more,Percent
1998,Israel,Play computer games,Less than 1 hour,Percent
1994,Spain,Watch VCR movies,Less than 1 hour,Percent
1994,Scotland,Watch VCR movies,1 to 3 hours,Percent
1990,Canada,Watch VCR movies,4 to 6 hours,Percent
1998,Spain,Play computer games,4 to 6 hours,Percent
1998,Switzerland,Play computer games,Less than 1 hour,Percent
1998,Latvia,Watch VCR movies,4 to 6 hours,Percent
1990,Wales,Watch VCR movies,10 hours or more,Percent
1994,Austria,Play computer games,4 to 6 hours,Percent
1994,Scotland,Watch VCR movies,1 to 3 hours,Percent
1990,Sweden,Watch VCR movies,Not at all,Percent
1994,Finland,Watch VCR movies,Not at all,Percent
1994,Slovakia,Play computer games,Not at all,Percent
1990,Scotland,Watch VCR movies,Not at all,Percent
1990,Belgium,Play computer games,Not at all,Percent
1998,Greenland,Watch VCR movies,Not at all,Percent
1998,Belgium (Flemish speaking),Watch VCR movies,4 to 6 hours,Percent
1994,Russia,Play computer games,7 to 9 hours,Percent
1998,Northern Ireland,Watch VCR movies,4 to 6 hours,Percent
1990,Sweden,Watch VCR movies,7 to 9 hours,Percent
1998,Scotland,Watch VCR movies,4 to 6 hours,Percent
1990,Austria,Watch VCR movies,7 to 9 hours,Percent
1998,Scotland,Play computer games,Less than 1 hour,Percent
1994,Czech Republic,Play computer games,10 hours or more,Percent
1994,Hungary,Play computer games,7 to 9 hours,Percent
1990,Norway,Watch VCR movies,10 hours or more,Percent
1994,Russia,Play computer games,7 to 9 hours,Percent
1994,Belgium,Watch VCR movies,Less than 1 hour,Percent
1994,Northern Ireland,Watch VCR movies,7 to 9 hours,Percent
1998,Canada,Play computer games,4 to 6 hours,Percent
1998,Slovakia,Watch VCR movies,Not at all,Percent
1998,Sweden,Watch VCR movies,7 to 9 hours,Percent
1994,Hungary,Play computer games,10 hours or more,Percent
1998,Scotland,Watch VCR movies,Less than 1 hour,Percent
1994,Sweden,Play computer games,4 to 6 hours,Percent
1990,Belgium,Play computer games,7 to 9 hours,Percent
1998,Wales,Play computer games,Not at all,Percent
1994,Estonia,Watch VCR movies,10 hours or more,Percent
1998,Russia,Play computer games,10 hours or more,Percent
1990,Hungary,Play computer games,1 to 3 hours,Percent
1994,Estonia,Play computer games,7 to 9 hours,Percent
1998,Denmark,Play computer games,1 to 3 hours,Percent
1998,Northern Ireland,Watch VCR movies,1 to 3 hours,Percent
1994,Slovakia,Watch VCR movies,Less than 1 hour,Percent
1998,Canada,Play computer games,10 hours or more,Percent
1994,Canada,Watch VCR movies,1 to 3 hours,Percent
1990,Finland,Play computer games,Less than 1 hour,Percent
1994,Wales,Play computer games,Not at all,Percent
1998,Greenland,Play computer games,10 hours or more,Percent
1998,Scotland,Watch VCR movies,4 to 6 hours,Percent
1994,Estonia,Watch VCR movies,4 to 6 hours,Percent
1998,Belgium (French speaking),Play computer games,Not at all,Percent
1994,Canada,Watch VCR movies,10 hours or more,Percent
1994,Slovakia,Play computer games,Less than 1 hour,Percent
1998,Germany,Play computer games,Less than 1 hour,Percent
1998,Russia,Watch VCR movies,Less than 1 hour,Percent
1990,Poland,Watch VCR movies,Less than 1 hour,Percent
1994,Estonia,Play computer games,4 to 6 hours,Percent
