"ï»¿""REF_DATE""",Age group,Activity,Time spent
1998,15 years,Play computer games,Less than 1 hour
1998,11 years,Watch VCR movies,Less than 1 hour
1994,15 years,Watch VCR movies,1 to 3 hours
1994,11 years,Watch VCR movies,10 hours or more
1998,11 years,Watch VCR movies,7 to 9 hours
1994,11 years,Play computer games,Not at all
1994,13 years,Play computer games,10 hours or more
1994,11 years,Play computer games,Not at all
1998,15 years,Watch VCR movies,10 hours or more
1998,11 years,Watch VCR movies,Less than 1 hour
1998,15 years,Watch VCR movies,10 hours or more
1994,13 years,Watch VCR movies,Not at all
1998,13 years,Watch VCR movies,Less than 1 hour
1998,13 years,Watch VCR movies,Not at all
1998,15 years,Play computer games,Less than 1 hour
1998,11 years,Play computer games,Less than 1 hour
1994,11 years,Watch VCR movies,10 hours or more
1998,11 years,Watch VCR movies,7 to 9 hours
1994,13 years,Play computer games,7 to 9 hours
1998,13 years,Watch VCR movies,1 to 3 hours
1998,13 years,Play computer games,Less than 1 hour
1998,15 years,Watch VCR movies,4 to 6 hours
1998,11 years,Play computer games,4 to 6 hours
1990,13 years,Watch VCR movies,4 to 6 hours
1998,15 years,Play computer games,7 to 9 hours
1990,11 years,Play computer games,4 to 6 hours
1994,15 years,Play computer games,1 to 3 hours
1998,15 years,Play computer games,1 to 3 hours
1998,13 years,Watch VCR movies,7 to 9 hours
1990,15 years,Play computer games,4 to 6 hours
1990,13 years,Watch VCR movies,10 hours or more
1998,13 years,Watch VCR movies,Not at all
1994,13 years,Watch VCR movies,7 to 9 hours
1998,11 years,Watch VCR movies,10 hours or more
1998,11 years,Watch VCR movies,1 to 3 hours
1998,11 years,Watch VCR movies,4 to 6 hours
1998,15 years,Play computer games,Less than 1 hour
1994,13 years,Watch VCR movies,10 hours or more
1998,13 years,Watch VCR movies,1 to 3 hours
1994,15 years,Play computer games,Less than 1 hour
1994,13 years,Watch VCR movies,4 to 6 hours
1990,11 years,Play computer games,1 to 3 hours
1994,13 years,Play computer games,7 to 9 hours
1998,13 years,Play computer games,Not at all
1998,13 years,Watch VCR movies,Not at all
1994,15 years,Play computer games,Less than 1 hour
1998,15 years,Watch VCR movies,Not at all
1994,13 years,Play computer games,7 to 9 hours
1994,11 years,Play computer games,4 to 6 hours
1998,11 years,Watch VCR movies,7 to 9 hours
1994,11 years,Watch VCR movies,7 to 9 hours
1994,11 years,Play computer games,1 to 3 hours
1994,13 years,Play computer games,1 to 3 hours
1990,15 years,Play computer games,10 hours or more
1994,13 years,Watch VCR movies,Not at all
1998,13 years,Watch VCR movies,1 to 3 hours
1998,11 years,Watch VCR movies,Less than 1 hour
1998,13 years,Watch VCR movies,10 hours or more
1998,15 years,Watch VCR movies,Less than 1 hour
1998,15 years,Watch VCR movies,Not at all
1994,11 years,Watch VCR movies,4 to 6 hours
1994,15 years,Watch VCR movies,Less than 1 hour
1998,13 years,Watch VCR movies,Less than 1 hour
1994,13 years,Play computer games,1 to 3 hours
1998,15 years,Watch VCR movies,7 to 9 hours
1994,11 years,Watch VCR movies,4 to 6 hours
1990,15 years,Watch VCR movies,Not at all
1998,13 years,Play computer games,Less than 1 hour
1998,15 years,Watch VCR movies,4 to 6 hours
1998,11 years,Play computer games,1 to 3 hours
1994,11 years,Play computer games,4 to 6 hours
1990,11 years,Play computer games,Less than 1 hour
1990,11 years,Watch VCR movies,1 to 3 hours
1998,11 years,Watch VCR movies,Less than 1 hour
1994,15 years,Play computer games,1 to 3 hours
1998,15 years,Watch VCR movies,4 to 6 hours
1994,13 years,Play computer games,10 hours or more
1994,13 years,Watch VCR movies,7 to 9 hours
1994,13 years,Watch VCR movies,Less than 1 hour
1994,15 years,Watch VCR movies,Not at all
1998,13 years,Watch VCR movies,7 to 9 hours
1994,11 years,Play computer games,7 to 9 hours
1998,15 years,Watch VCR movies,Not at all
1998,11 years,Watch VCR movies,1 to 3 hours
1994,11 years,Watch VCR movies,4 to 6 hours
1990,15 years,Play computer games,Not at all
1998,11 years,Play computer games,4 to 6 hours
1990,15 years,Play computer games,1 to 3 hours
1998,15 years,Play computer games,7 to 9 hours
1994,13 years,Watch VCR movies,7 to 9 hours
1998,11 years,Play computer games,Not at all
1994,15 years,Play computer games,1 to 3 hours
1990,15 years,Play computer games,Not at all
1994,15 years,Watch VCR movies,Less than 1 hour
1998,11 years,Watch VCR movies,Not at all
1998,11 years,Play computer games,1 to 3 hours
1998,13 years,Play computer games,10 hours or more
1990,13 years,Watch VCR movies,Not at all
1998,13 years,Watch VCR movies,Not at all
1998,15 years,Play computer games,4 to 6 hours
1994,15 years,Play computer games,4 to 6 hours
1994,13 years,Watch VCR movies,Not at all
1998,15 years,Play computer games,Not at all
1998,13 years,Watch VCR movies,7 to 9 hours
1998,11 years,Play computer games,Not at all
1998,11 years,Play computer games,Less than 1 hour
1998,15 years,Watch VCR movies,10 hours or more
1994,11 years,Play computer games,Less than 1 hour
1994,13 years,Watch VCR movies,Less than 1 hour
1994,13 years,Play computer games,Less than 1 hour
1998,13 years,Play computer games,1 to 3 hours
1990,15 years,Play computer games,Not at all
1998,15 years,Watch VCR movies,Not at all
1998,11 years,Watch VCR movies,1 to 3 hours
1994,13 years,Watch VCR movies,4 to 6 hours
1998,13 years,Watch VCR movies,Less than 1 hour
1990,11 years,Play computer games,7 to 9 hours
1998,11 years,Play computer games,1 to 3 hours
1994,15 years,Play computer games,1 to 3 hours
1994,13 years,Play computer games,10 hours or more
1998,15 years,Watch VCR movies,4 to 6 hours
1998,11 years,Play computer games,1 to 3 hours
1990,11 years,Play computer games,1 to 3 hours
1994,11 years,Watch VCR movies,Less than 1 hour
1998,13 years,Watch VCR movies,4 to 6 hours
1998,11 years,Watch VCR movies,1 to 3 hours
1998,15 years,Watch VCR movies,10 hours or more
1990,11 years,Play computer games,4 to 6 hours
1994,13 years,Play computer games,10 hours or more
1990,13 years,Play computer games,7 to 9 hours
1998,15 years,Watch VCR movies,Not at all
1994,11 years,Play computer games,Less than 1 hour
1994,13 years,Play computer games,Less than 1 hour
1994,15 years,Watch VCR movies,1 to 3 hours
1998,13 years,Watch VCR movies,Less than 1 hour
1998,11 years,Watch VCR movies,Not at all
1998,13 years,Watch VCR movies,7 to 9 hours
1990,15 years,Watch VCR movies,4 to 6 hours
1998,15 years,Watch VCR movies,10 hours or more
1994,13 years,Watch VCR movies,Not at all
1998,13 years,Play computer games,7 to 9 hours
1994,15 years,Play computer games,Not at all
1994,11 years,Play computer games,1 to 3 hours
1998,11 years,Play computer games,1 to 3 hours
1994,11 years,Play computer games,Not at all
1994,13 years,Play computer games,Less than 1 hour
1998,11 years,Play computer games,Not at all
1994,13 years,Watch VCR movies,Not at all
1998,15 years,Watch VCR movies,Less than 1 hour
1994,13 years,Play computer games,10 hours or more
1998,13 years,Play computer games,10 hours or more
1990,15 years,Play computer games,Less than 1 hour
1994,15 years,Play computer games,10 hours or more
1990,13 years,Watch VCR movies,4 to 6 hours
1998,15 years,Play computer games,Less than 1 hour
1998,15 years,Watch VCR movies,4 to 6 hours
1994,11 years,Watch VCR movies,Not at all
1998,11 years,Play computer games,7 to 9 hours
1998,15 years,Play computer games,10 hours or more
1994,11 years,Play computer games,Not at all
1998,15 years,Watch VCR movies,1 to 3 hours
1994,15 years,Watch VCR movies,1 to 3 hours
1998,11 years,Watch VCR movies,Not at all
1998,11 years,Play computer games,Less than 1 hour
1998,11 years,Play computer games,Less than 1 hour
1990,11 years,Watch VCR movies,1 to 3 hours
1998,13 years,Play computer games,Not at all
1998,15 years,Play computer games,4 to 6 hours
1990,13 years,Play computer games,4 to 6 hours
1990,15 years,Play computer games,7 to 9 hours
1994,11 years,Play computer games,1 to 3 hours
1998,13 years,Play computer games,10 hours or more
1998,13 years,Watch VCR movies,Less than 1 hour
1998,15 years,Play computer games,10 hours or more
1998,11 years,Play computer games,1 to 3 hours
1998,11 years,Play computer games,1 to 3 hours
1994,11 years,Watch VCR movies,1 to 3 hours
1998,11 years,Play computer games,1 to 3 hours
1998,11 years,Play computer games,4 to 6 hours
1994,13 years,Play computer games,Less than 1 hour
1994,15 years,Play computer games,7 to 9 hours
1994,15 years,Play computer games,Less than 1 hour
1990,11 years,Play computer games,1 to 3 hours
1994,13 years,Play computer games,Less than 1 hour
1994,11 years,Watch VCR movies,4 to 6 hours
1990,15 years,Watch VCR movies,4 to 6 hours
1998,11 years,Play computer games,10 hours or more
1994,13 years,Watch VCR movies,Not at all
1998,13 years,Play computer games,Not at all
1994,13 years,Play computer games,Less than 1 hour
1994,13 years,Play computer games,7 to 9 hours
1998,15 years,Play computer games,4 to 6 hours
1994,13 years,Play computer games,Not at all
1994,11 years,Play computer games,Less than 1 hour
1994,13 years,Watch VCR movies,7 to 9 hours
1994,13 years,Play computer games,1 to 3 hours
1998,11 years,Play computer games,4 to 6 hours
1998,11 years,Watch VCR movies,1 to 3 hours
1994,13 years,Play computer games,7 to 9 hours
1994,11 years,Watch VCR movies,10 hours or more
1994,13 years,Watch VCR movies,7 to 9 hours
1990,13 years,Watch VCR movies,Not at all
1998,13 years,Play computer games,10 hours or more
1998,15 years,Watch VCR movies,7 to 9 hours
1998,13 years,Watch VCR movies,10 hours or more
1998,15 years,Play computer games,4 to 6 hours
1994,13 years,Play computer games,Not at all
1990,13 years,Play computer games,1 to 3 hours
1994,15 years,Watch VCR movies,Less than 1 hour
1998,11 years,Play computer games,Not at all
1998,13 years,Play computer games,Less than 1 hour
1998,15 years,Play computer games,1 to 3 hours
1990,11 years,Watch VCR movies,10 hours or more
1998,11 years,Play computer games,10 hours or more
1994,11 years,Watch VCR movies,10 hours or more
1994,15 years,Play computer games,10 hours or more
1990,13 years,Watch VCR movies,10 hours or more
1994,13 years,Watch VCR movies,7 to 9 hours
1998,13 years,Watch VCR movies,1 to 3 hours
1994,13 years,Play computer games,10 hours or more
1994,15 years,Play computer games,1 to 3 hours
1998,13 years,Watch VCR movies,Less than 1 hour
1998,13 years,Watch VCR movies,4 to 6 hours
1994,11 years,Play computer games,Not at all
1990,13 years,Watch VCR movies,7 to 9 hours
1998,11 years,Watch VCR movies,Not at all
1994,15 years,Play computer games,Not at all
1994,13 years,Watch VCR movies,1 to 3 hours
1994,13 years,Play computer games,1 to 3 hours
1998,13 years,Watch VCR movies,1 to 3 hours
1998,11 years,Play computer games,Not at all
1994,15 years,Watch VCR movies,4 to 6 hours
1998,11 years,Watch VCR movies,1 to 3 hours
1990,11 years,Watch VCR movies,1 to 3 hours
1994,11 years,Play computer games,1 to 3 hours
1998,11 years,Play computer games,4 to 6 hours
1990,13 years,Play computer games,7 to 9 hours
1994,11 years,Play computer games,4 to 6 hours
1998,11 years,Watch VCR movies,4 to 6 hours
1990,13 years,Play computer games,4 to 6 hours
1990,11 years,Watch VCR movies,Not at all
1990,13 years,Play computer games,7 to 9 hours
1994,11 years,Watch VCR movies,10 hours or more
1998,13 years,Play computer games,Not at all
1994,11 years,Watch VCR movies,4 to 6 hours
1994,11 years,Watch VCR movies,4 to 6 hours
1998,13 years,Play computer games,4 to 6 hours
1998,13 years,Watch VCR movies,Not at all
1990,15 years,Watch VCR movies,Not at all
1990,11 years,Watch VCR movies,1 to 3 hours
1994,13 years,Play computer games,7 to 9 hours
1998,11 years,Watch VCR movies,Not at all
1990,13 years,Watch VCR movies,7 to 9 hours
1994,11 years,Watch VCR movies,4 to 6 hours
1998,13 years,Play computer games,7 to 9 hours
1994,11 years,Watch VCR movies,4 to 6 hours
1990,11 years,Play computer games,1 to 3 hours
1998,15 years,Watch VCR movies,1 to 3 hours
1998,15 years,Play computer games,Not at all
1998,15 years,Watch VCR movies,10 hours or more
1994,13 years,Play computer games,1 to 3 hours
1998,13 years,Play computer games,4 to 6 hours
1990,15 years,Watch VCR movies,Not at all
1998,13 years,Play computer games,Less than 1 hour
1990,13 years,Play computer games,4 to 6 hours
1998,11 years,Watch VCR movies,10 hours or more
1998,11 years,Watch VCR movies,7 to 9 hours
1994,15 years,Watch VCR movies,7 to 9 hours
1990,15 years,Watch VCR movies,Not at all
1998,11 years,Play computer games,10 hours or more
1998,13 years,Watch VCR movies,Less than 1 hour
1998,15 years,Play computer games,10 hours or more
1998,11 years,Play computer games,7 to 9 hours
1998,15 years,Play computer games,1 to 3 hours
1990,15 years,Play computer games,1 to 3 hours
1998,15 years,Play computer games,4 to 6 hours
1994,13 years,Watch VCR movies,Less than 1 hour
1994,11 years,Watch VCR movies,1 to 3 hours
1994,15 years,Play computer games,7 to 9 hours
1994,13 years,Play computer games,Less than 1 hour
1998,15 years,Watch VCR movies,Not at all
1994,15 years,Play computer games,1 to 3 hours
1998,13 years,Watch VCR movies,1 to 3 hours
1998,11 years,Play computer games,1 to 3 hours
1998,11 years,Watch VCR movies,4 to 6 hours
1998,13 years,Play computer games,Not at all
1998,13 years,Play computer games,10 hours or more
1994,15 years,Watch VCR movies,10 hours or more
1994,15 years,Play computer games,7 to 9 hours
1998,11 years,Watch VCR movies,7 to 9 hours
1994,13 years,Play computer games,7 to 9 hours
1998,13 years,Play computer games,4 to 6 hours
1998,13 years,Play computer games,Not at all
1994,15 years,Play computer games,Not at all
1994,13 years,Play computer games,7 to 9 hours
1998,11 years,Play computer games,7 to 9 hours
1998,15 years,Play computer games,1 to 3 hours
1998,11 years,Watch VCR movies,1 to 3 hours
1990,13 years,Play computer games,1 to 3 hours
1994,13 years,Watch VCR movies,Less than 1 hour
1994,15 years,Watch VCR movies,Less than 1 hour
1990,13 years,Play computer games,Less than 1 hour
1994,15 years,Play computer games,1 to 3 hours
1994,15 years,Watch VCR movies,7 to 9 hours
1994,15 years,Watch VCR movies,4 to 6 hours
1994,11 years,Watch VCR movies,Less than 1 hour
1998,11 years,Watch VCR movies,10 hours or more
1994,11 years,Play computer games,4 to 6 hours
1998,11 years,Watch VCR movies,4 to 6 hours
1994,15 years,Play computer games,7 to 9 hours
1998,13 years,Play computer games,1 to 3 hours
1998,11 years,Watch VCR movies,Not at all
1998,11 years,Play computer games,10 hours or more
1994,11 years,Watch VCR movies,4 to 6 hours
1998,13 years,Play computer games,Less than 1 hour
1998,13 years,Watch VCR movies,7 to 9 hours
1998,15 years,Play computer games,1 to 3 hours
1990,15 years,Play computer games,4 to 6 hours
1998,11 years,Watch VCR movies,Less than 1 hour
1998,15 years,Watch VCR movies,Less than 1 hour
1998,15 years,Play computer games,7 to 9 hours
1998,13 years,Play computer games,7 to 9 hours
1998,15 years,Play computer games,Not at all
1998,11 years,Watch VCR movies,7 to 9 hours
1994,15 years,Play computer games,10 hours or more
1998,15 years,Play computer games,4 to 6 hours
1994,13 years,Play computer games,10 hours or more
1998,13 years,Watch VCR movies,7 to 9 hours
1998,15 years,Watch VCR movies,4 to 6 hours
1998,11 years,Watch VCR movies,10 hours or more
1998,13 years,Play computer games,Less than 1 hour
1998,11 years,Watch VCR movies,1 to 3 hours
1990,15 years,Watch VCR movies,7 to 9 hours
1990,13 years,Watch VCR movies,1 to 3 hours
1990,11 years,Watch VCR movies,1 to 3 hours
1990,15 years,Play computer games,Less than 1 hour
1998,11 years,Watch VCR movies,Less than 1 hour
1994,13 years,Play computer games,Not at all
1998,11 years,Watch VCR movies,Less than 1 hour
1994,13 years,Watch VCR movies,Not at all
1994,13 years,Play computer games,4 to 6 hours
1998,15 years,Watch VCR movies,1 to 3 hours
1998,11 years,Watch VCR movies,Less than 1 hour
1994,15 years,Play computer games,Less than 1 hour
1990,11 years,Play computer games,4 to 6 hours
1994,13 years,Watch VCR movies,1 to 3 hours
1998,11 years,Play computer games,Not at all
1990,11 years,Watch VCR movies,1 to 3 hours
1990,13 years,Watch VCR movies,7 to 9 hours
1994,15 years,Watch VCR movies,4 to 6 hours
1994,11 years,Play computer games,Not at all
1990,15 years,Watch VCR movies,10 hours or more
1998,15 years,Watch VCR movies,7 to 9 hours
1998,13 years,Play computer games,1 to 3 hours
1998,13 years,Watch VCR movies,4 to 6 hours
1990,11 years,Play computer games,7 to 9 hours
1990,15 years,Watch VCR movies,10 hours or more
1998,11 years,Watch VCR movies,Not at all
1990,11 years,Watch VCR movies,Less than 1 hour
1994,13 years,Play computer games,7 to 9 hours
1998,11 years,Watch VCR movies,Not at all
1998,13 years,Play computer games,Less than 1 hour
1990,15 years,Play computer games,10 hours or more
1994,15 years,Watch VCR movies,1 to 3 hours
1990,11 years,Watch VCR movies,10 hours or more
1994,13 years,Watch VCR movies,Less than 1 hour
1998,15 years,Play computer games,1 to 3 hours
1990,11 years,Watch VCR movies,10 hours or more
1998,15 years,Watch VCR movies,Less than 1 hour
1998,11 years,Play computer games,7 to 9 hours
1994,15 years,Watch VCR movies,4 to 6 hours
1998,11 years,Watch VCR movies,10 hours or more
1994,15 years,Watch VCR movies,10 hours or more
1998,11 years,Play computer games,1 to 3 hours
1990,11 years,Watch VCR movies,7 to 9 hours
1998,13 years,Play computer games,10 hours or more
1998,13 years,Watch VCR movies,10 hours or more
1998,11 years,Watch VCR movies,1 to 3 hours
1990,15 years,Watch VCR movies,10 hours or more
1998,11 years,Play computer games,1 to 3 hours
1998,11 years,Play computer games,7 to 9 hours
1994,11 years,Play computer games,Not at all
1998,11 years,Play computer games,Less than 1 hour
1994,15 years,Play computer games,10 hours or more
1998,11 years,Watch VCR movies,Not at all
1998,13 years,Play computer games,4 to 6 hours
1994,11 years,Play computer games,1 to 3 hours
1994,13 years,Play computer games,7 to 9 hours
1994,11 years,Play computer games,4 to 6 hours
1994,13 years,Play computer games,Less than 1 hour
1998,13 years,Play computer games,1 to 3 hours
1998,11 years,Watch VCR movies,4 to 6 hours
1998,13 years,Play computer games,Less than 1 hour
1994,15 years,Watch VCR movies,10 hours or more
1990,11 years,Play computer games,4 to 6 hours
1994,15 years,Watch VCR movies,1 to 3 hours
1998,13 years,Play computer games,Less than 1 hour
1998,13 years,Watch VCR movies,7 to 9 hours
1990,15 years,Watch VCR movies,1 to 3 hours
1998,15 years,Watch VCR movies,1 to 3 hours
1994,11 years,Play computer games,10 hours or more
1998,15 years,Play computer games,Less than 1 hour
1990,13 years,Watch VCR movies,10 hours or more
1994,11 years,Watch VCR movies,Less than 1 hour
1998,11 years,Play computer games,Not at all
1994,13 years,Play computer games,7 to 9 hours
1998,15 years,Watch VCR movies,10 hours or more
1994,11 years,Watch VCR movies,7 to 9 hours
1994,13 years,Play computer games,10 hours or more
1994,11 years,Play computer games,10 hours or more
1998,13 years,Watch VCR movies,4 to 6 hours
1998,11 years,Play computer games,Not at all
1994,11 years,Play computer games,10 hours or more
1998,13 years,Watch VCR movies,10 hours or more
1998,13 years,Watch VCR movies,Less than 1 hour
1998,15 years,Watch VCR movies,7 to 9 hours
1994,13 years,Play computer games,Less than 1 hour
1990,13 years,Watch VCR movies,1 to 3 hours
1998,15 years,Watch VCR movies,4 to 6 hours
1998,13 years,Play computer games,10 hours or more
1998,15 years,Play computer games,10 hours or more
1998,13 years,Watch VCR movies,Less than 1 hour
1994,11 years,Watch VCR movies,10 hours or more
1998,11 years,Watch VCR movies,Not at all
1998,13 years,Watch VCR movies,1 to 3 hours
1998,11 years,Watch VCR movies,10 hours or more
1998,13 years,Watch VCR movies,10 hours or more
1998,11 years,Play computer games,1 to 3 hours
1994,11 years,Play computer games,Not at all
1990,13 years,Watch VCR movies,4 to 6 hours
1998,11 years,Watch VCR movies,1 to 3 hours
1998,15 years,Play computer games,7 to 9 hours
1998,15 years,Play computer games,4 to 6 hours
1998,11 years,Play computer games,7 to 9 hours
1998,15 years,Play computer games,1 to 3 hours
1994,13 years,Play computer games,7 to 9 hours
1990,15 years,Watch VCR movies,1 to 3 hours
1994,11 years,Play computer games,7 to 9 hours
1994,11 years,Play computer games,1 to 3 hours
1994,15 years,Watch VCR movies,1 to 3 hours
1998,13 years,Play computer games,1 to 3 hours
1998,15 years,Watch VCR movies,Less than 1 hour
1990,15 years,Play computer games,1 to 3 hours
1998,15 years,Watch VCR movies,1 to 3 hours
1994,15 years,Play computer games,7 to 9 hours
1994,15 years,Play computer games,1 to 3 hours
1994,11 years,Watch VCR movies,Not at all
1998,15 years,Play computer games,10 hours or more
1994,11 years,Watch VCR movies,Less than 1 hour
1998,11 years,Watch VCR movies,10 hours or more
1994,13 years,Play computer games,10 hours or more
1998,11 years,Play computer games,Not at all
1998,11 years,Watch VCR movies,4 to 6 hours
1994,13 years,Watch VCR movies,10 hours or more
1990,11 years,Play computer games,10 hours or more
1994,11 years,Watch VCR movies,1 to 3 hours
1990,11 years,Play computer games,1 to 3 hours
1998,13 years,Watch VCR movies,Less than 1 hour
1994,15 years,Watch VCR movies,4 to 6 hours
1994,15 years,Play computer games,10 hours or more
1990,15 years,Play computer games,7 to 9 hours
1998,15 years,Play computer games,Less than 1 hour
1994,11 years,Watch VCR movies,7 to 9 hours
1998,15 years,Watch VCR movies,10 hours or more
1990,15 years,Play computer games,7 to 9 hours
1998,11 years,Play computer games,7 to 9 hours
1998,13 years,Watch VCR movies,1 to 3 hours
1994,15 years,Watch VCR movies,1 to 3 hours
1998,15 years,Watch VCR movies,4 to 6 hours
1990,13 years,Play computer games,10 hours or more
1994,15 years,Watch VCR movies,10 hours or more
1998,11 years,Play computer games,4 to 6 hours
1998,11 years,Play computer games,7 to 9 hours
1994,11 years,Play computer games,7 to 9 hours
1990,13 years,Watch VCR movies,10 hours or more
1994,13 years,Watch VCR movies,10 hours or more
1990,13 years,Play computer games,Less than 1 hour
1998,13 years,Watch VCR movies,10 hours or more
1994,11 years,Play computer games,4 to 6 hours
1998,11 years,Watch VCR movies,Less than 1 hour
1994,13 years,Watch VCR movies,7 to 9 hours
1994,11 years,Watch VCR movies,1 to 3 hours
1990,11 years,Play computer games,7 to 9 hours
1998,11 years,Watch VCR movies,7 to 9 hours
1998,15 years,Watch VCR movies,7 to 9 hours
1990,15 years,Play computer games,10 hours or more
1990,11 years,Watch VCR movies,7 to 9 hours
1994,11 years,Play computer games,1 to 3 hours
1998,15 years,Play computer games,10 hours or more
1998,13 years,Watch VCR movies,1 to 3 hours
1998,15 years,Play computer games,Less than 1 hour
1990,11 years,Play computer games,4 to 6 hours
1994,15 years,Watch VCR movies,Less than 1 hour
1994,11 years,Watch VCR movies,10 hours or more
1998,15 years,Play computer games,Less than 1 hour
1998,13 years,Play computer games,4 to 6 hours
1990,11 years,Watch VCR movies,Not at all
1994,11 years,Watch VCR movies,1 to 3 hours
1998,15 years,Watch VCR movies,4 to 6 hours
1998,13 years,Watch VCR movies,Not at all
1994,11 years,Play computer games,1 to 3 hours
1994,15 years,Play computer games,Not at all
1994,13 years,Play computer games,Not at all
1998,13 years,Play computer games,10 hours or more
1998,13 years,Watch VCR movies,Not at all
1998,15 years,Watch VCR movies,Less than 1 hour
1998,13 years,Play computer games,4 to 6 hours
1998,11 years,Watch VCR movies,10 hours or more
1998,13 years,Play computer games,4 to 6 hours
1994,15 years,Watch VCR movies,7 to 9 hours
1994,15 years,Watch VCR movies,Less than 1 hour
1998,13 years,Watch VCR movies,4 to 6 hours
1994,13 years,Watch VCR movies,10 hours or more
1990,13 years,Watch VCR movies,1 to 3 hours
1998,11 years,Watch VCR movies,1 to 3 hours
1998,13 years,Watch VCR movies,Not at all
1998,13 years,Watch VCR movies,7 to 9 hours
1998,13 years,Watch VCR movies,10 hours or more
1998,11 years,Play computer games,7 to 9 hours
1994,15 years,Watch VCR movies,7 to 9 hours
1998,11 years,Watch VCR movies,4 to 6 hours
1994,15 years,Watch VCR movies,7 to 9 hours
1994,13 years,Play computer games,4 to 6 hours
1998,13 years,Watch VCR movies,Less than 1 hour
1994,15 years,Watch VCR movies,Not at all
1998,15 years,Watch VCR movies,10 hours or more
1998,13 years,Watch VCR movies,4 to 6 hours
1998,11 years,Play computer games,4 to 6 hours
1994,15 years,Watch VCR movies,7 to 9 hours
1998,13 years,Watch VCR movies,4 to 6 hours
1990,13 years,Watch VCR movies,4 to 6 hours
1990,13 years,Play computer games,10 hours or more
1998,13 years,Watch VCR movies,1 to 3 hours
1994,13 years,Play computer games,10 hours or more
1990,15 years,Play computer games,4 to 6 hours
1998,11 years,Watch VCR movies,Less than 1 hour
1994,13 years,Play computer games,10 hours or more
1998,13 years,Watch VCR movies,1 to 3 hours
1998,11 years,Play computer games,1 to 3 hours
1998,13 years,Watch VCR movies,Not at all
1994,13 years,Watch VCR movies,1 to 3 hours
1998,15 years,Watch VCR movies,10 hours or more
1994,11 years,Play computer games,Less than 1 hour
1998,15 years,Watch VCR movies,7 to 9 hours
1998,15 years,Play computer games,10 hours or more
1998,13 years,Watch VCR movies,1 to 3 hours
1998,15 years,Play computer games,10 hours or more
1990,15 years,Play computer games,1 to 3 hours
1994,11 years,Play computer games,Not at all
1990,15 years,Play computer games,4 to 6 hours
1998,11 years,Play computer games,7 to 9 hours
1998,15 years,Play computer games,4 to 6 hours
1994,11 years,Watch VCR movies,4 to 6 hours
1994,15 years,Watch VCR movies,1 to 3 hours
1990,15 years,Play computer games,10 hours or more
1994,15 years,Watch VCR movies,10 hours or more
1994,15 years,Watch VCR movies,7 to 9 hours
1998,13 years,Play computer games,10 hours or more
1994,11 years,Watch VCR movies,1 to 3 hours
1998,11 years,Play computer games,7 to 9 hours
1998,13 years,Play computer games,4 to 6 hours
1998,11 years,Watch VCR movies,1 to 3 hours
1998,11 years,Watch VCR movies,4 to 6 hours
1998,15 years,Play computer games,Less than 1 hour
1994,11 years,Watch VCR movies,Less than 1 hour
1998,11 years,Watch VCR movies,10 hours or more
1990,13 years,Play computer games,4 to 6 hours
1994,13 years,Play computer games,Not at all
1998,15 years,Watch VCR movies,Less than 1 hour
1998,15 years,Play computer games,7 to 9 hours
1998,15 years,Play computer games,1 to 3 hours
1990,15 years,Watch VCR movies,10 hours or more
1998,11 years,Watch VCR movies,4 to 6 hours
1994,15 years,Play computer games,10 hours or more
1998,15 years,Play computer games,4 to 6 hours
1998,13 years,Play computer games,7 to 9 hours
1994,15 years,Play computer games,4 to 6 hours
1994,11 years,Play computer games,Not at all
1994,13 years,Play computer games,Less than 1 hour
1998,15 years,Play computer games,1 to 3 hours
1990,15 years,Watch VCR movies,Less than 1 hour
1994,13 years,Play computer games,Not at all
1998,13 years,Play computer games,1 to 3 hours
1994,11 years,Watch VCR movies,4 to 6 hours
1998,13 years,Watch VCR movies,7 to 9 hours
1998,11 years,Watch VCR movies,10 hours or more
1994,11 years,Watch VCR movies,10 hours or more
1998,15 years,Play computer games,4 to 6 hours
1994,15 years,Play computer games,Not at all
1994,13 years,Watch VCR movies,10 hours or more
1998,13 years,Watch VCR movies,1 to 3 hours
1998,13 years,Play computer games,10 hours or more
1998,15 years,Play computer games,Not at all
1998,13 years,Watch VCR movies,Not at all
1994,11 years,Play computer games,4 to 6 hours
1998,15 years,Play computer games,10 hours or more
1998,11 years,Play computer games,10 hours or more
1998,15 years,Play computer games,1 to 3 hours
1990,11 years,Play computer games,Not at all
1994,15 years,Play computer games,Less than 1 hour
1994,11 years,Watch VCR movies,Not at all
1994,15 years,Play computer games,10 hours or more
1998,15 years,Watch VCR movies,1 to 3 hours
1994,11 years,Play computer games,10 hours or more
1994,11 years,Play computer games,Not at all
1994,15 years,Play computer games,4 to 6 hours
1998,13 years,Play computer games,10 hours or more
1998,15 years,Watch VCR movies,1 to 3 hours
1994,15 years,Play computer games,1 to 3 hours
1990,15 years,Watch VCR movies,1 to 3 hours
1998,13 years,Watch VCR movies,7 to 9 hours
1998,11 years,Watch VCR movies,10 hours or more
1998,15 years,Watch VCR movies,4 to 6 hours
1994,15 years,Play computer games,Less than 1 hour
1998,15 years,Play computer games,1 to 3 hours
1998,13 years,Watch VCR movies,Less than 1 hour
1998,15 years,Play computer games,4 to 6 hours
1994,15 years,Play computer games,Less than 1 hour
1994,13 years,Play computer games,4 to 6 hours
1994,11 years,Play computer games,Not at all
