artist,title,album
metallica,don't tread on me,metallica
lenny kravitz,lady,baptism
collin raye,i think about you,i think about you
our lady peace,superman's dead,clumsy
james horner,harry's game,patriot games soundtrack
counting crows,american girls,hard candy
rod stewart,have i told you lately,vagabond heart
kinks,lola,lola vs. the powerman &amp; the money-go-round pt. 1
they might be giants,memo to human resources,the spine
moby,if things were perfect,play
weezer,fall together,maladroit
weezer,island in the sun,weezer (2001)
sarah mclachlan,adia,mirrorball
dave matthews band,stay (wasting time),before these crowded streets
shania twain,that don't impress me much,come on over
shakira,d&oacute;nde est&aacute;s coraz&oacute;n,pies descalzos
david barrus,worlds apart,on stage 2: more broadway favorites
barenaked ladies,home,are me
cake,friend is a four letter word,fashion nugget
five for fighting,the riddle,two lights
aquabats,plastic lips!,charge!!
filter,take a picture,title of record
dave matthews,gravedigger,some devil
weezer,say it ain't so,weezer (1994)
u2,new york,all that you can't leave behind
nirvana,territorial pissings,nevermind
lisa loeb,furious rose,firecracker
wham,careless whisper,make it big
shawn colvin,nothin on me,a few small repairs
they might be giants,why must i be sad?,john henry
abba,super trouper,super trouper
stereo mc's,connected,connected
inxs,devil inside,kick
cure,lovesong,disintegration
new found glory,glory of love,from the screen to your stereo
my man friday,hey chico,night of the exotic tiki gods
harry simeone chorale,the little drummer boy,
jewel,where you are,goodbye alice in wonderland
dvorak,humoresque no. 7,
weezer,smile,weezer (2001)
bush,glycerine,sixteen stone
creed,one last breath,weathered
barenaked ladies,jane,maybe you should drive
verve,bittersweet symphony,urban hymns
christina aguilera,pero me acuerdo de t&iacute;,mi reflejo
maroon 5,sunday morning,songs about jane
bangles,where were you when i needed you,greatest hits
david cook,searchlights,analog heart
andrew lloyd webber,prima donna,phantom of the opera
cranberries,daffodil lament,no need to argue
everything,hooch,super natural
3 doors down,dangerous game,away from the sun
chopin,etude op.10 no.12 (revolutionary),
athenaeum,what i didn't know,radiance
shakira,no,fijaci&oacute;n oral vol. 1
cake,italian leather sofa,fashion nugget
pink,get the party started,m!ssundaztood
james taylor,walking man,walking man
weird al yankovic,you make me,even worse
chopin,polonaise no. 6 op.53 (heroic),
kenneth cope,why must the good die - free at last,my servant joseph
moby,everloving,play
boyz ii men,it's so hard to say goodbye to yesterday,cooleyhighharmony
green day,you lied,shenanigans
the simpsons,we love to smoke,go simpsonic with the simpsons
goo goo dolls,slide,dizzy up the girl
aerosmith,janie's got a gun,pump
mariah carey,honey,butterfly
ace of base,the sign,the sign
billy joel,the river of dreams,river of dreams
weezer,o girlfriend,weezer (2001)
son by four,lo que yo m&aacute;s quiero,son by four
aerosmith,jaded,just push play
les mis&eacute;rables,a little fall of rain,les mis&eacute;rables soundtrack
david hernandez,i saw her standing there,
weird al yankovic,yoda,dare to be stupid
michael mclean,from god's arms to my arms to yours,one heart in the right place
indigo girls,strange fire,strange fire
metallica,the unforgiven ii,reload
bad company,how about that,here comes trouble
blessid union of souls,light in your eyes,blessid union of souls
gershwin,rhapsody in blue,
u2,peace on earth,all that you can't leave behind
shania twain,from this moment on,come on over
ben folds five,smoke,whatever and ever amen
amy grant,big yellow taxi,house of love
howard jones,no one is to blame,dream into action
elton john,something about the way you look tonight,the big picture
aquabats,radiation song!,myths legends and other amazing adventures vol. 2
wilson phillips,hold on,wilson phillips
les mis&eacute;rables,who am i? - the trial,les mis&eacute;rables soundtrack
kris kross,jump,totally krossed out
big bad voodoo daddy,the boogie bumper,big bad voodoo daddy
man&aacute;,me voy a convertir en una ave,sue&ntilde;os liquidos
cher,believe,believe
blondie,heart of glass,parallel lines
squirrel nut zippers,flight of the passing fancy,hot
they might be giants,drink!,mink car
britney spears,baby one more time,baby one more time
red hot chili peppers,minor thing,by the way
bush,testosterone,sixteen stone
frank sinatra,the girl from ipanema,
syesha mercado,got to get you into my life,
diablitos,que no me faltes tu,
jack johnson,taylor,on and on
heart,these dreams,heart
mormon tabernacle choir,my shepherd will supply my need,consider the lilies
tony bennett,the way you look tonight,my best friend's wedding soundtrack
u2,i will follow,boy
weird al yankovic,polka your eyes out,off the deep end
michael mclean,you were not there in bethlehem (the shepherd),the forgotten carols
the simpsons,it was very good beer,songs in the key of springfield
live,all over you,throwing copper
garth brooks,friends in low places,no fences
toadies,i come from the water,rubberneck
they might be giants,bed bed bed,no!
gwen stefani,cool,love. angel. music. baby.
red hot chili peppers,venice queen,by the way
jason castro,memory,
donny osmond,i'll make a man out of you,mulan soundtrack
man&aacute;,gitana,falta amor
john mellencamp,jack and diane,american fool
beatles,with a little help from my friends,sgt. pepper's lonely hearts club band
tim mcgraw,don't take the girl,not a moment too soon
man&aacute;,desapariciones,mtv unplugged (man&aacute;)
corrs,one night,in blue
weezer,undone (the sweater song),weezer (1994)
jack johnson,drink the water,brushfire fairytales
tracy chapman,let it rain,let it rain
moby,porcelain,play
reel big fish,241,turn the radio off
aerosmith,amazing,get a grip
sarah mclachlan,angel,mirrorball
richard marx,the way she loves me,paid vacation
killers,sam's town,sam's town
war,low rider,why can't we be friends
better than ezra,good,deluxe
les mis&eacute;rables,the attack on rue plumet,les mis&eacute;rables soundtrack
maroon 5,tangled,songs about jane
norah jones,painter song,come away with me
queen,the show must go on,innuendo
rooftop singers,walk right in,walk right in
matchbox 20,push,yourself or someone like you
green day,letterbomb (clean),american idiot
itayp&uacute;,encuentros,folklore latinamericano vol. ii
hootie and the blowfish,let her cry,cracked rear view
guns n' roses,knocking on heaven's door,use your illusion ii
man&aacute;,perdido en un barco,falta amor
blues traveler,run around,four
les mis&eacute;rables,javert's suicide,les mis&eacute;rables soundtrack
natasha bedingfield,love like this,pocketful of sunshine
shawn colvin,sunny came home,a few small repairs
cranberries,salvation,to the faithful departed
beethoven,moonlight 3rd movement,
kristy lee cook,eight days a week,
ben folds,losing lisa,rockin' the suburbs
