Minister,Date,Name of organisation or individual,Purpose of meeting
Andrew Griffiths,2018-06-05,"Enterprise Forum, Centrica, 3M, Abellio, Association of British Insurers, Association of the British Pharmaceutical Industry, Association of Chartered Certified Accountants, Aerospace, Defence, Security & Space Group, Airbus, Arqiva, Asda, Association of Convenience Stores, BAE Systems, BASF - The Chemical Company, Bircham Dyson Bell, BP, British Chambers of Commerce, British Plastics Federation, Civil Engineering Contractors Association, Construction Products Association, Drax, EEF, The manufacturers' organisation, Energy UK, Federation of Master Builders, Food and Drink Federation¸ Federation of Small Business, Funding Circle, Heathrow, Institute of Chartered Accountants in England and Wales, Marks and Spencer, Nationwide Building Society, PRS for Music, Systems, Applications and Products, Thales, The Sports Consultancy, UK Hospitality, Vodafone, Walgreens Alliance Boots, Water UK",To discuss industrial strategy
Andrew Griffiths,2018-06-05,"Intuit, Sovereign Strategy",To discuss small businesses
Andrew Griffiths,2018-06-06,Keystone Consulting Company,To discuss retail sector council
Andrew Griffiths,2018-06-07,"Coffee Republic, Liverpool City Region Local Enterprise Partnership, Winning Moves Ltd, North East Local Enterprise Partnership, True Potential LLP, Scale- Up Institute¸Google, Business Growth Fund, Goldman Sachs, Scale- Up Institute, Sage, Livingbridge, British Business Bank, London Stock Exchange, Digital Catapult",To discuss scale-up
Andrew Griffiths,2018-06-07,"Retail Council, Amazon UK, Boots UK, Sainsburys, Marks & Spencer Group, Next, Intu Properties Group, Association of Convenience Stores, British Retail Consortium",To discuss retail issues
Andrew Griffiths,2018-06-11,National Federation of Sub Postmasters,To discuss the work of National Federation of Sub Postmasters
Andrew Griffiths,2018-06-11,Amazon UK,To discuss small business and retail
Andrew Griffiths,2018-06-11,"National Trading Standards Board, Trading Standards Scotland, Chartered Trading Standards Institute, Trading Standards¸ Trading Standards  York, Citizen Advice¸ Consumer Council for Northern Ireland, Competition Markets Authority, The Advertising Standards Authority, UK Finance",To discuss consumer protection 
Andrew Griffiths,2018-06-11,Post Office,To discuss the work of Post Office
Andrew Griffiths,2018-06-11,House of Fraser,To discuss retail issues (by telephone)
Andrew Griffiths,2018-06-11,Pound World ,To discuss retail issues (by telephone)
Andrew Griffiths,2018-06-13,"Confederation of British Industry, British Chambers of Commerce, Institute of Directors, Federation of Small Businesses, Engineering Employers' Federation",To discuss business 
Andrew Griffiths,2018-06-13,"Trade Union Congress, Unite, UK Hospitality, Federation of Small Business, British Retail Consortium, Eversheds Sutherland, The Advisory, Conciliation and Arbitration Service",To discuss unpaid work trails
Andrew Griffiths,2018-06-13,Chairman of SME complaints and resolution review  Simon Walker,To discuss SME complaints and resolution review
Andrew Griffiths,2018-06-14,"Liverpool Local Enterprise Partnership, Sensor City, Damibu, Liverpool John Moores University, IQBlade Ltd¸ Active Profile¸ ULEMCo, Liverpool City Region Combined Authority, Kode Digital, Brainboxes Ltd, Valuechain Technologies LTD, The Lead Agency, Modpack UK Ltd, The City of Liverpool College, CNC Robotics Ltd",To discuss small businesses
Andrew Griffiths,2018-06-18,"Martin Whitfield MP, Keep Me Posted",To discuss the Keep Me Posted campaign 
Andrew Griffiths,2018-06-18,"Enterprise Nation, Small Business Saturday, Federation of Small Businesses, British Chambers of Commerce, The Centre for Entrepreneurs, Confederation of British Industry, Institute of Enterprise and Entrepreneurs, Institute of Chartered Accountants in England and Wales, BE Group, Engineering Employers' Federation, TechcityUK, Institute of Directors",To discuss small business issues
Andrew Griffiths,2018-06-19,"Engineering Employers' Federation, Siemens Plc, Meggitt Corporate, Williams Grand Prix Engineering Ltd, BMW UK Manufacturing Ltd, Flavell Gibson Limited, Unipart Logistics, Canon (UK) Limited, Diodes Zetex Semiconductors Limited, ABB Ltd, Leonardo MW Ltd (Land & Naval)",To discuss Matthew Taylor Review
Andrew Griffiths,2018-06-19,British Standards Institution Group,To discuss the work of British Standards Institution Group
Andrew Griffiths,2018-06-20,Sir John Kingman,To discuss the Financial Reporting Council review
Andrew Griffiths,2018-06-25,"Co-Operative Group, John Lewis, Boots, The Union of Shop, Distributive and Allied Workers, Association of Convenience Stores, GFirst Local Enterprise Partnership, Keelham Hall Farm Shop, British Retail Consortium ",To discuss retail issues.
Andrew Griffiths,2018-06-26,"Federation of Small Businesses, BuildUK, Trades Union Congress, Local Government Association, UK Finance, The Specialist Engineering Contractors' Group",To discuss Carillion 
Andrew Griffiths,2018-06-26,"Learning Disability Voices, Royal Mencap Society, United Response, Care Management Group, Care England",To discuss Sleep-Ins
Andrew Griffiths,2018-06-26,Recruitment and Employment Confederation,To discuss Matthew Taylor review 
Andrew Griffiths,2018-06-27,WHSmith ,To discuss Post Office
Andrew Griffiths,2018-06-27,"Asda, Walmart ",To discuss retail issues
Andrew Griffiths,2018-06-27,CF Fertiliser,To discuss CO2 (by telephone) 
Andrew Griffiths,2018-06-27,Ensus ,To discuss CO2 (by telephone)
Andrew Griffiths,2018-06-27,Azelis,To discuss CO2 (by telephone)
Andrew Griffiths,2018-06-27,Air Liquide,To discuss CO2 (by telephone)
Andrew Griffiths,2018-06-27,Praxair,To discuss CO2 (by telephone)
Andrew Griffiths,2018-06-28,"Stoke-on-Trent and Staffordshire Local Partnership Enterprise, Keele University  ",To discuss regional local issues
Lord Henley,2018-04-18,"MedTech, National Health Service Confed, National Health Service Providers, National Health Service England, Philips, Owen Mumford, Abbott, Convatec, Department of Health, Life Sciences Organisation, Association of British Heatlhcare Industries, IBM Healthcare, Johnson & Johnson, Medtronic, Smith & Nephew",To discuss life sciences
Lord Henley,2018-04-19,Almac,To discuss life sciences
Lord Henley,2018-04-19,"Invest Northern Ireland, Armstrong Medical Ltd, Bombardier Aerostructures and Engineering Services, Cloud Migrator365, Core Systems (NI) Ltd, Denman International Ltd, Devenish Nutrition, EDGE Innovate, Mallaghan Engineering Ltd, MJM Group, Moy Park, SDC Trailers, Sensoteq Ltd, Telestack, Texthelp Ltd, Thales UK Ltd, Ulster University ",To discuss the industrial strategy as part of The Commonwealth Heads of Government Meeting
Lord Henley,2018-04-24,"Bexley London Borough Council, Localis, Bournemouth Borough Council, Brighton and Hove Council, Central Bedfordshire Council, County Councils Network, Demos Projects, Essex County Council, Harrow London Borough Council, Kent County Council, Kingston Council, Swindon Council, Wiltshire Council, West Midlands Council, West Sussex Council",To discuss local industrial strategy
Lord Henley,2018-04-26,Social Enterprise,To discuss the Law Commission's Report on 'Pension Funds and Social Investment'
Lord Henley,2018-05-02,"Forum of Private Business, EEF  The Manufacturers Organisation, Confederation of British Industry, Institute of Directors, Federation of Small Businesses, British Chambers of Commerce",To discuss better regulation
Lord Henley,2018-05-09,"Leicester City Council, Local Enterprise Partnership for Cheshire and Warrington, University of Plymouth (Heart of the South West Local Enterprise Partnership Board Member), Scale-Up Institute, British Chambers of Commerce, Councillor Gordon Birtwhistle, Derbyshire County Council, Deputy Mayor West Midlands Combined Authority, Leader of Solihull Council ",Local Enterprise Partnership Review
Lord Henley,2018-05-14,Carbon Trust,To discuss local industrial strategy and clean growth
Lord Henley,2018-05-16,British Healthcare Industries,To discuss life sciences
Lord Henley,2018-05-21,Bioindustry Association,To discuss life sciences
Lord Henley,2018-05-25,BBC North,To discuss the experience of the BBC moving to Salford
Lord Henley,2018-05-25,"Peel Holdings, Media City UK, Salford City Council",To discuss the development of Media City UK and Salford
Lord Henley,2018-05-25,"Manchester Institute of Biotechnology, Shell, SYNBIOCHEM, UK Synthetic Biology Leadership Council ",To discuss life sciences in the North West of England
Lord Henley,2018-06-01,"Rt. Hon Nicky Morgan  Loughborough MP, Morningside Pharmaceuticals, Leicester and Leicestershire LEP,; Midlands Innovation, Charnwood Campus, University of Leicester, Leicestershire County Council, Medilink East Midlands Ltd, University of Loughborough, Bendigo Systems, East Midlands Academic and Health Sciences Network, Charnwood Borough Council, Science Park Leicester, Almac, Spirit Health Group, Renfrew, Nemaura Pharma, ARM acquired Apical Ltd",To discuss local industry strategy
Lord Henley,2018-06-07,"Leiden Bio Science Park, HAL Allergy Group, Mayor of City of Leiden, Leiden University, Leiden City Council, Leiden University Hospital, Janssen Pharmaceuticals, Dutch bureau for Top Sectoren Policy, Vereniging Innovative Geneesmiddelen (Innovative Medicines Association), South-Holland Regional Investment Agency",To discuss life sciences and EU Exit
Lord Henley,2018-06-07,NWO (Netherlands Organisation for Scientific Research),To discuss UK industrial strategy
Lord Henley,2018-06-07,"Leiden Bio Science Park, HAL Allergy Group, Mayor of the City of Leiden, Leiden Academic Centre for Drug Research, HollandBIO Life Sciences Umbrella Body, Leiden University",To discuss life sciences
Lord Henley,2018-06-12,Forum of Private Business,To discuss better regulation
Lord Henley,2018-06-19,"Bio Products Laboratory, Sanofi, GlaxoSmithKline, Bristol-Myers Squibb, Protak Scientific; Merck, Mondelez, Immunocore, Parkinsons UK, Yaqrit, MetaLinear, Oxford Biodynamics, Ethical Medicines Industry, Vifor Pharma, Royal Society of Biology, SymlConnect, Cellnovo, Cube Clean Tech, Cambridge Epigenetix, Wellcome Sanager Institute, Arix Bioscience, Image Analysis Group, Confederation of British Industry, Clinithink, Ultromics ",To discuss life sciences
Lord Henley,2018-06-19,"Pfizer, Janssen, Amgen, AbbVie, Biogen, Bristol-Myers Squibb, Celgene, MSD International, Gilead ",To discuss life sciences 
Lord Henley,2018-06-20,"Professor Sir John Bell, UK Research and Innovation, Innovate UK, Astrazeneca, GlaxoSmithKline, UCB Pharma, Johnson & Johnson, MSD Research Laboratories (Merck & Co), National Health Service, The Association of British Pharmaceutical Industry, The Association of British HealthTech Industries, BioIndustry Association, Philips, National Health Service England, Nuffield Department of Population Health, Medical Research Council, National Health Service Digital, Wellcome Trust, Science Industry Partnership, Office of Life Science ",To discuss life sciences
Lord Henley,2018-06-26,The Association of the British Pharmaceutical Industry,To discuss life sciences 
