Minister,Date,Name of organisation or individual,Purpose of meeting
Andrew Griffiths ,15/03/2018,"Building Engineers Services Association, National Federation of Builders, BuildUK, Confederation of British Industry, Civil Engineering Contractors Association, Federation of Small Businesses, Specialist Engineering Contractors Group",To discuss Carillion
Andrew Griffiths ,15/03/2018,Dominique Unsworth,To discuss SME apprenticeships
Andrew Griffiths ,15/03/2018,Chartered Institute of Credit Management,To discuss the work of the Chartered Institute of Credit Management
Andrew Griffiths ,19/03/2018,"Nesta, Accenture UK & Ireland, Big Lottery Fund, Big Society Capital, Esmée Fairbairn Foundation, Grant Thornton, Landsec, National Grid, Nationwide, NCVO, O2, Social Enterprise UK, TechUK, Unilever UK and Ireland, UnLtd",To discuss business being a force for good in society
Andrew Griffiths ,19/03/2018,"Chartered Institute of Credit Management, Small Business Commissioner, Confederation of British Industry, UK Finance, BAE Systems, Forum of Private Business, Federation of Small Businesses, Skanska, Institute of Directors, Stort Chemicals",To discuss prompt payment
Andrew Griffiths ,19/03/2018,Be the Business,To discuss the work of Be the Business
Andrew Griffiths ,19/03/2018,Post Office,To discuss the work of Post Office 
Andrew Griffiths ,22/03/2018,"Enterprise Nation, Small Business Saturday, Federation of Small Businesses, British Chambers of Commerce, The Centre for Entrepreneurs, Confederation of British Industry, Small Firms Enterprise Development Initiative, Institute of Chartered Accountants in England and Wales",To discuss small business issues
Andrew Griffiths ,22/03/2018,Legal & General Investment Management,To discuss corporate governance
Andrew Griffiths ,22/03/2018,"Co-Operative Group, Amazon, Boots, ASOS, Union of Shop, Distributive and Allied Workers, Association of Convenience Stores, Gloucestershire Local Enterprise Partnership, Keelham Hall Farm Shop, British Retail Consortium, Oliver Wyman Consultancy",To discuss issues within the retail sector
Andrew Griffiths ,22/03/2018,Institute of Directors,To discuss issues facing small businesses
Andrew Griffiths ,22/03/2018,Kevin Taylor,To discuss Industrial Development Advisory Board
Andrew Griffiths ,26/03/2018,Greater Birmingham & Solihull Local Enterprise Partnership,To discuss the industrial strategy and the work of the local area.
Andrew Griffiths ,27/03/2018,Business in the Community,To discuss diversity and inclusion and industrial strategy
Andrew Griffiths ,27/03/2018,Equality and Human Rights Commission,To discuss diversity & inclusion
Andrew Griffiths ,27/03/2018,"UK Finance, Specialist Engineering Contractors Group,British Business Bank, Small Business Commissioner, Construction Industry Training Board, BuildUK, Trade Union Congress",To discuss Carillion
Andrew Griffiths ,27/03/2018,"Electrical Contractors Association, Building Engineering Services Association, Civil Engineering Contractors Association, Federation of Small Businesses, Federation of Master Builders, Institute of Directors, Confederation of British Industry, Specialist Engineering Contractors Group",To discuss Carillion
Andrew Griffiths ,27/03/2018,"Engineering Employers' Federation, Federation of Small Business, Institute of Directors",To discuss Industrial Strategy
Andrew Griffiths ,28/03/2018,British Retail Consortium,To discuss the work of the British Retail Consortium
Andrew Griffiths ,28/03/2018,Post Office,To discuss banking services
Andrew Griffiths ,28/03/2018,Financial Reporting Council,To discuss corporate governance
Lord Henley,08/01/2018,The Academy of Medical Sciences,To discuss life sciences
Lord Henley,09/01/2018,Association of the British Pharmaceutical Industry,To discuss life sciences
Lord Henley,16/01/2018,"The Enterprise Forum, Construction Products Association",To discuss Industrial Strategy
Lord Henley,16/01/2018,McKinsey & Company,To discuss life sciences
Lord Henley,17/01/2018,West Cumbria Mining,To discuss mining
Lord Henley,17/01/2018,Network Rail,To discuss rail
Lord Henley,18/01/2018,Royal Institute of British Architects,To discuss construction
Lord Henley,18/01/2018,Crossrail,To discuss Crossrail
Lord Henley,22/01/2018,Babcock,To discuss the Defence Growth Partnership
Lord Henley,22/01/2018,SNC Lavalin,To discuss professional business services
Lord Henley,24/01/2018,Merck Sharp & Dohme,To discuss life sciences
Lord Henley,24/01/2018,Financial Reporting Council,To discuss corporate governance
Lord Henley,30/01/2018,Vodafone,To discuss Industrial Strategy
Lord Henley,01/02/2018,Spire Global,To discuss Industrial Strategy
Lord Henley,01/02/2018,Sakar Defence UK,To discuss Industrial Strategy
Lord Henley,02/02/2018,Leonardo UK,To discuss Industrial Strategy
Lord Henley,02/02/2018,MSD UK and the Association of the British Pharmaceutical Industry,To discuss life sciences
Lord Henley,02/02/2018,Herriot Watt University,To discuss artificial intelligence
Lord Henley,02/02/2018,Scottish Life Sciences Association,To discuss life sciences
Lord Henley,15/02/2018,Cardiff Medicentre,To discuss life sciences
Lord Henley,15/02/2018,Renishaw Scientific Technology,To discuss artificial intelligence
Lord Henley,27/02/2018,Institute for Cancer Research,To discuss life sciences
Lord Henley,06/03/2018,Scottish Chambers of Commerce,To discuss Industrial Strategy
Lord Henley,07/03/2018,Key Cities,To discuss local growth
Lord Henley,16/03/2018,Fujifilm Diosynth Biotechnologies,To discuss life sciences
Lord Henley,21/03/2018,Synthetic Biology Leadership Council,To discuss life sciences
Lord Henley,22/03/2018,EEF - The Manufacturers' Organisation,To discuss better regulation
Lord Henley,26/03/2018,Centre for Cities,To discuss local Industrial Strategy
Lord Henley,26/03/2018,Greater Birmingham & Solihull Local Enterprise Partnership,To discuss the industrial strategy and the work of the local area
Lord Henley,27/03/2018,Pfizer,To discuss life sciences
Lord Henley,28/03/2018,Johnson and Johnson,To discuss life sciences
Lord Henley,28/03/2018,3M,To discuss manufacturing
Lord Henley,29/03/2018,Norgine,To discuss life sciences
Lord Henley,29/03/2018,Reckitt Benckiser,To discuss life sciences
