County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,State Conservation Rank,Global Conservation Rank
Oswego,Natural Community,Freshwater Nontidal Wetlands,Forested Peatlands,Black spruce-tamarack bog,Black Spruce-Tamarack Bog,S3,G4G5
Rensselaer,Plant,Flowering Plants,Other Flowering Plants,Panax quinquefolius,American Ginseng,S3S4,G3G4
Onondaga,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Symphyotrichum tenuifolium var. tenuifolium,Perennial Saltmarsh Aster,S3,G5
Jefferson,Animal,Birds,Crows and Jays,Corvus corax,Common Raven,S4,G5
Wayne,Animal,Birds,Nightbirds,Chordeiles minor,Common Nighthawk,S2S3B,G5
Jefferson,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Symphyotrichum ontarionis,Ontario Aster,S3,G5
Cattaraugus,Animal,Birds,Wood-Warblers,Geothlypis trichas,Common Yellowthroat,S5B,G5
Putnam,Animal,Fish,Silversides,Menidia beryllina,Inland Silverside,S2S3,G5
Ontario,Animal,Birds,Thrushes and Bluebirds,Catharus fuscescens,Veery,S5B,G5
Albany,Animal,Birds,"Grouse, Pheasants, Turkeys",Meleagris gallopavo,Wild Turkey,S5,G5
Livingston,Animal,Amphibians,Frogs and Toads,Pseudacris crucifer,Spring Peeper,S5,G5
Chemung,Plant,Flowering Plants,Other Flowering Plants,Lathyrus ochroleucus,Pale Vetchling,S3,G5
Delaware,Animal,Birds,Mockingbirds and Thrashers,Toxostoma rufum,Brown Thrasher,S3S4B,G5
Albany,Animal,Birds,Finches and Crossbills,Haemorhous mexicanus,House Finch,SNA,G5
Allegany,Animal,Birds,Cardinals and Buntings,Piranga olivacea,Scarlet Tanager,S5B,G5
Orleans,Animal,Birds,Mockingbirds and Thrashers,Dumetella carolinensis,Gray Catbird,S5B,G5
Dutchess,Animal,Birds,Finches and Crossbills,Spinus pinus,Pine Siskin,S5,G5
Saratoga,Animal,Birds,Woodpeckers,Melanerpes carolinus,Red-bellied Woodpecker,S5,G5
Otsego,Natural Community,Lakes and Ponds,Natural Lakes and Ponds,Bog lake/pond,Bog Lake/Pond,S3,G4
Ontario,Animal,Birds,"Rails, Coots and Cranes",Fulica americana,American Coot,S3,G5
Livingston,Animal,Birds,Wood-Warblers,Cardellina canadensis,Canada Warbler,S5B,G5
Putnam,Animal,Birds,Mockingbirds and Thrashers,Toxostoma rufum,Brown Thrasher,S3S4B,G5
Queens,Animal,Birds,Wood-Warblers,Setophaga americana,Northern Parula,S3S4B,G5
Dutchess,Plant,Flowering Plants,Sedges,Eleocharis aestuum,Tidal Spike Rush,S1,G3
Oneida,Plant,Flowering Plants,Sedges,Carex molesta,Troublesome Sedge,S2S3,G4
Kings,Animal,Birds,Wrens,Cistothorus palustris,Marsh Wren,S5,G5
Madison,Plant,Flowering Plants,Other Flowering Plants,Carya laciniosa,Big Shellbark Hickory,S2,G5
Livingston,Animal,Birds,Swallows,Hirundo rustica,Barn Swallow,S5B,G5
Orange,Animal,Birds,Wood-Warblers,Setophaga americana,Northern Parula,S3S4B,G5
Greene,Animal,Birds,"Rails, Coots and Cranes",Gallinula galeata,Common Moorhen,S3S4,G5
Ulster,Plant,Flowering Plants,Other Flowering Plants,Polygonum douglasii,Douglas' Knotweed,S1S2,G5
Monroe,Plant,Flowering Plants,Sedges,Carex careyana,Carey's Sedge,S1S2,G4G5
Clinton,Animal,Birds,Sparrows and Towhees,Spizella pusilla,Field Sparrow,S5B,G5
Bronx,Plant,Flowering Plants,Other Flowering Plants,Oxalis violacea,Violet Wood Sorrel,S2S3,G5
Orange,Animal,Birds,Starlings,Sturnus vulgaris,European Starling,SNA,G5
Albany,Animal,Birds,Mockingbirds and Thrashers,Dumetella carolinensis,Gray Catbird,S5B,G5
Putnam,Animal,Reptiles,Snakes,Pantherophis spiloides,Eastern Ratsnake,S4,G5
Orange,Animal,Amphibians,Frogs and Toads,Pseudacris crucifer,Spring Peeper,S5,G5
New York,Animal,Birds,Swallows,Hirundo rustica,Barn Swallow,S5B,G5
Oswego,Plant,Flowering Plants,Sedges,Eleocharis ovata,Ovate Spike Rush,S1S2,G5
Wyoming,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Charadrius vociferus,Killdeer,S5,G5
Lewis,Animal,Birds,Wood-Warblers,Cardellina canadensis,Canada Warbler,S5B,G5
Wayne,Animal,Birds,Chickadees and Titmice,Baeolophus bicolor,Tufted Titmouse,S5,G5
Suffolk,Animal,Dragonflies and Damselflies,Damselflies,Enallagma weewa,Blackwater Bluet,S1,G5
Schenectady,Animal,Reptiles,Snakes,Opheodrys vernalis,Smooth Green Snake,S4,G5
Dutchess,Animal,Amphibians,Frogs and Toads,Acris crepitans,Northern Cricket Frog,S1,G5
Nassau,Plant,Flowering Plants,Other Flowering Plants,Viola primulifolia var. primulifolia,Primrose-leaved Violet,S2,G5TNR
Saratoga,Natural Community,Uplands,Forested Uplands,Appalachian oak-pine forest,Appalachian Oak-Pine Forest,S4,G4G5
Cayuga,Plant,Flowering Plants,Other Flowering Plants,Jeffersonia diphylla,Twinleaf,S2,G5
Schenectady,Plant,Flowering Plants,Sedges,Carex bicknellii,Bicknell's Sedge,S3,G5T5
Warren,Plant,Flowering Plants,Sedges,Cyperus houghtonii,Houghton's Flat Sedge,S3,G4?
Washington,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Charadrius vociferus,Killdeer,S5,G5
Essex,Plant,Flowering Plants,Sedges,Carex cryptolepis,Small Yellow Sedge,S3,G4
Oneida,Plant,Flowering Plants,Other Flowering Plants,Scheuchzeria palustris,Pod Grass,S3,G5
Jefferson,Natural Community,Uplands,Open Uplands,Shale cliff and talus community,Shale Cliff and Talus Community,S3,G4
Warren,Plant,Flowering Plants,Other Flowering Plants,Borodinia missouriensis,Green Rock Cress,S2,G5
Franklin,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Circus cyaneus,Northern Harrier,"S3B,S3N",G5
Chautauqua,Natural Community,Freshwater Nontidal Wetlands,Forested Peatlands,Rich hemlock-hardwood peat swamp,Rich Hemlock-Hardwood Peat Swamp,S2S3,G3G4
Lake Erie Open Waters,Animal,Fish,"Minnows, Shiners, Suckers",Macrhybopsis storeriana,Silver Chub,SH,G5
Ulster,Plant,Flowering Plants,Sedges,Carex molesta,Troublesome Sedge,S2S3,G4
Monroe,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Vernonia gigantea,Tall Ironweed,S1,G5
Orange,Plant,Flowering Plants,Other Flowering Plants,Endodeca serpentaria,Virginia Snakeroot,S2,G4
Tioga,Animal,Birds,Wood-Warblers,Setophaga caerulescens,Black-throated Blue Warbler,S5B,G5
Clinton,Animal,Butterflies and Moths,Moths,Lithophane thaxteri,Thaxter's Pinion Moth,SU,G4
Orange,Animal,Fish,Silversides,Menidia beryllina,Inland Silverside,S2S3,G5
Sullivan,Animal,Birds,Mockingbirds and Thrashers,Mimus polyglottos,Northern Mockingbird,S5B,G5
Orange,Animal,Birds,Woodpeckers,Melanerpes erythrocephalus,Red-headed Woodpecker,S2?B,G5
Columbia,Animal,Birds,Grebes,Podilymbus podiceps,Pied-billed Grebe,"S3B,S1N",G5
Wayne,Animal,Fish,Sturgeons and Paddlefish,Acipenser fulvescens,Lake Sturgeon,S2S3,G3G4
Oneida,Plant,Flowering Plants,Other Flowering Plants,Trollius laxus,Spreading Globeflower,S3,G5T3
Oswego,Natural Community,Freshwater Nontidal Wetlands,Forested Mineral Soil Wetlands,Red maple-hardwood swamp,Red Maple-Hardwood Swamp,S4S5,G5
Monroe,Animal,Birds,Flycatchers,Empidonax minimus,Least Flycatcher,S5B,G5
Clinton,Animal,Birds,Swallows,Petrochelidon pyrrhonota,Cliff Swallow,S5B,G5
Essex,Animal,Amphibians,Salamanders,Notophthalmus viridescens,Eastern Newt,S5,G5
Montgomery,Animal,Birds,Swallows,Hirundo rustica,Barn Swallow,S5B,G5
Columbia,Plant,Flowering Plants,Orchids,Arethusa bulbosa,Dragon's Mouth Orchid,S2,G5
Tioga,Animal,Birds,Wrens,Troglodytes hiemalis,Winter Wren,S5,G5
Tompkins,Animal,Birds,Wood-Warblers,Cardellina canadensis,Canada Warbler,S5B,G5
Nassau,Plant,Flowering Plants,Grasses,Sphenopholis obtusata,Prairie Wedgegrass,S1,G5
Erie,Plant,Flowering Plants,Sedges,Scirpus georgianus,Georgia Bulrush,S1S2,G5
Genesee,Animal,Birds,Crows and Jays,Corvus corax,Common Raven,S4,G5
Richmond,Plant,Flowering Plants,Other Flowering Plants,Agastache nepetoides,Yellow Giant-hyssop,S2S3,G5
Madison,Natural Community,Freshwater Nontidal Wetlands,Open Peatlands,Rich shrub fen,Rich Shrub Fen,S1S2,G3G4
St. Lawrence,Animal,Amphibians,Salamanders,Ambystoma maculatum,Spotted Salamander,S5,G5
Schoharie,Animal,Reptiles,Snakes,Lampropeltis triangulum,Milksnake,S5,G5
Wyoming,Animal,Birds,Finches and Crossbills,Coccothraustes vespertinus,Evening Grosbeak,S5,G5
Lewis,Animal,Birds,Swallows,Riparia riparia,Bank Swallow,S5B,G5
Madison,Plant,Flowering Plants,Grasses,Panicum flexile,Wiry Panic Grass,S3,G5
Kings,Animal,Birds,Mockingbirds and Thrashers,Dumetella carolinensis,Gray Catbird,S5B,G5
Washington,Plant,Flowering Plants,Sedges,Carex scirpoidea ssp. scirpoidea,Canadian Single-spike Sedge,S1,G5T5
Essex,Animal,Birds,Sparrows and Towhees,Pipilo erythrophthalmus,Eastern Towhee,S5B,G5
Saratoga,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Pandion haliaetus,Osprey,S4B,G5
Seneca,Plant,Flowering Plants,Other Flowering Plants,Hypericum prolificum,Shrubby St. John's Wort,S2,G5
Schenectady,Animal,Birds,"Ducks, Geese, Waterfowl",Branta canadensis,Canada Goose,S5,G5
Cayuga,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Chlidonias niger,Black Tern,S2B,G4
Putnam,Animal,Dragonflies and Damselflies,Dragonflies,Libellula needhami,Needham's Skimmer,S3,G5
Jefferson,Animal,Birds,Flycatchers,Contopus virens,Eastern Wood-Pewee,S5B,G5
Essex,Animal,Animal Assemblages,Animal Assemblages,Gull Colony,Gull Colony,SNR,GNR
Steuben,Animal,Birds,Owls,Aegolius acadicus,Northern Saw-whet Owl,S3,G5
St. Lawrence,Animal,Birds,Wood-Warblers,Setophaga palmarum,Palm Warbler,S2S3B,G5
Queens,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Symphyotrichum concolor var. concolor,Eastern Silvery Aster,SH,G5T5
St. Lawrence,Animal,Birds,"Ducks, Geese, Waterfowl",Cygnus buccinator,Trumpeter Swan,S1B,G4
Jefferson,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Falco peregrinus,Peregrine Falcon,S3B,G4
Schoharie,Animal,Birds,Woodpeckers,Picoides villosus,Hairy Woodpecker,S5,G5
Chautauqua,Plant,Flowering Plants,Sedges,Carex atherodes,Wheat Sedge,S3,G5
Greene,Animal,Amphibians,Salamanders,Plethodon cinereus,Redback Salamander,S5,G5
Fulton,Plant,Flowering Plants,Other Flowering Plants,Myriophyllum alterniflorum,Alternate-flowered Water Milfoil,S2,G5
Richmond,Plant,Flowering Plants,Other Flowering Plants,Polygala cruciata,Cross-leaved Milkwort,S3?,G5
St. Lawrence,Plant,Flowering Plants,Sedges,Carex gynocrates,Northern Bog Sedge,S1,G5
Ontario,Animal,Amphibians,Salamanders,Necturus maculosus,Mudpuppy,S4,G5
Chenango,Natural Community,Freshwater Nontidal Wetlands,Open Peatlands,Dwarf shrub bog,Dwarf Shrub Bog,S3,G4
Yates,Plant,Flowering Plants,Other Flowering Plants,Desmodium nuttallii,Nuttall's Tick Trefoil,SH,G5
Monroe,Plant,Flowering Plants,Sedges,Cyperus erythrorhizos,Red-rooted Flat Sedge,S3,G5
Sullivan,Animal,Amphibians,Frogs and Toads,Pseudacris crucifer,Spring Peeper,S5,G5
Schuyler,Plant,Flowering Plants,Other Flowering Plants,Veronica serpyllifolia ssp. humifusa,Northern Thyme-leaved Speedwell,SH,G5T5?
Hamilton,Animal,Birds,Sparrows and Towhees,Melospiza georgiana,Swamp Sparrow,S5B,G5
Broome,Plant,Flowering Plants,Other Flowering Plants,Phlox maculata ssp. maculata,Wild Sweet William,S1S2,G5T4T5
Suffolk,Animal,Dragonflies and Damselflies,Damselflies,Enallagma pictum,Scarlet Bluet,S2,G3
Rensselaer,Animal,Birds,Cuckoos,Coccyzus americanus,Yellow-billed Cuckoo,S5B,G5
Essex,Natural Community,Freshwater Nontidal Wetlands,Open Peatlands,Alpine sliding fen,Alpine Sliding Fen,S1S2,G3G4
Wyoming,Animal,Birds,Sparrows and Towhees,Ammodramus henslowii,Henslow's Sparrow,S3B,G4
Allegany,Animal,Birds,Wood-Warblers,Mniotilta varia,Black-and-white Warbler,S5B,G5
Monroe,Animal,Amphibians,Salamanders,Plethodon glutinosus,Northern Slimy Salamander,S5,G5
Onondaga,Animal,Birds,Wood-Warblers,Setophaga ruticilla,American Redstart,S5B,G5
Chenango,Animal,Butterflies and Moths,Moths,Papaipema appassionata,Pitcher Plant Borer Moth,SU,G4
Cayuga,Plant,Flowering Plants,Other Flowering Plants,Sparganium natans,Small Bur-reed,S2,G5
Schuyler,Animal,Birds,Sparrows and Towhees,Junco hyemalis,Dark-eyed Junco,S5B,G5
Franklin,Animal,Birds,"Ducks, Geese, Waterfowl",Mergus merganser,Common Merganser,S5,G5
Delaware,Animal,Birds,Kingfishers,Megaceryle alcyon,Belted Kingfisher,S5,G5
New York,Animal,"Bees, Wasps, and Ants",Bees,Bombus (Thoracobombus) fervidus,Yellow Bumble Bee,S1,G4?
Seneca,Plant,Flowering Plants,Other Flowering Plants,Lupinus perennis ssp. perennis,Wild Lupine,S3,G5T4?
Cayuga,Animal,Birds,Gnatcatchers,Polioptila caerulea,Blue-gray Gnatcatcher,S5,G5
Bronx,Animal,Birds,"Ducks, Geese, Waterfowl",Branta canadensis,Canada Goose,S5,G5
Chemung,Animal,Birds,Wood-Warblers,Setophaga citrina,Hooded Warbler,S5B,G5
Lewis,Animal,Amphibians,Frogs and Toads,Hyla versicolor,Gray Treefrog,S5,G5
Tioga,Animal,Butterflies and Moths,Butterflies and Skippers,Pyrgus wyandot,Southern Grizzled Skipper,SH,G1G2Q
Orange,Plant,Flowering Plants,Sedges,Carex merritt-fernaldii,Fernald's Sedge,S2S3,G5
Oneida,Plant,Flowering Plants,Other Flowering Plants,Polemonium vanbruntiae,Jacob's Ladder,S3,G3G4
Schuyler,Plant,Flowering Plants,Other Flowering Plants,Agastache nepetoides,Yellow Giant-hyssop,S2S3,G5
Queens,Plant,Flowering Plants,Grasses,Cenchrus tribuloides,Dune Sandspur,S2,G5
Erie,Plant,Ferns and Fern Allies,Ferns,Botrychium oneidense,Blunt-lobe Grape Fern,S2S3,G4
Schoharie,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Accipiter gentilis,Northern Goshawk,"S3S4B,S3N",G5
St. Lawrence,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Symphyotrichum ontarionis,Ontario Aster,S3,G5
Essex,Animal,Birds,Sparrows and Towhees,Junco hyemalis,Dark-eyed Junco,S5B,G5
Niagara,Animal,Fish,Darters and Sunfishes,Sander canadensis,Sauger,S1,G5
Chemung,Animal,Birds,Owls,Bubo virginianus,Great Horned Owl,S5,G5
Oswego,Natural Community,Freshwater Nontidal Wetlands,Open Mineral Soil Wetlands,Shallow emergent marsh,Shallow Emergent Marsh,S5,G5
Monroe,Animal,Amphibians,Salamanders,Ambystoma maculatum,Spotted Salamander,S5,G5
Yates,Animal,Birds,Sparrows and Towhees,Spizella passerina,Chipping Sparrow,S5B,G5
Essex,Plant,Flowering Plants,Other Flowering Plants,Alisma gramineum,Grass-leaved Water Plantain,S3S4,G5
Cayuga,Plant,Flowering Plants,Other Flowering Plants,Pedicularis lanceolata,Swamp Lousewort,S2S3,G5
Clinton,Animal,Birds,Mockingbirds and Thrashers,Mimus polyglottos,Northern Mockingbird,S5B,G5
Onondaga,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Smallanthus uvedalia,Bear's Foot,SH,G4G5
Genesee,Animal,Birds,"Ducks, Geese, Waterfowl",Branta canadensis,Canada Goose,S5,G5
Essex,Plant,Flowering Plants,Sedges,Carex tenuiflora,Sparse-flowered Sedge,S1,G5
Erie,Animal,Amphibians,Frogs and Toads,Hyla versicolor,Gray Treefrog,S5,G5
Chemung,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Larus delawarensis,Ring-billed Gull,S4,G5
Schenectady,Plant,Flowering Plants,Other Flowering Plants,Persicaria careyi,Carey's Smartweed,S1S2,G4
Tompkins,Animal,Birds,Sparrows and Towhees,Spizella pusilla,Field Sparrow,S5B,G5
Ulster,Animal,Mussels and Clams,Freshwater Mussels,Leptodea ochracea,Tidewater Mucket,S1,G3G4
Monroe,Animal,Birds,Flycatchers,Empidonax virescens,Acadian Flycatcher,S3B,G5
Cattaraugus,Animal,Birds,Sparrows and Towhees,Ammodramus henslowii,Henslow's Sparrow,S3B,G4
Clinton,Animal,Amphibians,Salamanders,Ambystoma laterale,Blue-spotted Salamander,S4,G5
Cortland,Animal,Birds,Nuthatches,Sitta canadensis,Red-breasted Nuthatch,S5,G5
Oneida,Animal,Birds,Thrushes and Bluebirds,Hylocichla mustelina,Wood Thrush,S5B,G4
Suffolk,Animal,Mammals,Rabbits and Hares,Sylvilagus transitionalis,New England Cottontail,S1S2,G3
Suffolk,Animal,Birds,Blackbirds and Orioles,Molothrus ater,Brown-headed Cowbird,S5B,G5
Schoharie,Animal,Birds,Flycatchers,Empidonax virescens,Acadian Flycatcher,S3B,G5
Ulster,Animal,Animal Assemblages,Animal Assemblages,Bat Colony,Bat Colony,SNR,GNR
Kings,Animal,Birds,Cuckoos,Coccyzus erythropthalmus,Black-billed Cuckoo,S5B,G5
Richmond,Plant,Flowering Plants,Other Flowering Plants,Sisyrinchium mucronatum,Sharp-tipped Blue-eyed Grass,S1,G5
Seneca,Animal,Amphibians,Salamanders,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,S5,G5
Otsego,Animal,Birds,Sparrows and Towhees,Spizella pusilla,Field Sparrow,S5B,G5
Wayne,Plant,Flowering Plants,Other Flowering Plants,Agastache nepetoides,Yellow Giant-hyssop,S2S3,G5
Richmond,Plant,Flowering Plants,Other Flowering Plants,Oenothera laciniata,Cut-leaved Evening Primrose,S1,G5
Putnam,Animal,Birds,"Ducks, Geese, Waterfowl",Anas platyrhynchos,Mallard,S5,G5
Suffolk,Plant,Flowering Plants,Sedges,Carex striatula,Lined Sedge,SH,G4G5
Chautauqua,Animal,Birds,Crows and Jays,Corvus corax,Common Raven,S4,G5
Niagara,Animal,Mussels and Clams,Freshwater Mussels,Truncilla truncata,Deertoe,S1,G5
Hamilton,Plant,Flowering Plants,Sedges,Carex backii,Back's Sedge,S2S3,G5
Rensselaer,Plant,Flowering Plants,Sedges,Carex styloflexa,Bent Sedge,S1,G4G5
Clinton,Animal,Birds,Owls,Tyto alba,Barn Owl,S1S2,G5
Ontario,Animal,Birds,"Grouse, Pheasants, Turkeys",Colinus virginianus,Northern Bobwhite,S4,G4G5
Broome,Plant,Flowering Plants,Orchids,Cypripedium reginae,Showy Lady's Slipper,S3,G4G5
Putnam,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Scolopax minor,American Woodcock,S5B,G5
Herkimer,Plant,Flowering Plants,Sedges,Carex conjuncta,Soft Fox Sedge,SH,G4G5
Tompkins,Animal,Dragonflies and Damselflies,Dragonflies,Gomphus quadricolor,Rapids Clubtail,S3,G3G4
Yates,Animal,Birds,Blackbirds and Orioles,Sturnella magna,Eastern Meadowlark,S5B,G5
Oneida,Plant,Flowering Plants,Other Flowering Plants,Hypericum ascyron ssp. pyramidatum,Great St. John's Wort,S3,G4T4
Erie,Animal,Birds,Vireos,Vireo gilvus,Warbling Vireo,S5B,G5
Monroe,Plant,Flowering Plants,Sedges,Carex retroflexa,Reflexed Sedge,S2S3,G5
Chemung,Animal,Reptiles,Turtles,Terrapene carolina,Eastern Box Turtle,S3,G5
Tompkins,Plant,Flowering Plants,Other Flowering Plants,Crataegus straminea,Straw-colored Hawthorn,SH,GNRTNR
Lewis,Animal,Birds,Swallows,Progne subis,Purple Martin,S4B,G5
Onondaga,Plant,Flowering Plants,Other Flowering Plants,Agalinis maritima var. maritima,Seaside Gerardia,S2S3,G5T5
Cortland,Animal,Birds,Wood-Warblers,Setophaga magnolia,Magnolia Warbler,S5B,G5
Westchester,Plant,Flowering Plants,Sedges,Eleocharis tricostata,Three-ribbed Spike Rush,S1,G4
Ontario,Animal,Birds,"Grouse, Pheasants, Turkeys",Bonasa umbellus,Ruffed Grouse,S5,G5
Cortland,Plant,Flowering Plants,Sedges,Carex schweinitzii,Schweinitz's Sedge,S2S3,G3G4
Livingston,Animal,Birds,Swallows,Tachycineta bicolor,Tree Swallow,S5B,G5
Herkimer,Animal,Birds,Flycatchers,Empidonax flaviventris,Yellow-bellied Flycatcher,S3B,G5
Lake Ontario Open Waters,Natural Community,Lakes and Ponds,Natural Lakes and Ponds,Great Lakes aquatic bed,Great Lakes Aquatic Bed,S3,G4
Orange,Animal,Animal Assemblages,Animal Assemblages,Bat Colony,Bat Colony,SNR,GNR
Steuben,Animal,Amphibians,Salamanders,Plethodon glutinosus,Northern Slimy Salamander,S5,G5
Rockland,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Pandion haliaetus,Osprey,S4B,G5
Lewis,Natural Community,Uplands,Forested Uplands,Maple-basswood rich mesic forest,Maple-Basswood Rich Mesic Forest,S3,G4
Ontario,Animal,Birds,Chickadees and Titmice,Poecile atricapillus,Black-capped Chickadee,S5,G5
Warren,Animal,Birds,Cardinals and Buntings,Piranga olivacea,Scarlet Tanager,S5B,G5
Cattaraugus,Animal,Amphibians,Salamanders,Plethodon glutinosus,Northern Slimy Salamander,S5,G5
Columbia,Natural Community,Freshwater Nontidal Wetlands,Open Mineral Soil Wetlands,Shallow emergent marsh,Shallow Emergent Marsh,S5,G5
Rockland,Plant,Flowering Plants,Other Flowering Plants,Agrimonia parviflora,Swamp Agrimony,S3,G5
Lewis,Animal,Birds,Sparrows and Towhees,Pipilo erythrophthalmus,Eastern Towhee,S5B,G5
Rensselaer,Plant,Flowering Plants,Other Flowering Plants,Polygonum erectum,Erect Knotweed,S2S3,G5
Delaware,Animal,Dragonflies and Damselflies,Dragonflies,Anax longipes,Comet Darner,S2S3,G5
Ulster,Animal,Birds,Crows and Jays,Corvus brachyrhynchos,American Crow,S5,G5
Franklin,Animal,Birds,Blackbirds and Orioles,Euphagus carolinus,Rusty Blackbird,S2B,G4
Rensselaer,Plant,Flowering Plants,Sedges,Carex davisii,Davis' Sedge,S2,G4
Yates,Animal,Birds,Blackbirds and Orioles,Icterus galbula,Baltimore Oriole,S5B,G5
St. Lawrence,Plant,Flowering Plants,Sedges,Carex arcta,Northern Clustered Sedge,S1,G5
Saratoga,Animal,Birds,Hummingbirds and Swifts,Chaetura pelagica,Chimney Swift,S5B,G5
Cayuga,Plant,Flowering Plants,Other Flowering Plants,Oxybasis rubra var. rubra,Red Pigweed,S2,G5
Monroe,Animal,Birds,Wood-Warblers,Icteria virens,Yellow-breasted Chat,S2?B,G5
Orange,Animal,Birds,Wood-Warblers,Setophaga ruticilla,American Redstart,S5B,G5
Hamilton,Animal,Birds,Swallows,Hirundo rustica,Barn Swallow,S5B,G5
Richmond,Animal,Reptiles,Turtles,Chrysemys picta,Painted Turtle,S5,G5
Bronx,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Solidago mexicana,Mexican Seaside Goldenrod,S1,G5T5?
Fulton,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Falco columbarius,Merlin,S3?B,G5
St. Lawrence,Plant,Flowering Plants,Other Flowering Plants,Sparganium natans,Small Bur-reed,S2,G5
Ulster,Animal,Birds,Swallows,Stelgidopteryx serripennis,Northern Rough-winged Swallow,S5B,G5
Franklin,Plant,Flowering Plants,Other Flowering Plants,Viburnum edule,Squashberry,S2,G5
Oneida,Natural Community,Uplands,Barrens and Woodlands,Pitch pine-heath barrens,Pitch Pine-Heath Barrens,S1S2,G4
Livingston,Animal,Mammals,Bats,Perimyotis subflavus,Tri-colored Bat,S1,G2G3
Steuben,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Circus cyaneus,Northern Harrier,"S3B,S3N",G5
Cattaraugus,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Symphyotrichum oolentangiense,Sky-blue Aster,S1,G5
Onondaga,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Scolopax minor,American Woodcock,S5B,G5
Niagara,Plant,Flowering Plants,Other Flowering Plants,Astragalus neglectus,Cooper's Milkvetch,S1,G4
Dutchess,Plant,Flowering Plants,Orchids,Spiranthes vernalis,Spring Ladies' Tresses,S1S2,G5
Richmond,Plant,Ferns and Fern Allies,Ferns,Athyrium asplenioides,Southern Lady Fern,S2,G5T5
Bronx,Animal,Butterflies and Moths,Moths,Amphipoea erepta ryensis,An Ear Moth,S1,GUT1Q
Lewis,Animal,Dragonflies and Damselflies,Dragonflies,Somatochlora minor,Ocellated Emerald,S2S3,G5
Westchester,Animal,Amphibians,Salamanders,Desmognathus fuscus,Dusky Salamander,S5,G5
Warren,Plant,Flowering Plants,Other Flowering Plants,Subularia aquatica ssp. americana,Water Awlwort,S1S2,G5T5
Albany,Plant,Flowering Plants,Other Flowering Plants,Boechera grahamii,Purple Rock Cress,S2,G5
Ontario,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Bartramia longicauda,Upland Sandpiper,S3B,G5
Westchester,Animal,Birds,Chickadees and Titmice,Baeolophus bicolor,Tufted Titmouse,S5,G5
Cayuga,Animal,Birds,Cardinals and Buntings,Piranga olivacea,Scarlet Tanager,S5B,G5
Cattaraugus,Animal,Birds,Wood-Warblers,Setophaga citrina,Hooded Warbler,S5B,G5
Clinton,Plant,Flowering Plants,Other Flowering Plants,Agalinis paupercula,Small-flowered Agalinis,S3,G5
Wayne,Plant,Flowering Plants,Other Flowering Plants,Strophostyles umbellata,Pink Wild Bean,S1,G5
Suffolk,Plant,Flowering Plants,Other Flowering Plants,Trichostema setaceum,Narrow-leaved Blue-curls,S1,G5
Suffolk,Plant,Flowering Plants,Other Flowering Plants,Physalis virginiana var. virginiana,Virginia Ground Cherry,SH,G5T5
Saratoga,Animal,Birds,Sparrows and Towhees,Ammodramus savannarum,Grasshopper Sparrow,S3B,G5
Delaware,Animal,Birds,Thrushes and Bluebirds,Hylocichla mustelina,Wood Thrush,S5B,G4
Rensselaer,Animal,Amphibians,Salamanders,Necturus maculosus,Mudpuppy,S4,G5
Warren,Animal,Birds,Flycatchers,Tyrannus tyrannus,Eastern Kingbird,S5B,G5
Yates,Animal,Birds,Wood-Warblers,Cardellina canadensis,Canada Warbler,S5B,G5
Erie,Animal,Amphibians,Salamanders,Ambystoma laterale,Blue-spotted Salamander,S4,G5
Putnam,Animal,Reptiles,Snakes,Opheodrys vernalis,Smooth Green Snake,S4,G5
Cattaraugus,Plant,Flowering Plants,Other Flowering Plants,Vitis vulpina,Winter Grape,S1,G5
Suffolk,Natural Community,Uplands,Open Uplands,Maritime beach,Maritime Beach,S3S4,G5
Schenectady,Animal,Amphibians,Salamanders,Ambystoma maculatum,Spotted Salamander,S5,G5
Schenectady,Plant,Flowering Plants,Orchids,Liparis liliifolia,Large Twayblade,S1,G5
Tompkins,Plant,Flowering Plants,Sedges,Carex buxbaumii,Brown Bog Sedge,S2,G5
