Account Holder1,Liable From,Rateable Value,Mandatory relief (%) ,Discretionary relief (%),Small Business Rate Relief (%),Retail Relief (£),Local Discount (£),Empty Property?,Exempt Empty?,Empty From,Address 1,Addr2,Addr3,Addr4,Postcode,VOA Description code,Description,B A Reference
HEADLAND MULTIMEDIA LTD,26/03/2010,12000.0,0.0,0.0,0.0,£0.00,,N,N,,1ST FLOOR UNIT 2,MANOR COURT,MANOR HILL COURT,LEEDS,LS11 8DB,CO,Offices and Premises,2024121494528.0
TELEFONICA UK LTD,21/05/2010,7400.0,0.0,0.0,0.0,£0.00,,N,N,,O2 (41575),MILLSHAW,LEEDS,,LS11 8DB,MT1,Communication Station and Premises,2024121630687.0
IPM PERSONAL PENSION TRUSTEES,09/09/2013,7600.0,0.0,0.0,0.0,£0.00,,N,N,,MANAGERS OFFICE 1ST FLOOR,UNIT 1 MANOR COURT,MANOR MILL LANE,LEEDS,LS11 8DB,CO,OFFICES AND PREMISES,2024121641287.0
ROCHE HEALTHCARE LTD,01/12/2010,11000.0,0.0,0.0,0.0,£0.00,,N,N,,"ROCHE HEALTHCARE,PART 1ST FLOOR",UNIT 1 MANOR COURT,MANOR MILL LANE,LEEDS,LS11 8DB,CO,OFFICES AND PREMISES,2024121641298.0
MOBILE BROADBAND NETWORK LTD,28/08/2009,5900.0,0.0,0.0,0.0,£0.00,,N,N,,T MOBILE (55056) MANOR COURT,MANOR MILL LANE,LEEDS,,LS11 8DB,MT1,COMMUNICATION STATION AND PREMISES,2024121650561.0
VISION SUPPLIES LTD,10/03/2003,21500.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 5,LOCKWOOD CLOSE,LEEDS,,LS11 5UU,CW,WAREHOUSE AND PREMISES,2024267305069.0
BELL GROUP UK LTD,29/03/2005,16000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 10,LOCKWOOD CLOSE,LEEDS,,LS11 5UU,IF3,WORKSHOP AND PREMISES,2024267305155.0
TEAM (IMPRESSION) LTD,01/01/2007,21250.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 11,LOCKWOOD CLOSE,LEEDS,,LS11 5UU,CW,Warehouse and Premises,2024267305157.0
VISION SUPPLIES LTD,25/06/2010,21750.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 4,LOCKWOOD CLOSE,LEEDS,,LS11 5UU,CW,WAREHOUSE AND PREMISES,2024267305159.0
REGISTERPRINT MACHINERY LTD,01/10/2010,14750.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 6,LOCKWOOD CLOSE,LEEDS,,LS11 5UU,CW,WAREHOUSE AND PREMISES,2024267411434.0
WHINGATE ELECTRICAL PLC,01/04/2004,15250.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 7,LOCKWOOD CLOSE,LEEDS,,LS11 5UU,CW,WAREHOUSE AND PREMISES,2024267411445.0
TEAM (IMPRESSION) LTD,01/06/2009,96500.0,0.0,0.0,0.0,£0.00,,N,N,,UNITS 1 - 3,LOCKWOOD CLOSE,LEEDS,,LS11 5UU,IF3,WORKSHOP AND PREMISES,2024267490161.0
TEAM (IMPRESSION) LTD,31/03/2013,14750.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 8,LOCKWOOD CLOSE,LEEDS,,LS11 5UU,CW,Warehouse and Premises,2024267646336.0
TEAM (IMPRESSION) LTD,01/04/2014,14250.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 9,LOCKWOOD CLOSE,LEEDS,,LS11 5UU,CW,Warehouse and Premises,2024267646347.0
SYCAMORE PRODUCTS LTD,01/07/2014,42250.0,0.0,0.0,0.0,£0.00,,N,N,,5 LOCKWOOD PARK,LEEDS,,,LS11 5UX,CW,WAREHOUSE AND PREMISES,2024273305163.0
SYCAMORE PRODUCTS LTD,16/12/2013,56000.0,0.0,0.0,0.0,£0.00,,N,N,,6 LOCKWOOD PARK,LEEDS,,,LS11 5UX,CW,WAREHOUSE AND PREMISES,2024273305165.0
WAITES MECHANICAL SERVICES LTD,11/03/2013,88000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 3,LOCKWOOD PARK,LEEDS,,LS11 5UX,CW,Warehouse and Premises,2024273641991.0
ENJAY LIMITED,17/03/2011,48500.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 4,LOCKWOOD PARK,LEEDS,,LS11 5UX,CW,WAREHOUSE AND PREMISES,2024273642002.0
BRANDS HOME & LEISURE LTDT/A BHL,22/03/2011,146000.0,0.0,0.0,0.0,£0.00,,N,N,,UNITS 1 & 2,LOCKWOOD PARK,LEEDS,,LS11 5UX,CW,Warehouse and Premises,2024273642222.0
PAUL DUFTON & CO LTD,07/04/2005,26000.0,0.0,0.0,0.0,£0.00,,N,N,,3 LENTON DRIVE,LEEDS,,,LS11 5JW,CW,Warehouse and Premises,2024288304917.0
SOUTH LEEDS ACADEMY TRUST,02/10/2009,23750.0,80.0,0.0,0.0,£0.00,,N,N,,UNIT 19,LENTON DRIVE,LEEDS,,LS11 5JW,EX,TRAINING CENTRE AND PREMISES,2024288352356.0
LYRECO UK LIMITED,22/11/2001,66500.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 9-13,LENTON DRIVE,LEEDS,,LS11 5JW,CW,WAREHOUSE AND PREMISES,2024288361731.0
HEPWORTHS CONSULTING LLP,27/02/2015,49750.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 15-17,LENTON DRIVE,LEEDS,,LS11 5JW,CW,WAREHOUSE AND PREMISES,2024288361732.0
SAVIANO FOOD IMPORT LTD,24/06/2014,24250.0,0.0,0.0,0.0,£0.00,,N,N,,5 LENTON DRIVE,LEEDS,,,LS11 5JW,CW,WAREHOUSE AND PREMISES,2024288432773.0
SIEMENS BENEFIT SCHEME LTD,15/07/2015,23750.0,0.0,0.0,0.0,£0.00,,Y,N,15/07/2015,7 LENTON DRIVE,LEEDS,,,LS11 5JW,CW,Warehouse and Premises,2024288432784.0
ING CADBURY SCHWEPPES PENSIONTRUST LIMITED,29/09/2014,25500.0,0.0,0.0,0.0,£0.00,,Y,N,29/09/2014,UNIT 1,GLOVER WAY,LEEDS,,LS11 5JP,CW,WAREHOUSE AND PREMISES,2024346304935.0
ING CADBURY SCHWEPPES PENSIONTRUST LIMITED,10/03/2015,25000.0,0.0,0.0,0.0,£0.00,,Y,N,10/03/2015,UNIT 2,GLOVER WAY,LEEDS,,LS11 5JP,CW,WAREHOUSE AND PREMISES,2024346304936.0
REGAL AMUSEMENT MACHINE SALES LTT/A REGAL GAMING,08/06/2015,29250.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 3,GLOVER WAY,LEEDS,,LS11 5JP,CW,WAREHOUSE AND PREMISES,2024346304937.0
ING CADBURY SCHWEPPES PENSIONTRUST LIMITED,19/06/2015,24750.0,0.0,0.0,0.0,£0.00,,Y,N,19/06/2015,UNIT 6,GLOVER WAY,LEEDS,,LS11 5JP,CW,WAREHOUSE AND PREMISES,2024346304939.0
ING CADBURY SCHWEPPES PENSIONTRUST LIMITED,31/07/2015,25250.0,0.0,0.0,0.0,£0.00,,Y,N,31/07/2015,UNIT 7,GLOVER WAY,LEEDS,,LS11 5JP,CW,WAREHOUSE AND PREMISES,2024346304940.0
ING CADBURY SCHWEPPES PENSIONTRUST LIMITED,05/09/2013,26250.0,0.0,0.0,0.0,£0.00,,Y,N,05/09/2013,UNIT 10,GLOVER WAY,LEEDS,,LS11 5JP,CW,WAREHOUSE AND PREMISES,2024346304943.0
ING CADBURY SCHWEPPES PENSIONTRUST LIMITED,01/07/2015,25500.0,0.0,0.0,0.0,£0.00,,Y,N,01/07/2015,UNIT 5,GLOVER WAY,LEEDS,,LS11 5JP,CW,WAREHOUSE AND PREMISES,2024346322127.0
ING CADBURY SCHWEPPES PENSIONTRUST LIMITED,07/12/2015,28000.0,0.0,0.0,0.0,£0.00,,Y,N,07/12/2015,UNIT 8,GLOVER WAY,LEEDS,,LS11 5JP,CW,Warehouse and Premises,2024346493175.0
P & S DISTRIBUTION LTD,15/12/2014,28250.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 9,GLOVER WAY,LEEDS,,LS11 5JP,CW,Warehouse and Premises,2024346493186.0
ARTIC HAYES LIMITED,01/08/2014,42000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 11,GLOVER WAY,LEEDS,,LS11 5JP,IF3,WORKSHOP AND PREMISES,2024346630528.0
PLY-TEK (UK) LTD,01/11/2013,40000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 12,GLOVER WAY,LEEDS,,LS11 5JP,IF3,WORKSHOP AND PREMISES,2024346630539.0
WORLDWIDE GREEN ENERGY UK LTD,10/10/2014,13750.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 3B,MILLSHAW PARK CLOSE,LEEDS,,LS11 0LW,CW,WAREHOUSE AND PREMISES,2024426329244.0
06 MARKETING LTD,02/04/2013,18250.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 6B,MILLSHAW PARK CLOSE,LEEDS,,LS11 0LW,CW,WAREHOUSE AND PREMISES,2024426329249.0
ATFUTSAL LEEDS LTD,21/05/2012,187000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 25,MILLSHAW PARK DRIVE,LEEDS,,LS11 0LU,CW,Warehouse and Premises,2024427361042.0
MORLEY GLASS & GLAZING LTD,20/04/2010,69000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 27 MILLSHAW PARK DRIVE,LEEDS,,,LS11 0LU,CW,Warehouse and Premises,2024427441793.0
SUPEREQUIP LTD,08/12/2008,64000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 26,MILLSHAW PARK AVENUE,LEEDS,,LS11 0LU,CW,WAREHOUSE AND PREMISES,2024427441804.0
SYMINGTONS LTD,01/08/2011,99500.0,0.0,0.0,0.0,£0.00,,N,N,,4 DARTMOUTH WAY,HUNSLET,LEEDS,,LS11 5JL,CW,Warehouse and Premises,2024447101364.0
SYMINGTON'S LTD,28/03/2012,46500.0,0.0,0.0,0.0,£0.00,,N,N,,8 DARTMOUTH WAY,HUNSLET,LEEDS,,LS11 5JL,CW,WAREHOUSE AND PREMISES,2024447331271.0
SYMINGTON'S LTD,29/09/2004,350000.0,0.0,0.0,0.0,£0.00,,N,N,,BRAND PARTNERSHIP UNITS 1-3 & 5-7,DARTMOUTH WAY,LEEDS,,LS11 5JL,CW,WAREHOUSE AND PREMISES,2024447440858.0
VODAFONE LIMITED,31/03/2011,7900.0,0.0,0.0,0.0,£0.00,,N,N,,VODAFONE (1094),DARTMOUTH WAY,HUNSLET,LEEDS,LS11 5JL,MT1,Communication Station and Premises,2024447630742.0
GM2 LOGISTICS LTD,01/04/2009,250000.0,0.0,0.0,0.0,£0.00,,N,N,,GATEWAY HOUSE,PHILIPPA WAY,GELDERD ROAD,LEEDS,LS12 6LS,CW,WAREHOUSE AND PREMISES,2024661351554.0
LEXON UK LTD,07/09/2012,155000.0,0.0,0.0,0.0,£0.00,,N,N,,LEXON UK LTD,PHILIPPA WAY,LEEDS,,LS12 6LS,CW,Warehouse and Premises,2024661357115.0
ROANDO INVESTMENTS LTD,13/04/2015,182000.0,0.0,0.0,0.0,£0.00,,Y,N,13/04/2015,EVANS OF LEEDS PLC,RING ROAD,MILLSHAW,LEEDS,LS11 8EG,CO,Offices and Premises,2024685660121.0
ROANDO INVESTMENTS LTDA/C OF DEEHURST T/A TRAVELEADS,13/04/2015,114000.0,0.0,0.0,0.0,£0.00,,Y,N,13/01/2015,PART FIRST FLOOR AT,EVANS OF LEEDS PLC,"RING ROAD, MILLSHAW",LEEDS,LS11 8EG,CO,Offices and Premises,2024685660132.0
BARCLAYS BANK PLC,01/11/2002,1360000.0,0.0,0.0,0.0,£0.00,,N,N,,MILLSHAW COURT,GLOBAL AVENUE,LEEDS,,LS11 8DD,CO,OFFICES AND PREMISES,2024693353066.0
ELLIOTT HUDSON COLLEGE,30/03/2015,430000.0,0.0,0.0,0.0,£0.00,,Y,N,30/03/2015,PHOENIX HOUSE,GLOBAL AVENUE,LEEDS,,LS11 8PG,CO,OFFICES AND PREMISES,2024693358462.0
HISENSE UK CORPORATION LTD,06/11/2012,38250.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT D,MILLSHAW BUSINESS LIVING,GLOBAL AVENUE,LEEDS,LS11 8RR,CO,OFFICES AND PREMISES,2024693464211.0
SALVATION ARMY,15/05/2012,78500.0,80.0,0.0,0.0,£0.00,,N,N,,UNIT F,MILLSHAW BUSINESS LIVING,GLOBAL AVENUE,LEEDS,LS11 8RR,CO,OFFICES AND PREMISES,2024693464233.0
SECOM PLC,14/11/2008,78500.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT G,MILLSHAW BUSINESS LIVING,GLOBAL AVENUE,LEEDS,LS11 8RR,CO,OFFICES AND PREMISES,2024693464244.0
COOPER CONSULTING ENGINEERS LTD,23/01/2012,27500.0,0.0,0.0,0.0,£0.00,,N,N,,GND FLOOR UNIT B MILLSHAW,BUSINESS LIVING,GLOBAL AVENUE,LEEDS,LS11 8RR,CO,OFFICES AND PREMISES,2024693626902.0
R H FREIGHT LTD,01/12/2008,27500.0,0.0,0.0,0.0,£0.00,,N,N,,1ST FLOOR UNIT B MILLSHAW,BUSINESS LIVING,GLOBAL AVENUE,LEEDS,LS11 8RR,CO,OFFICES AND PREMISES,2024693626913.0
STAR BRANDS LTD,08/06/2009,16000.0,0.0,0.0,0.0,£0.00,,N,N,,GND FLR UNIT E,MILLSHAW BUSINESS LIVING,GLOBAL AVENUE,LEEDS,LS11 8RR,CO,OFFICES AND PREMISES,2024693630616.0
MASON CLARK ASSOCIATES LTD,13/08/2007,15750.0,0.0,0.0,0.0,£0.00,,N,N,,1ST FLR UNIT E,MILLSHAW BUSINESS LIVING,GLOBAL AVENUE,LEEDS,LS11 8RR,CO,OFFICES AND PREMISES,2024693630627.0
NATIONAL HOLIDAYS LTD,01/12/2011,34750.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT C,MILLSHAW BUSINESS LIVING,GLOBAL AVENUE,LEEDS,LS11 8RR,CO,Offices and Premises,2024693643465.0
CT COMMUNICATIONS LTD-LIQUIDATED,06/06/2013,33250.0,0.0,0.0,0.0,£0.00,,Y,Y,16/03/2015,GROUND FLOOR UNIT A,MILLSHAW BUSINESS LIVING,GLOBAL AVENUE,LEEDS,LS11 8RR,CO,Offices and Premises,2024693646578.0
CT COMMUNICATIONS LTD-LIQUIDATED,06/06/2013,31750.0,0.0,0.0,0.0,£0.00,,Y,Y,06/06/2013,1ST FLOOR UNIT A,MILLSHAW BUSINESS LIVING,GLOBAL AVENUE,LEEDS,LS11 8RR,CO,Offices and Premises,2024693646589.0
RESTORE PLC,06/06/2013,206000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 22,MILLSHAW PARK LANE,LEEDS,,LS11 0HF,IF,Factory and Premises,2024714462902.0
TWINKLES (WHITE ROSE) LTD,08/09/2014,44500.0,0.0,0.0,0.0,£0.00,,N,N,,TWINKLES WHITE ROSE,WHITE ROSE OFFICE PARK,MILLSHAW PARK LANE,LEEDS,LS11 0DL,EN1,DAY NURSERY AND PREMISES,2024714521984.0
EXPRESS BI-FOLDING DOORS LTD,09/01/2015,380000.0,0.0,0.0,0.0,£0.00,,N,N,,UNITS 23/24,MILLSHAW PARK LANE,LEEDS,,LS11 0BL,IF,FACTORY AND PREMISES,2024714651088.0
SAMUEL GRANT (LEEDS) LTD,01/04/2011,116000.0,0.0,0.0,0.0,£0.00,,N,N,,SAMUEL GRANT LTD,146-148 GARNET ROAD,LEEDS,,LS11 5HP,CW,Warehouse and Premises,2024737642068.0
ROSS CARE LTD,01/04/2007,49750.0,0.0,0.0,0.0,"-£1,500.00",,N,N,,SHOPMOBILITY 1ST FLR,SOUTH ENTRANCE,WHITE ROSE SHOPPING CENTRE,LEEDS,LS11 8LU,CS,SHOP AND PREMISES,2024776100180.0
CASH ZONE,01/04/2014,16500.0,0.0,0.0,0.0,£0.00,,N,N,,CASH ZONE ATMS,UPPER LEVEL,WHITE ROSE SHOPPING CENTRE,LEEDS,LS11 8LU,CX,SITE OF AUTOMATIC TELLING MACHINES,2024776101772.0
SAINSBURY'S SUPERMARKETS LTD,01/04/2000,2080000.0,0.0,0.0,0.0,£0.00,,N,N,,SAVACENTRE,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LS,CS9,SUPERSTORE AND PREMISES,2024776356737.0
DEBENHAMS RETAIL PLC,01/04/2000,1660000.0,0.0,0.0,0.0,£0.00,,N,N,,DEBENHAMS,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LT,CS,SHOP AND PREMISES,2024776356738.0
BOOTS UK LIMITED,01/04/2000,685000.0,0.0,0.0,0.0,£0.00,,N,N,,BOOTS MSU1,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356739.0
MARKS AND SPENCER PLC,16/05/2007,945000.0,0.0,0.0,0.0,£0.00,,N,N,,MARKS AND SPENCER,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LX,CS,SHOP AND PREMISES,2024776356740.0
PRIMARK STORES LTD,09/01/2006,1070000.0,0.0,0.0,0.0,£0.00,,N,N,,MSU4,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356742.0
BHS LIMITED,01/04/2000,1310000.0,0.0,0.0,0.0,£0.00,,N,N,,MSU5/6,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356743.0
SPORTSDIRECT.COM RETAIL LTD,05/11/2001,216000.0,0.0,0.0,0.0,£0.00,,N,N,,MSU7,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356744.0
ARGOS LIMITED,01/04/2000,615000.0,0.0,0.0,0.0,£0.00,,N,N,,ARGOS MSU8,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356745.0
NEW LOOK RETAIL GROUP LTD,05/03/2012,675000.0,0.0,0.0,0.0,£0.00,,N,N,,MSU11,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356748.0
AG RETAIL CARDS LTDT/A CLINTONS,07/06/2012,367500.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 4,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356749.0
C-RETAIL LTDT/A CULT RETAIL / SUPER DRY,28/08/2012,405000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 4A,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356750.0
GENUS UK LTDT/A SELECT RETAIL,22/02/2008,302500.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 4B,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356751.0
SUPERDRUG STORES PLC,01/04/2000,492500.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 5A,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356752.0
PAPERCHASE PRODUCTS LTD,26/04/2013,257500.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 8,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356756.0
HUTCHINSON 3G UK LTD,26/08/2014,257500.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 9,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356757.0
THE DISNEY STORE LTD,01/04/2000,352500.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 10,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356758.0
TELEFONICA UK LTD,14/11/2006,332500.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 12,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356759.0
CLAIRE'S ACCESSORIES UK LTD,16/05/2003,157000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 13A,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LU,CS,Shop and Premises,2024776356760.0
WAREHOUSE RETAIL LTD,02/03/2009,161000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 13B,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356761.0
OPTICAL EXPRESS LTD,23/08/2013,220000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 14,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,Shop and Premises,2024776356762.0
BANK FASHION LTD - POST ADMIN,05/01/2015,505000.0,0.0,0.0,0.0,£0.00,,Y,Y,18/04/2015,UNIT 15,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356763.0
J D WILLIAMS & COMPANY LIMITEDT/A SIMPLY BE AND JACAMO,08/09/2013,400000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 18,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356764.0
ARCADIA GROUP LTD,29/09/2005,515000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 20,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356765.0
REPUBLIC.COM RETAIL LIMITED,13/01/2015,375000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 23,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356767.0
DSG RETAIL LTD,24/06/2012,437500.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 24,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356768.0
THORNTONS PLC,01/04/2000,71500.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 25,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,Shop and Premises,2024776356769.0
TFS STORES LTD,10/09/2012,63500.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 26,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356770.0
MILLIES COOKIES LTD,01/04/2000,38500.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 27,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356771.0
CLYDESDALE BANK PLC,01/04/2000,122000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 28,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS1,BANK AND PREMISES,2024776356772.0
HOLLAND & BARRETT LTD,31/05/2011,145000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 28A,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356773.0
TUI UK LTD,06/09/2012,144000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 28B,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356774.0
TIMPSON SHOE REPAIRS LTD,01/04/2000,31500.0,0.0,0.0,0.0,"-£1,500.00",,N,N,,UNIT 28C,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356775.0
JAMES CONVENIENCE RETAIL LTD,01/04/2015,20750.0,0.0,0.0,0.0,"-£1,500.00",,N,N,,UNIT 28E,WHITE ROSE SHOPPING CENTRE,LEEDS,,L S11,CS,SHOP AND PREMISES,2024776356777.0
THE ENTERTAINER (AMERSHAM) LTD,25/10/2012,163000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 28F,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356778.0
GREGGS PLC,29/08/2008,67500.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 28G,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356779.0
AURUM GROUP LTD,01/04/2000,244000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 29,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,Shop and Premises,2024776356780.0
OFFICE HOLDINGS LTD,02/05/2012,229000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 30,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356781.0
YOURS CLOTHING LIMITED,15/06/2015,247000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 31,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356782.0
LIMEWOOD RETAIL LTD,03/10/2014,237000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 32,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356783.0
SIGNET TRADING LTD,01/08/2012,71000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 37,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356787.0
SIGNET TRADING LTD,01/04/2000,257500.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 38,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,Shop and Premises,2024776356788.0
SIGNET TRADING LTD,01/04/2000,330000.0,0.0,0.0,0.0,£0.00,,N,N,,UNITS 39/40,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356789.0
C & J CLARK INTERNATIONAL LTDT/A CLARKS SHOES,01/04/2000,285000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 41,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356790.0
KAST RETAIL LTD T/A QUIZ,15/07/2013,252500.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 42,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356791.0
A LEVY & SON LTD,29/03/2011,250000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 43,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356792.0
OASIS FASHIONS RETAIL LTD,02/03/2009,228000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 44,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356793.0
MENKIND SEASONAL LTD,13/10/2014,255000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 46,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356795.0
LUSH RETAIL LTD,16/10/2014,220000.0,0.0,0.0,0.0,£0.00,,N,N,,UNIT 47,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356796.0
PHONES 4U LTD -POST ADMINISTRATN,15/09/2014,216000.0,0.0,0.0,0.0,£0.00,,Y,Y,15/09/2014,UNIT 48,WHITE ROSE SHOPPING CENTRE,LEEDS,,LS11 8LL,CS,SHOP AND PREMISES,2024776356797.0
