GEO,DGUID,Sex,Age group,Activity
Russia,,Females,13 years,Play computer games
Wales,,Females,15 years,Play computer games
Czech Republic,,Females,11 years,Watch VCR movies
Finland,,Females,11 years,Play computer games
Wales,,Males,11 years,Watch VCR movies
Wales,,Males,15 years,Play computer games
Wales,,Males,15 years,Watch VCR movies
Norway,,Females,11 years,Watch VCR movies
France,,Females,15 years,Play computer games
Portugal,,Females,13 years,Play computer games
Estonia,,Females,15 years,Watch VCR movies
Northern Ireland,,Males,15 years,Watch VCR movies
Hungary,,Females,15 years,Play computer games
Israel,,Females,11 years,Play computer games
Finland,,Males,11 years,Watch VCR movies
Scotland,,Males,13 years,Play computer games
Norway,,Females,11 years,Watch VCR movies
Norway,,Males,15 years,Watch VCR movies
Greenland,,Males,11 years,Watch VCR movies
Belgium (Flemish speaking),,Males,11 years,Play computer games
Belgium (French speaking),,Females,15 years,Watch VCR movies
Latvia,,Females,13 years,Watch VCR movies
Scotland,,Males,15 years,Play computer games
Austria,,Females,13 years,Play computer games
Belgium,,Males,13 years,Play computer games
Estonia,,Males,15 years,Watch VCR movies
Hungary,,Males,13 years,Play computer games
Finland,,Females,13 years,Watch VCR movies
Greenland,,Males,13 years,Play computer games
Finland,,Females,13 years,Watch VCR movies
Northern Ireland,,Males,15 years,Play computer games
Sweden,,Females,15 years,Play computer games
Austria,,Males,15 years,Watch VCR movies
Slovakia,,Males,11 years,Watch VCR movies
Sweden,,Females,11 years,Play computer games
Slovakia,,Males,15 years,Watch VCR movies
Poland,,Males,11 years,Watch VCR movies
Latvia,,Females,11 years,Watch VCR movies
United States,,Females,15 years,Play computer games
Sweden,,Females,11 years,Play computer games
Greenland,,Females,11 years,Watch VCR movies
Wales,,Males,15 years,Watch VCR movies
Czech Republic,,Males,13 years,Watch VCR movies
Canada,,Males,13 years,Watch VCR movies
Spain,,Males,11 years,Watch VCR movies
Scotland,,Females,11 years,Watch VCR movies
Spain,,Females,11 years,Watch VCR movies
Austria,,Males,13 years,Play computer games
Norway,,Males,11 years,Watch VCR movies
Lithuania,,Males,11 years,Play computer games
Austria,,Males,11 years,Play computer games
Slovakia,,Females,11 years,Play computer games
Poland,,Males,15 years,Play computer games
United States,,Males,11 years,Play computer games
Finland,,Females,15 years,Watch VCR movies
Poland,,Females,11 years,Watch VCR movies
Belgium,,Females,11 years,Play computer games
Canada,,Males,15 years,Watch VCR movies
Portugal,,Females,15 years,Watch VCR movies
Denmark,,Females,13 years,Watch VCR movies
Germany,,Males,13 years,Play computer games
Hungary,,Females,11 years,Watch VCR movies
Estonia,,Males,11 years,Play computer games
Wales,,Females,15 years,Watch VCR movies
France,,Females,11 years,Play computer games
Spain,,Females,11 years,Watch VCR movies
Poland,,Males,13 years,Play computer games
Greece,,Females,15 years,Watch VCR movies
Denmark,,Females,13 years,Watch VCR movies
United States,,Males,13 years,Watch VCR movies
Canada,,Females,11 years,Play computer games
Wales,,Males,11 years,Watch VCR movies
Belgium,,Females,11 years,Play computer games
Northern Ireland,,Females,11 years,Watch VCR movies
Wales,,Males,13 years,Watch VCR movies
Czech Republic,,Males,11 years,Watch VCR movies
Austria,,Males,13 years,Watch VCR movies
Norway,,Females,11 years,Play computer games
Wales,,Females,15 years,Watch VCR movies
Norway,,Males,15 years,Watch VCR movies
Finland,,Females,13 years,Play computer games
Poland,,Males,15 years,Watch VCR movies
Czech Republic,,Females,15 years,Watch VCR movies
Austria,,Females,13 years,Watch VCR movies
Hungary,,Females,15 years,Watch VCR movies
Scotland,,Males,11 years,Play computer games
Wales,,Females,15 years,Watch VCR movies
Wales,,Females,13 years,Play computer games
Sweden,,Males,11 years,Watch VCR movies
Canada,,Males,11 years,Watch VCR movies
Belgium,,Males,15 years,Play computer games
Belgium (French speaking),,Females,11 years,Watch VCR movies
Greenland,,Males,15 years,Play computer games
Estonia,,Females,13 years,Play computer games
Scotland,,Females,11 years,Watch VCR movies
Spain,,Females,15 years,Play computer games
Austria,,Males,15 years,Play computer games
Canada,,Females,15 years,Watch VCR movies
Poland,,Females,15 years,Watch VCR movies
Czech Republic,,Females,15 years,Watch VCR movies
Sweden,,Males,13 years,Watch VCR movies
Poland,,Males,15 years,Play computer games
Norway,,Males,11 years,Watch VCR movies
Scotland,,Females,11 years,Play computer games
Scotland,,Males,13 years,Play computer games
Germany,,Males,13 years,Watch VCR movies
Hungary,,Females,15 years,Play computer games
Greenland,,Females,11 years,Watch VCR movies
Poland,,Males,11 years,Play computer games
France,,Females,15 years,Play computer games
Sweden,,Males,13 years,Play computer games
France,,Females,13 years,Play computer games
Canada,,Males,13 years,Watch VCR movies
Israel,,Males,11 years,Play computer games
Latvia,,Males,15 years,Watch VCR movies
Germany,,Males,11 years,Watch VCR movies
Germany,,Males,11 years,Watch VCR movies
United States,,Males,15 years,Watch VCR movies
Norway,,Females,13 years,Play computer games
Spain,,Males,15 years,Watch VCR movies
Belgium,,Females,13 years,Play computer games
Greenland,,Females,15 years,Play computer games
Poland,,Females,13 years,Watch VCR movies
Finland,,Females,11 years,Play computer games
Belgium,,Females,13 years,Play computer games
Greenland,,Males,11 years,Watch VCR movies
Portugal,,Males,13 years,Play computer games
Spain,,Males,15 years,Play computer games
Belgium,,Males,15 years,Watch VCR movies
France,,Males,15 years,Play computer games
Spain,,Females,11 years,Watch VCR movies
Belgium,,Males,11 years,Watch VCR movies
Germany,,Females,11 years,Play computer games
Denmark,,Females,15 years,Play computer games
Poland,,Males,13 years,Watch VCR movies
Scotland,,Females,15 years,Watch VCR movies
Canada,,Females,15 years,Watch VCR movies
Estonia,,Females,13 years,Play computer games
Scotland,,Males,11 years,Play computer games
Greenland,,Females,11 years,Play computer games
France,,Males,15 years,Play computer games
Finland,,Males,13 years,Watch VCR movies
Austria,,Females,13 years,Watch VCR movies
France,,Females,11 years,Watch VCR movies
Belgium (Flemish speaking),,Males,15 years,Watch VCR movies
Israel,,Females,15 years,Watch VCR movies
Northern Ireland,,Males,13 years,Play computer games
Canada,,Females,15 years,Watch VCR movies
Austria,,Males,11 years,Watch VCR movies
Israel,,Males,15 years,Watch VCR movies
Slovakia,,Males,13 years,Watch VCR movies
Northern Ireland,,Males,11 years,Watch VCR movies
Lithuania,,Females,13 years,Play computer games
Hungary,,Males,11 years,Watch VCR movies
Scotland,,Males,11 years,Play computer games
Czech Republic,,Females,11 years,Play computer games
Scotland,,Females,11 years,Play computer games
United States,,Males,11 years,Watch VCR movies
Norway,,Females,15 years,Watch VCR movies
Scotland,,Males,11 years,Watch VCR movies
Finland,,Males,13 years,Play computer games
Ireland,,Males,13 years,Watch VCR movies
Sweden,,Males,13 years,Play computer games
Sweden,,Males,11 years,Play computer games
Poland,,Males,15 years,Play computer games
Belgium,,Females,13 years,Watch VCR movies
Norway,,Females,15 years,Watch VCR movies
Austria,,Males,11 years,Play computer games
Finland,,Males,11 years,Play computer games
United States,,Males,11 years,Play computer games
Austria,,Females,11 years,Watch VCR movies
Greece,,Females,11 years,Play computer games
Scotland,,Males,13 years,Watch VCR movies
Canada,,Females,15 years,Watch VCR movies
Estonia,,Males,15 years,Watch VCR movies
Hungary,,Females,11 years,Watch VCR movies
Sweden,,Females,15 years,Play computer games
Finland,,Females,13 years,Play computer games
Wales,,Females,11 years,Play computer games
Scotland,,Males,15 years,Watch VCR movies
Slovakia,,Males,13 years,Watch VCR movies
Israel,,Males,13 years,Play computer games
Scotland,,Females,15 years,Play computer games
Spain,,Males,15 years,Play computer games
Greece,,Males,15 years,Play computer games
Slovakia,,Females,15 years,Watch VCR movies
Spain,,Females,11 years,Play computer games
Denmark,,Males,13 years,Play computer games
Portugal,,Males,11 years,Watch VCR movies
Hungary,,Males,11 years,Play computer games
Wales,,Males,13 years,Watch VCR movies
Czech Republic,,Males,13 years,Play computer games
United States,,Females,15 years,Watch VCR movies
Poland,,Males,11 years,Play computer games
Norway,,Females,13 years,Watch VCR movies
Spain,,Females,13 years,Watch VCR movies
Spain,,Males,15 years,Watch VCR movies
Poland,,Females,13 years,Watch VCR movies
Germany,,Females,13 years,Play computer games
United States,,Females,15 years,Watch VCR movies
Lithuania,,Males,13 years,Play computer games
Denmark,,Females,15 years,Play computer games
Hungary,,Males,15 years,Play computer games
United States,,Females,11 years,Watch VCR movies
Canada,,Females,11 years,Watch VCR movies
Scotland,,Males,11 years,Play computer games
Poland,,Females,13 years,Play computer games
Israel,,Males,15 years,Watch VCR movies
Sweden,,Males,15 years,Watch VCR movies
Canada,,Males,15 years,Watch VCR movies
Slovakia,,Females,15 years,Watch VCR movies
Greenland,,Females,11 years,Watch VCR movies
Germany,,Males,15 years,Watch VCR movies
Wales,,Males,11 years,Watch VCR movies
Wales,,Females,11 years,Watch VCR movies
Israel,,Females,13 years,Watch VCR movies
Finland,,Females,13 years,Watch VCR movies
Greenland,,Females,13 years,Watch VCR movies
Northern Ireland,,Males,15 years,Play computer games
Canada,,Males,13 years,Play computer games
Latvia,,Females,13 years,Watch VCR movies
France,,Females,13 years,Play computer games
Canada,,Females,11 years,Play computer games
Canada,,Males,11 years,Watch VCR movies
Northern Ireland,,Females,15 years,Watch VCR movies
Slovakia,,Males,11 years,Play computer games
Sweden,,Females,11 years,Play computer games
Switzerland,,Females,11 years,Play computer games
Belgium,,Females,15 years,Watch VCR movies
Austria,,Males,11 years,Play computer games
Czech Republic,,Males,15 years,Play computer games
Wales,,Males,11 years,Play computer games
Austria,,Females,15 years,Play computer games
Canada,,Females,13 years,Watch VCR movies
