Name,Position held,Date of departure,Destination,Purpose,Travel: air,Travel: rail/underground/bus/bike, Travel: taxi/car , Personal incidental overseas , Day subsistence , Meals , Miscellaneous , Parking , Hotel: total cost ,Hotel: number of nights,Other ,Notes,Unnamed: 17
Paul O'Sullivan,"Acting Strategic Roads, Economics and Statistics Director",20/11/2015,Swindon (wilts),Visit to A417,,£54.32,,,,,,,,,,,
Paul O'Sullivan,"Acting Strategic Roads, Economics and Statistics Director",25/11/2015,ExCel centre ,Highway UK Conference,,£11.64,,,,,,,,,,,
Paul O'Sullivan,"Acting Strategic Roads, Economics and Statistics Director",26/11/2015,ExCel centre ,Highway UK Conference,,£11.64,,,,,,,,,,,
Paul O'Sullivan,"Acting Strategic Roads, Economics and Statistics Director",01/12/2015,Hastings ,Visit Hastings statistics team,,£27.45,,,,,,,,,,,
Paul Rodgers,Finance & Commercial High Speed Rail Group Director,03/10/2015,Tokyo,High speed rail visit,,£476.03,,,,£125.56,,£113.00,£116.06,2.0,,,
Paul Rodgers,Finance & Commercial High Speed Rail Group Director,11/10/2015,Beijing,Chinese high speed rail visit,,£20.00,,,,,,,,,,,
Paul Rodgers,Finance & Commercial High Speed Rail Group Director,20/10/2015,DVLA Swansea,Audit Committee ,,,,,£6.39,,£6.50,,,,"£82 mileage claim
0.25 per mile for 328 miles",,
Paul Rodgers,Finance & Commercial High Speed Rail Group Director,11/11/2015,1 Canada Square,Various HS2 Ltd. Meetings,,£20.00,,,,,,,,,,,
Paul Rodgers,Finance & Commercial High Speed Rail Group Director,15/11/2015,London Paddington,High Speed Rail Visit,,£49.95,,,,,,,,,,,
Paul Rodgers,Finance & Commercial High Speed Rail Group Director,15/11/2015,Madrid & Alicante,High speed rail visit,,£28.30,£45.00,£40.00,,£32.90,,,,,,,
Paul Rodgers,Finance & Commercial High Speed Rail Group Director,15/11/2015,Totnes to London,High speed rail visit,,£51.66,,,,,,,,,,,
Paul Rodgers,Finance & Commercial High Speed Rail Group Director,18/11/2015,London Heathrow ,High Speed rail visit,,,,,,,,,£79.00,1.0,,,
Paul Rodgers,Finance & Commercial High Speed Rail Group Director,20/11/2015,London to Totnes,Late Meeting ,,£118.59,,,,,,,,,,,
Paul Rodgers,Finance & Commercial High Speed Rail Group Director,27/11/2015,London,Attending government function,,,£15.00,,,,,,,,,,
Paul Rodgers,Finance & Commercial High Speed Rail Group Director,01/12/2015,1 Canada Square,Various HS2 Ltd. Meetings,,£20.00,,,,,,,£100.95,1.0,,,
Paul Rodgers,Finance & Commercial High Speed Rail Group Director,03/12/2015,Milton Keynes Central,"Meeting with External 
Stakeholders",,£39.44,,,,,,,,,,,
Paul Rodgers,Finance & Commercial High Speed Rail Group Director,15/12/2015,London Vauxhall,Late Meeting ,,,,,,,,,£88.95,1.0,,,
Peter Wilkinson,"Managing Director, Passenger Services",01/10/2015,Torquay,ACORP Coomunity Rail Awards,,£129.98,,,,,,,,,,,
Peter Wilkinson,"Managing Director, Passenger Services",06/10/2015,Newcastle,Visit to TW Metro,,£251.23,,,,,,,,,,,
Peter Wilkinson,"Managing Director, Passenger Services",20/10/2015,Liverpool Lime Street,Visit to Northern,,£228.05,,,,,,,£75.71,1.0,,,
Peter Wilkinson,"Managing Director, Passenger Services",23/10/2015,Milton Keynes Central,"SLT away day at Transport Catapult, MK",,£38.02,,,,,,,,,,,
Rachael Etebar,Group HR Director,15/10/2015,Nottingham,Visit to DVSA Nottingham offices,,£153.94,,,,,,,,,,,
Rachael Etebar,Group HR Director,09/12/2015,Bristol Temple Meads,"Group HR Conference, Bristol",,£132.89,,,,,,,,,,,
Simon Baugh,Group Director of Communications,07/10/2015,Exeter St Davids,ExCo visit to transport projects in the South West,,£63.05,,,,,,,,,,,
Simon Baugh,Group Director of Communications,08/10/2015,Cheltenham,Visit to OGD regarding Communications,,£56.65,,,,,,,£104.40,1.0,,,
Simon Baugh,Group Director of Communications,09/10/2015,London Paddington,Visit to OGD regarding Communications,,£31.23,,,,,,,,,,,
Simon Baugh,Group Director of Communications,12/11/2015,Coventry,Speaking at GCS Comms academy,,£95.06,,,,,,,,,,,
Patricia Hayes,Aviation Director,01/10/2015,Brussels,European Commission Conference,£335.11,,,,,,,,,,,,
Patricia Hayes,Aviation Director,01/10/2015,London Heathrow,European Commission Conference,£124.80,,,,,,,,,,,,
Patricia Hayes,Aviation Director,01/10/2015,Brussels,To speak at EASA just culture conference,,,£85.40,,,,,,,,,,
Patricia Hayes,Aviation Director,15/10/2015,Paris Charles De Gaule,ECAC Co-ordinating Committee,,£259.00,,,,,,,£1.40,0.0,,,
Patricia Hayes,Aviation Director,15/10/2015,Paris Charles De Gaule,ECAC Co-ordinating Committee,,,,,,,,,£161.72,1.0,,,
Patricia Hayes,Aviation Director,19/10/2015,Paris Gare Du Nord,ECAC Security Programme Management Group,,£299.00,,,,,,,£139.90,1.0,,,
Patricia Hayes,Aviation Director,19/10/2015,Paris Gare Du Nord,ECAC Security Programme Management Group,,£30.00,,,,,,,£1.40,0.0,,,
Patricia Hayes,Aviation Director,20/10/2015,Paris,To attend ECAC meeting,,,,,,£6.36,,,,,,,
Patricia Hayes,Aviation Director,22/10/2015,Stansted Airport,Visit to Stansted Airport,,£17.46,,,,,,,,,,,
Patricia Hayes,Aviation Director,23/10/2015,Brussels,Attend meetings on Single European Skies,£313.31,,£71.50,,,,,,,,,,
Patricia Hayes,Aviation Director,02/11/2015,Milton Keynes Central,AD and ACD awayday,,£15.03,,,,,,,,,,,
Patricia Hayes,Aviation Director,04/11/2015,Kingston upon Thames,Taxi home at 11pm after CO meeting,,£65.00,,,,,,,,,,,
Patricia Hayes,Aviation Director,10/11/2015,Dubai,To attend meetings in Dubai on aviation development,"£2,156.88",,,,,,,,,,,,
Patricia Hayes,Aviation Director,12/11/2015,Dubai,To attend meetings in Dubai on aviation development,,,,,,,,,£222.67,2.0,,,
Patricia Hayes,Aviation Director,18/11/2015,London,Working meals with US and EC delegations,,,,,,£342.56,,,,,,,
Patricia Hayes,Aviation Director,30/11/2015,Washington DC and Paris,To meet US Transport Security Admin and then ECAC in Paris,,£21.06,£53.15,,£4.29,26.05,,,£316.52,2.0,,,
Patricia Hayes,Aviation Director,30/11/2015,Paris,To meet US Transport Security Admin and then ECAC in Paris,"£2,006.16",,,,,,,,,,,,
Patricia Hayes,Aviation Director,01/12/2015,Neuilly,To meet US Transport Security Admin and then ECAC in Paris,,,,,,,,,£219.14,2.0,,,
Patricia Hayes,Aviation Director,03/12/2015,London Heathrow,Attend ECAC meeting,£76.90,,,,,,,,,,,,
Patricia Hayes,Aviation Director,07/12/2015,Brussels Midi,Attend meetings with Eurocontrol,,£141.00,,,,,,,£1.40,0.0,,,
Patricia Hayes,Aviation Director,08/12/2015,Brussels,Attend meetings with Eurocontrol,£115.11,,,,,,,,,,,,
Patricia Hayes,Aviation Director,09/12/2015,London Heathrow,Attend meetings with Eurocontrol,£145.20,,,,,,,,,,,,
Patricia Hayes,Aviation Director,11/12/2015,Brussels,Attend meeting with EASA on aviation security,£384.31,,£40.00,,,,,,,,,,
Vanessa Howlison,Group Finance Director,01/10/2015,Euston,Field Force Visit ,,,,,,,£6.40,,,,,,
Vanessa Howlison,Group Finance Director,03/11/2015,Birmingham New Street,Ofwat Audit and Risk Assurance Committee,,£73.72,,,,,£4.70,,,,,,
Vanessa Howlison,Group Finance Director,05/11/2015,Eversholt Street,Meeting,,,,,,,£4.60,,,,,,
Vanessa Howlison,Group Finance Director,26/11/2015,Aldersgate Street,Momentum Event,,,,,,,£2.30,,,,,,
Vanessa Howlison,Group Finance Director,02/12/2015,Central London ,customer visit,,,£7.20,,,,,,,,,,
Vanessa Howlison,Group Finance Director,09/12/2015,Bressenden Place,Training Event,,,,,,,£2.30,,,,,,
Vanessa Howlison,Group Finance Director,16/12/2015,Dorking,HPDS 9: Latest Leadership Thinking,,£13.97,£32.00,,,,,,,,,,
Vanessa Howlison,Group Finance Director,17/12/2015,Dorking,Training Course,,,£7.20,,,,,,,,,,
Vanessa Howlison,Group Finance Director,18/12/2015,Southampton Central,MCA Meeting ,,£77.79,,,,,£6.50,,,,,,
