artist,title,album
weird al yankovic,waffle king,alapalooza
eminem,the way i am (clean),the marshall mathers lp
michael jackson,thriller,thriller
julie de azevedo,take me there,especially for youth - joy in the journey (1998)
indigo girls,power of two,swamp ophelia
james horner,putting the pieces together,patriot games soundtrack
b-52s,love shack,cosmic thing
will smith,miami,big willie style
weird al yankovic,trash day,poodle hat
the simpsons,rappin' ronnie reagan,go simpsonic with the simpsons
they might be giants,purple toupee,lincoln
jack johnson,fall line,on and on
michael jackson,beat it,thriller
michael jackson,earth song,history: past present and future book i
marcia griffiths,electric boogie,carousel
dashboard confessional,rapid hope loss,a mark a mission a brand a scar
dashboard confessional,carry this picture,a mark a mission a brand a scar
weird al yankovic,white &amp; nerdy,straight outta lynwood
dashboard confessional,so beautiful,a mark a mission a brand a scar
sarah mclachlan,adia,mirrorball
glenn miller,in the mood,
elemeno-p,a quest for souls of men,no more lonely people
lifehouse,hanging by a moment,no name face
michael buble,home,it's time
eurythmics,sweet dreams (are made of this),sweet dreams (are made of this)
they might be giants,spider,apollo 18
they might be giants,spine,the spine
they might be giants,memo to human resources,the spine
aquabats,yo check out this ride!,yo check out this ride!
tchaikovsky,dance of the sugar plum fairy,
aquabats,zero hour!,yo check out this ride!
stone temple pilots,plush,core
cake,tougher than it is,pressure chief
weezer,butterfly,pinkerton
tracy chapman,fast car,tracy chapman
squirrel nut zippers,bent out of shape,bedlam ballroom
northern voices,when your heart says go,faithful
weird al yankovic,your horoscope for today,running with scissors
metallica,of wolf and man,metallica
jason castro,over the rainbow,
phil collins,in the air tonight,face value
wilson phillips,dream is still alive,wilson phillips
metallica,the judas kiss,death magnetic
les mis&eacute;rables,rue plumet - in my life,les mis&eacute;rables soundtrack
tears for fears,everybody wants to rule the world,songs from the big chair
the simpsons,happy just the way we are,go simpsonic with the simpsons
talking heads,and she was,little creatures
moby,honey,play
u2,if god will send his angels,pop
shakira,whenever wherever,laundry service
beatles,with a little help from my friends,sgt. pepper's lonely hearts club band
dave matthews band,the space between,everyday
reel big fish,trendy,turn the radio off
dave matthews band,you might die trying,stand up
big bad voodoo daddy,you and me and the bottle makes 3 tonight (baby),big bad voodoo daddy
blackout allstars,i like it (like that),i like it like that soundtrack
squirrel nut zippers,that fascinating thing,perennial favorites
tchaikovsky,nutcracker suite,
the simpsons,end credits (addams family homage),songs in the key of springfield
les mis&eacute;rables,every day - a heart full of love - reprise,les mis&eacute;rables soundtrack
ben folds,fred jones part 2,rockin' the suburbs
hootie and the blowfish,what do you want from me now,musical chairs
sheryl crow,motivation,detours
james taylor,country road,sweet baby james
weird al yankovic,young dumb &amp; ugly,alapalooza
byu men's chorus,if i got my ticket can i ride,shout with glory
hootie and the blowfish,fairweather johnson,fairweather johnson
amy grant,galileo,heart in motion
dionne farris,i know,wild seed - wild flower
deep blue something,red light,home
aerosmith,eat the rich,get a grip
weird al yankovic,i remember larry,bad hair day
10000 maniacs,these are days,mtv unplugged (10000 maniacs)
no doubt,spiderwebs,tragic kingdom
red hot chili peppers,i could die for you,by the way
huey lewis and the news,if this is it,sports
dave matthews band,stolen away on 55th &amp; 3rd,stand up
aquabats,the ballad of mr. bonkers,the floating eye of death
barenaked ladies,easy,are me
the simpsons,we love to smoke,go simpsonic with the simpsons
aquabats,chemical bomb,the floating eye of death
weird al yankovic,the night santa went crazy,bad hair day
aquabats,fight song!,the fury of the aquabats
david cook,fall back into me,analog heart
andrew lloyd webber,overture,phantom of the opera
erasure,chains of love,the innocents
they might be giants,till my head falls off,severe tire damage
bush,swallowed,razorblade suitcase
les mis&eacute;rables,javert's suicide,les mis&eacute;rables soundtrack
goo goo dolls,what do you need,gutterflower
frank sinatra,the girl from ipanema,
john lennon,imagine,imagine
red hot chili peppers,road trippin',californication
inxs,what you need,listen like thieves
snap,rhythm is a dancer,the madman's return
mamas and the papas,california dreamin',if you can believe your eyes and ears
big bad voodoo daddy,king of swing,big bad voodoo daddy
regina spektor,fidelity,begin to hope
the simpsons,stretch dude and clobber girl,testify
beach boys,surfer girl,surfer girl
sheryl crow,god bless this mess,detours
huey lewis and the news,it's alright,people get ready: a tribute to curtis mayfield
nena,99 red balloons,99 luftballons
backstreet boys,quit playing games (with my heart),backstreet boys
beethoven,pathetique,
aquabats,awesome forces!,charge!!
aquabats,martian girl,the return of the aquabats!
northern voices,lost in the work,faithful
lenny kravitz,american woman,5
shawn colvin,suicide alley,a few small repairs
alanis morissette,eight easy steps,so-called chaos
modest mouse,dashboard,we were dead before the ship even sank
goo goo dolls,slide,dizzy up the girl
james taylor,you've got a friend,mud slide slim and the blue horizon
beatles,i want to hold your hand,meet the beatles
ben folds five,selfless cold and composed,whatever and ever amen
martina mcbride,i love you,emotion
counting crows,on a tuesday in amsterdam long ago,saturday nights &amp; sunday mornings
barenaked ladies,jane,maybe you should drive
sophie b. hawkins,damn i wish i was your lover,tongues and tails
howard jones,no one is to blame,dream into action
no doubt,hey baby,rock steady
abba,super trouper,super trouper
good charlotte,a new beginning,the young and the hopeless
marc cohn,walking in memphis,marc cohn
lisa loeb,wishing heart,firecracker
dire straits,money for nothing,brothers in arms
weird al yankovic,grapefruit diet,running with scissors
erasure,a little respect,the innocents
the simpsons,end credits (big band vegas version),songs in the key of springfield
nirvana,lithium,nevermind
vivaldi,winter - 2nd movement,
they might be giants,drink!,mink car
dashboard confessional,stolen,dusk and summer
cake,no phone,pressure chief
cranberries,dreams,everybody else is doing it so why can't we?
moby,natural blues,play
live,t.b.d.,throwing copper
red hot chili peppers,other side,californication
james taylor,steamroller (clean),greatest hits (james taylor)
natalie merchant,motherland,motherland
divinyls,i touch myself,divinyls
weezer,death and destruction,maladroit
harry connick jr.,a wink and a smile,sleepless in seattle soundtrack
green day,i want to be on t.v.,shenanigans
they might be giants,severe tire damage theme,severe tire damage
tchaikovsky,waltz of the flowers,
cake,friend is a four letter word,fashion nugget
rem,losing my religion,out of time
carl orff,carmina burana - o fortuna,
van halen,jump,1984
itayp&uacute;,el condor pasa,folklore latinamericano vol. i
norm wooster singers,lovin' you lots and lots,that thing you do soundtrack
the simpsons,flaming moe's,songs in the key of springfield
cake,mr. mastodon farm,motorcade of generosity
little texas,what might have been,big time
goo goo dolls,strange love,let love in
barenaked ladies,never is enough,stunt
rolling stones,(i can't get no) satisfaction,out of our heads
ben folds five,song for the dumped,whatever and ever amen
run dmc,walk this way (clean),raising hell
they might be giants,the edison museum,no!
madonna,this used to be my playground,something to remember
eric clapton,wonderful tonight,slowhand
weird al yankovic,frank's 2000in tv,alapalooza
smashing pumpkins,jellybelly,mellon collie and the infinite sadness - dawn to dusk
new found glory,glory of love,from the screen to your stereo
modest mouse,dance hall,good news for people who love bad news
poison,every rose has its thorn,open up and say...ahh!
jewel,hands (christmas),joy: a holiday collection
barenaked ladies,shoe box,born on a pirate ship
counting crows,mercury,recovering the satellites
big bad voodoo daddy,jumpin' jack,big bad voodoo daddy
amy grant,whatever it takes,house of love
carpenters,(they long to be) close to you,close to you
beach boys,little saint nick,the beach boys' christmas album
a-teens,dancing queen,the abba generation
everything but the girl,missing,amplified heart
matchbox 20,unwell,more than you think you are
michael bolton,when a man loves a woman,time love &amp; tenderness
beatles,twist and shout,introducing... the beatles
jack johnson,times like these,on and on
the simpsons,everybody hates ned flanders medley (feat. david byrne),testify
itayp&uacute;,l&aacute;grimas negras,folklore latinamericano vol. i
itayp&uacute;,ni&ntilde;a camba,folklore latinamericano vol. ii
live,top,throwing copper
sugar ray,fly,floored
oasis,wonderwall,(what's the story) morning glory?
abba,money money money,arrival
michael mclean,you must believe there are miracles,one heart in the right place
chicago,you're the inspiration,chicago 17
weezer,photograph,weezer (2001)
smashing pumpkins,thirty-three,mellon collie and the infinite sadness - twilight to starlight
weird al yankovic,callin' in sick,bad hair day
elton john,benny and the jets,goodbye yellow brick road
weezer,freak me out,make believe
jack johnson,sexy plexi,brushfire fairytales
squirrel nut zippers,blue angel,hot
beatles,free as a bird,anthology 1
maroon 5,she will be loved,songs about jane
red hot chili peppers,dosed,by the way
collin raye,one boy one girl,i think about you
metallica,broken beat and scarred,death magnetic
squirrel nut zippers,prince nez,hot
u2,miracle drug,how to dismantle an atomic bomb
dave matthews band,grey street,busted stuff
michael mclean,you're not alone,you're not alone
shakira,t&uacute;,mtv unplugged (shakira)
sheryl crow,make it go away (radiation song),detours
the simpsons,homer's barbershop quartet,songs in the key of springfield
the simpsons,dancin' homer,songs in the key of springfield
wallflowers,the difference,bringing down the horse
right said fred,i'm too sexy,up
they might be giants,the world's address,lincoln
janet jackson,again,janet.
pearl jam,jeremy (clean),ten
wheatus,teenage dirtbag,wheatus
sarah mclachlan,i love you,surfacing
r. kelly,i believe i can fly,space jam soundtrack
vince guaraldi,linus and lucy,a charlie brown christmas
the simpsons,itchy &amp; scratchy main title theme,songs in the key of springfield
les mis&eacute;rables,on parole - the bishop,les mis&eacute;rables soundtrack
aquabats,playdough,the return of the aquabats!
metallica,all nightmare long,death magnetic
mike myers,this poem sucks,so i married an axe murderer soundtrack
blur,song 2,blur
beauty and the beast,be our guest,beauty and the beast soundtrack
blue swede,hooked on a feeling,hooked on a feeling
jewel,near you always,pieces of you
limp bizkit,my way,chocolate starfish and the hot dog flavored water
michael johns,a day in the life,
shawn colvin,round of blues,fat city
killers,sam's town,sam's town
david barrus,the impossible dream,on stage 2: more broadway favorites
cake,is this love?,motorcade of generosity
tracy chapman,tell it like it is,new beginning
madonna,take a bow,bedtime stories
green day,holiday,american idiot
weezer,troublemaker,weezer (2008)
goo goo dolls,become,let love in
little shop of horrors,the meek shall inherit (audrey edit),little shop of horrors soundtrack
weezer,this is such a pity,make believe
kid rock,bawitdaba,devil without a cause
bryan adams rod stewart sting,all for love,three musketeers soundtrack
weird al yankovic,achy breaky song,alapalooza
cake,long line of cars,comfort eagle
michael mclean,one heart in the right place,one heart in the right place
jack johnson,belle,in between dreams
alanis morissette,ironic,jagged little pill
farmer,fair phyllis,
kenneth cope,thy kingdom come,my servant joseph
itayp&uacute;,el cascabel,folklore latinamericano vol. i
ben folds five,cigarette,whatever and ever amen
weezer,falling for you,pinkerton
tim mcgraw,i like it i love it,all i want
they might be giants,older,mink car
james taylor,shower the people,in the pocket
bill medley and jennifer warnes,(i've had) the time of my life,dirty dancing soundtrack
sheryl crow,out of our heads,detours
aerosmith,livin' on the edge,get a grip
sarah mclachlan,fumbling towards ecstasy,mirrorball
northern voices,all i can say,faithful
the simpsons,everyone loves ned flanders,go simpsonic with the simpsons
backstreet boys,larger than life,millenium
melissa etheridge,come to my window,yes i am
john lennon,happy xmas (war is over),happy xmas (war is over)
they might be giants,rabid child,they might be giants
andrew lloyd webber,the music of the night,phantom of the opera
sarah mclachlan,building a mystery (clean),surfacing
soggy bottom boys,i am a man of constant sorrow,o brother where art thou? soundtrack
rem,it's a free world baby,friends soundtrack
calle ciega,la pantallera,no pares de sudar
belinda carlisle,heaven is a place on earth,heaven on earth
sugar ray,abracadabra,14:59
no doubt,it's my life,the singles 1992-2003
mariah carey,one sweet day,daydream
weezer,the damage in your heart,make believe
alanis morissette,right through you,jagged little pill
gigantes,cuentame de ti,
shania twain,rock this country!,come on over
lisa loeb,split second,firecracker
chris isaak,wicked game,heart shaped world
blessid union of souls,light in your eyes,blessid union of souls
jewel,have a little faith in me,phenomenon soundtrack
the simpsons,do the bartman,sing the blues
nirvana,lounge act,nevermind
alanis morissette,thank u,supposed former infatuation junkie
tom petty &amp; the heartbreakers,walls (circus),songs and music from she's the one
weird al yankovic,polka party!,polka party!
they might be giants,damn good times,the spine
jack johnson,posters,brushfire fairytales
bizet,carmen suite no. 1,
chris de burgh,the lady in red,into the light
children of eden,in whatever time we have,children of eden soundtrack
sheryl crow,my favorite mistake,globe sessions
michael johns,we will rock you / we are the champions,
pearl jam,last kiss,no boundaries: a benefit for the kosovar refugees
third eye blind,burning man,third eye blind
rick james,super freak,street songs
live,horse,throwing copper
hootie and the blowfish,only lonely,musical chairs
john mellencamp,to washington,trouble no more
moniot d'arras,ce fut en mai,
dave matthews,gravedigger,some devil
jewel,jesus loves you,this way
they might be giants,someone keeps moving my chair,flood
weird al yankovic,mr. popeil,in 3-d
del amitri,roll to me,twisted
collin raye,open arms,direct hits
green day,i fought the law,
itayp&uacute;,moliendo caf&eacute;,folklore latinamericano vol. i
jewel,everybody needs someone sometime,this way
northern voices,if she only knew,faithful
sneaker pimps,six underground,becoming x
weezer,island in the sun,weezer (2001)
ingrid michaelson,the way i am,girls and boys
u2,love and peace or else,how to dismantle an atomic bomb
natalie merchant,i'm not gonna beg,motherland
they might be giants,she's actual size,apollo 18
maroon 5,shiver,songs about jane
weezer,the greatest man that ever lived (variations on a shaker hymn),weezer (2008)
beethoven,symphony no. 5,
maroon 5,must get out,songs about jane
natalie merchant,jealousy,tigerlily
