UID,Client,Category,Status,Pro Class,Contract Title,Route to Market,Agreement Type,Contract Start Date,Contract Term (Months),Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier Name,Supplier Type,Registered Number,Postcode,Council Directorate
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Alpha Plus Fostering Ltd,SME,6019106,OL8 3QL,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Aspire Childcare Ltd,SME,5412343,OL11 5DP,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Barnardos,SME,61625,L25 2UD,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,BetterCare Keys LimitedÂ ,SME,NI053253 ,WA2 0LF,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Birtenshaw,SME,2978546,BL7 9AB,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Brookfield HouseÂ ,SME,OC301963,SK7 5AQ,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Bryn Melyn,SME,"

04030222",TF1 6QJ,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,By the Bridge North West,SME,4050928,ME9 8JE,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Cambian childcare ,SME,4280519,"SK8 3SB
",Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,CanWe Solutions,SME,BB1 9LL,BB1 9LL,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Care today Parallel Parents,SME,4311745,SK2 6LR,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Caritas Care,SME,1596400,SK9 7JT,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Caritas Diocese of Salford,SME,6594417,M3 6DP,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Cherry Cottage,SME,5864035,WN1 9PD,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Classic Foster Care,SME,7065128,OL10 1DP,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Community Foster Care,SME,1084124,GL19 3NY,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Compass Fostering North West Ltd (previously Modus Communicandi Ltd),SME,7054121,LE11 3GE,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Dalepeak Ltd,SME,219279,PR56QE,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Excel Fostering Agency Ltd,SME,6847044,FY8 1HW,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Families@FamilyCare Ltd,SME,5855509,PR5 6QE,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Family Care Associates,SME,5855509,PR56QE,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Foster Care Associates Ltd (previously Core Assets Fostering Ltd),SME,4322806,B60 4AD,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Foster Care Link,SME,4743655,N16 6AA,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Foster Careline,SME,6703132,L2 7QL,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Foster Cares Ltd,SME,"05038789
 ",SR8 2RR,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Fostering Matters,SME,5083103,GL1 2LR,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Fostering Outcomes,SME,5956931,BR7 5BN,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Fostering People Ltd,SME,4241833,NG2 5GJ,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Fostering Solutions Ltd,SME,4006225,HX5 9AA,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Fusion Fostering Ltd,SME,7819299,TA3 6BY,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Harmony Children's Services,SME,7350725,HD5 8NP,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Hillcrest Care Ltd t/a Orange Grove Fostercare,SME,7027421,ME10 1GL,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Horizon Care,SME,4049112,WS11 0LG,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Inspire Childrens Services,SME,6968122,WA10 1AJ,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Jigsaw (NW) IFA Ltd,SME,3525915,SK15 2QA,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Lorimer Foster Services,SME,4967352,M33 5ND,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Meadows Care,SME,"

05087886",OL12 0EN,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,National Fostering Agency,SME,3127814,UB8 2AE,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,New Horizons (stockport) Ltd,SME,3431532,SK7 3DQ,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Oasis Fostering Services,SME,6865438,BL0 0NE,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Oracle Care ,SME,5618803,CW12 2AH,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Parallel Parents,SME,,SK26LR,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Park Foster Care,SME,4861395,CW5 6PF,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Pathfinders childcare LTD,SME,4780606,HX5 9HT,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Perpetual Care,SME,5304989,BL1 4QR,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Prestige Care,SME,3025072,ST6 4BF,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Prospects for young people,SME,"

02927657",LL13 9UG,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Quality Protects Children,SME,"04001248
 ",L36 9XB,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Safehouses Fostering ,SME,5422189,OL3 5SN,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Shared-Care,SME,"06977604
 ",BD183HH,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Social Care Services Group,SME,2428089,SK41NL,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,SWIIS Foster Care,SME,3985713,IG1 4NE,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,TACT,Large,101896,SE13 6TJ,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,The Foster Care Co-operative,SME,Supplier does not have company number,WR14 1GF,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,The Fostering Organisation t/a The Fostering Team,SME,Supplier does not have company number,SK7 5ER,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Three Circles Fostering,SME,7846546,SK9 2TB,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Timeout Childrens Homes,SME,5690483,HX6 4DH,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Together Trust,SME,301722,SK81JE,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Together Trust,SME,301722,SK8 1JE,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Tree House Care,SME,3549080,DN32 9DZ,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,UK Fostering,SME,5029887,DA1 2EN,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Welcome Foster Care,SME,6350870,E15 4EA,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Whistledawn TA Northerncare,SME,4278167,FY39JL,Stockport- Services to People
671,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Learning Disability Framework (Supported Living),-,-,-,-,-,-,-,-,-,-,-,Young Foundations Ltd,SME,"05029887
 ",LL16 4LU,Stockport- Services to People
908,Stockport Council,Professional,Live (Ongoing),151000-Consultancy : Business : ,Service Support for Business Incubator,OJEU Tender,Contract,01-Sep-13,95,95,20-Jul-21,,20-Jul-21,01-Jan-20,"Â£260,302.00","Â£2,082,416.00",Oxford Innovation Ltd,SME,2177191,OX1 1BY,Stockport- Corporate & Support Services
952,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Supply of Complex Aids for Daily Living ,OJEU Tender,Contract,01-Oct-15,30,54,31-Mar-20,Yes,31-Mar-20,10-Jan-19,"Â£600,000.00","Â£2,700,000.00",Rosscare,SME,469301,CH44 7HX,Stockport- Services to People
1194,Stockport Council,People,Live (Ongoing),321100-Social Community Care Supplies & Services - Children :  ,Occupational and Speech Therapy,OJEU Tender,Contract,01-Oct-16,34,46,31-Aug-20,Yes,31-Aug-20,01-Dec-19,"Â£300,000.00","Â£1,200,000.00",Together Trust ,SME,301722,SK8 1JE ,Stockport- Services to People
1203,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Alliance for Positive Relationships,OJEU Tender,Contract,01-Aug-15,36,60,31-Jul-20,Yes,31-Jul-20,30-Jan-18,"Â£280,000.00","Â£1,400,000.00",Stockport Without Abuse Alliance,SME,3890735,SK1 3QP,Stockport- Services to People
1204,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Targeted Prevention Alliance,OJEU Tender,Contract,01-Jun-15,36,60,31-May-20,Yes,31-May-20,31-May-19,"Â£1,500,000.00","Â£7,500,000.00",Stockport Homes ,Large,4521257,SK1 3NQ,Stockport- Services to People
1205,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Stockport Advocacy Services ,Tender,Contract,01-Apr-15,36,60,31-Mar-20,Yes,31-Mar-20,30-Nov-17,"Â£200,000.00","Â£1,000,000.00",Stockport Advocacy Trust,SME,5274481,SK1 3DL,Stockport- Services to People
1263,Stockport Council,Professional,Live (Ongoing),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,OJEU Tender,Contract,06-Jan-10,84,122,31-Mar-20,Yes,31-Mar-20,01-Mar-19,"Â£75,000.00","Â£750,000.00",Midland HR&Payroll Solutions,SME,8099611,B79 9DZ,Stockport- Corporate & Support Services
1266,Stockport Council,People,Live (ReProcure),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,Absolute Care at Home,SME,5583427,WA14 2PL,Stockport- Corporate & Support Services
1266,Stockport Council,People,Live (ReProcure),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,African Caribbean Care Group,VCSE,1028464,M15 5FS,Stockport- Corporate & Support Services
1266,Stockport Council,People,Live (ReProcure),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,Allied Healthcare ,Large,1963820,ST18 0FX,Stockport- Corporate & Support Services
1266,Stockport Council,People,Live (ReProcure),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,Apex bought out by CRG ,SME,6357982,WA10 4LA,Stockport- Corporate & Support Services
1266,Stockport Council,People,Live (ReProcure),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,Castlerock Recruitment Group Ltd,SME,6357982,WA9 1UA,Stockport- Corporate & Support Services
1266,Stockport Council,People,Live (ReProcure),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,Comfort Call Limited,Large,5763279,HA9 0NP,Stockport- Corporate & Support Services
1266,Stockport Council,People,Live (ReProcure),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,Community Integrated Care,Large,GB864449784,WA7 6AA,Stockport- Corporate & Support Services
1266,Stockport Council,People,Live (ReProcure),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,Creative Support,VCSE,0027440IP,M1 2HF,Stockport- Corporate & Support Services
1266,Stockport Council,People,Live (ReProcure),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,Harbex,VCSE,3112191,M41 9JN,Stockport- Corporate & Support Services
1266,Stockport Council,People,Live (ReProcure),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,IAS,Large,1141823,WN7 2DB,Stockport- Corporate & Support Services
1266,Stockport Council,People,Live (ReProcure),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,Medacs Healthcare plc,Large,2518546,LU13BA,Stockport- Corporate & Support Services
1266,Stockport Council,People,Live (ReProcure),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,Premier Care Ltd,Large,5213770,M27 4HL,Stockport- Corporate & Support Services
1266,Stockport Council,People,Live (ReProcure),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,SOS Homecare Ltd,SME,4615764,M32 0FP,Stockport- Corporate & Support Services
1266,Stockport Council,People,Live (ReProcure),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,The Care Company Plus Limited ,SME,3602177,M3 1EZ,Stockport- Corporate & Support Services
1266,Stockport Council,People,Live (ReProcure),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,The Human Support Group,Large,3513906,WA14 1EF,Stockport- Corporate & Support Services
1266,Stockport Council,People,Live (ReProcure),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,The Mears Group,Large,4320403,W4 5PY,Stockport- Corporate & Support Services
1266,Stockport Council,People,Live (ReProcure),271600-Information Communication Technology : Software : Customised & Bespoke,Midland iTrent,-,-,-,-,-,-,-,-,-,-,-,TLC Private Home Care Services,SME,638839095,M41 0TZ,Stockport- Corporate & Support Services
1275,Stockport Council,Place,Live (Ongoing),351000-Street & Traffic Management : Parking : Car Parks,Redrock Car Park Management ,OJEU Tender,Contract,18-Jan-16,48,84,17-Jan-20,Yes,17-Jan-23,01-Mar-21,"Â£400,000.00","Â£2,800,000.00",National Car Parks Ltd (NCP),SME,253240,EC1N 8XE,Stockport- Services to Place
1314,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 1 - Wellbeing and Indepenence at Home,OJEU Tender,Contract,01-Oct-15,36,60,30-Sep-20,Yes,30-Sep-20,30-Mar-19,"Â£300,000.00","Â£1,855,861.00",Age UK,SME,1139547,SK1 3AQ,Stockport- Services to People
1315,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 2 - Independent Living and Wellbeing in the Community,OJEU Tender,Contract,01-Oct-15,36,60,30-Sep-20,Yes,30-Sep-20,31-Dec-19,"Â£300,000.00","Â£1,500,000.00",Pure Innovations,SME,5241249,SK3 0RF,Stockport- Services to People
1316,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 3 - Wellbeing and Independence through Community Transport,OJEU Tender,Contract,01-Oct-15,36,60,30-Sep-20,Yes,30-Sep-20,31-Dec-19,"Â£120,000.00","Â£600,000.00",Stockport Car Scheme,SME,1091546,SK4 3LD,Stockport- Services to People
1321,Stockport Council,Place,Live (Ongoing),361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,OJEU Tender,DPS (Dynamic Purchasing System),01-Aug-15,48,48,31-Jul-20,No,31-Jul-19,01-Jan-19,"Â£4,000,000.00","Â£16,000,000.00",Approved supplier list maintained by the Council. Contact STAR Procurement for further details,,,,Stockport- Services to Place
1366,Stockport Council,Place,Live (Ongoing),191700-Facilities & Management Services : Property Management : ,Fire Risk Assessments,-,-,-,-,-,-,-,-,-,-,-,Firesec North West Ltd,Small,6702659,CH65 3EY,Stockport- Services to Place
1366,Stockport Council,Place,Live (Ongoing),191700-Facilities & Management Services : Property Management : ,Fire Risk Assessments,-,-,-,-,-,-,-,-,-,-,-,The Oakleaf  Surveying Ltd,Medium,6151373,NN3 6WL,Stockport- Services to Place
1366,Stockport Council,Place,Live (Ongoing),191700-Facilities & Management Services : Property Management : ,Fire Risk Assessments,-,-,-,-,-,-,-,-,-,-,-,Fire Protection Association,Small,3806681,GL56 ORH,Stockport- Services to Place
1366,Stockport Council,Place,Live (Ongoing),191700-Facilities & Management Services : Property Management : ,Fire Risk Assessments,-,-,-,-,-,-,-,-,-,-,-,BB7 Fire Limited,Small,7088332,ME1 1XF,Stockport- Services to Place
1367,Stockport Council,Professional,Live (Ongoing),201800-Financial Services : Insurance : ,Insurance Advisory and Broking Service,Call Off (External),Contract,01-Jan-16,36,60,01-Jan-21,,01-Jan-21,01-Aug-18,"Â£14,000.00","Â£70,000.00",Arthur J Gallagher ,Large,8887139,M3 5AG,Stockport- Corporate & Support Services
1378,Stockport Council,People,Live (Ongoing),321000Â  Social Community Care Supplies & Services - Adult,Supported Living Services (103.7 - Phase 5),Mini Competition (Internal),Contract,01-Dec-15,36,48,31-Dec-20,No,31-Dec-20,01-Jul-18,"Â£214,766.76","Â£859,067.04",Home Focus,VCSE,2147139,M30 0DL,Stockport- Services to People
1401,Stockport Council,People,Live (Ongoing),321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,-,-,-,-,-,-,-,-,-,-,-,Acorn Education,SME,"05019430
 
 ",BL2 1BX,Stockport- Services to People
1401,Stockport Council,People,Live (Ongoing),321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,-,-,-,-,-,-,-,-,-,-,-,Agricultural and Rural CIC,SME,"07003228
 ",SK6 4BA ,Stockport- Services to People
1401,Stockport Council,People,Live (Ongoing),321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,-,-,-,-,-,-,-,-,-,-,-,CVS Specialist Tutors,SME,"06153495
 ",SK10 4SZ ,Stockport- Services to People
1401,Stockport Council,People,Live (Ongoing),321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,-,-,-,-,-,-,-,-,-,-,-,Educ8 Liverpool,SME,"07552260
 ",L8 6SE,Stockport- Services to People
1401,Stockport Council,People,Live (Ongoing),321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,-,-,-,-,-,-,-,-,-,-,-,Groundwork MSSTT,SME,3233208,M17 1TU ,Stockport- Services to People
1401,Stockport Council,People,Live (Ongoing),321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,-,-,-,-,-,-,-,-,-,-,-,In School Out Teaching,SME,Does not have one,SK4 5AB,Stockport- Services to People
1401,Stockport Council,People,Live (Ongoing),321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,-,-,-,-,-,-,-,-,-,-,-,Next Level Learning,SME,"06277818
 ",M28 7DH,Stockport- Services to People
1401,Stockport Council,People,Live (Ongoing),321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,-,-,-,-,-,-,-,-,-,-,-,Nisai Academy,SME,"05030261
 ",HA1 1XB ,Stockport- Services to People
1401,Stockport Council,People,Live (Ongoing),321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,-,-,-,-,-,-,-,-,-,-,-,Norman Mackie,SME,"03889154
 ",SK15 1EB ,Stockport- Services to People
1401,Stockport Council,People,Live (Ongoing),321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,-,-,-,-,-,-,-,-,-,-,-,Prestige College,SME,"08422831
 ",SK3 0EX,Stockport- Services to People
1401,Stockport Council,People,Live (Ongoing),321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,-,-,-,-,-,-,-,-,-,-,-,Professional Learning Systems,SME,"09607876
 ",M3 4EN ,Stockport- Services to People
