Practice No,Practice Name,Address1,Address2,Address3,Postcode,LCG,Registered Patients
389,Dr. MCILROY & PARTNERS              ,CORRAN SURGERY,MOYLE MEDICAL CENTRE,"OLD GLENARM ROAD, LARNE",BT40 1XH,Northern,7966
390,Dr. MCALLISTER & PARTNERS           ,THE HEALTH CENTRE,TAYLORS AVENUE,CARRICKFERGUS,BT38 7HT,Northern,14768
391,Dr. FERGUSON & PARTNERS             ,VICTORIA SURGERY,MOYLE MEDICAL CENTRE,"OLD GLENARM ROAD, LARNE",BT40 1XH,Northern,5744
393,Dr. BLACK & PARTNER                 ,THE HEALTH CENTRE,GLOUCESTER AVENUE,LARNE,BT40 1PB,Northern,2994
394,Dr. CALDWELL & PARTNERS             ,LARNE FAMILY PRACTICE,LARNE HEALTH CENTRE,GLOUCESTER AVENUE,BT40 1PB,Northern,4720
395,Dr. WILSON & PARTNER                ,ROCKFIELD MEDICAL CENTRE,BALLYMENA,,BT43 6JD,Northern,4078
396,Dr. VERCOE-ROGERS & PARTNER         ,OLD BANK SURGERY,97 MILL STREET,BALLYMENA,BT43 5AF,Northern,3712
401,Dr. WRAY & PARTNERS                 ,THE HEALTH CENTRE,52 ORRITOR ROAD,COOKSTOWN,BT80 8BN,Northern,6577
402,Dr. WHITE & PARTNERS                ,DRAPERSTOWN SURGERY,6 TOBERMORE ROAD,"DRAPERSTOWN, MAGHERAFELT",BT45 7AG,Northern,8463
404,Dr. DALZELL & PARTNERS              ,67 URBAL ROAD,COAGH,COOKSTOWN,BT80 0DP,Northern,5226
405,Dr. FLANIGAN & PARTNERS             ,LOY MEDICAL CENTRE,8 LOY STREET,COOKSTOWN,BT80 8PE,Northern,5734
406,Dr. GLANCY & PARTNERS               ,29 GARDEN STREET,MAGHERAFELT,CO LONDONDERRY,BT45 5DD,Northern,9309
407,Dr. BROWN & PARTNERS                ,OAKS FAMILY PRACTICE CENTRE,48 ORRITOR ROAD,COOKSTOWN,BT80 8BH,Northern,7763
409,Dr. MCCOY & PARTNERS                ,THE HEALTH CENTRE,50 HILLHEAD,"STEWARTSTOWN, DUNGANNON",BT71 5HY,Northern,5728
410,Dr. SHAW & PARTNERS                 ,MAGHERA MEDICAL CENTRE,25 CHURCH STREET,MAGHERA,BT46 5EA,Northern,8491
412,Dr. O'KANE & PARTNERS               ,THE DIAMOND MEDICAL CENTRE,MARKET SQUARE,MAGHERAFELT,BT45 6ED,Northern,9154
413,Dr. GRAHAM                          ,LOY BUILDINGS,18 LOY STREET,COOKSTOWN,BT80 8PE,Northern,2499
417,Dr. HINDS & PARTNERS                ,THE SURGERY,STATION ROAD,"CASTLEDAWSON, MAGHERAFELT",BT45 8AZ,Northern,7070
419,Dr. HUNTER                          ,FAIRHILL SURGERY,1 FAIRHILL ROAD,MAGHERAFELT CO LONDONDERRY,BT45 6BL,Northern,1712
420,Dr. KURIACOSE & PARTNERS            ,MONEYMORE MEDICAL PRACTICE,3 FAIRHILL,MONEYMORE,BT45 7LJ,Northern,5905
431,Dr. MEENAN & PARTNERS               ,WHITEHOUSE MEDICAL GROUP PRACTICE,"UNIT 29A, FIRST FLOOR, ABBEYCENTRE","LONGWOOD ROAD, NEWTOWNABBEY",BT37 9UH,Northern,9375
433,Dr. LOGAN & PARTNERS                ,THE HEALTH CENTRE,GEORGE AVENUE,BALLYCLARE,BT39 9HL,Northern,15244
434,Dr. HENDRON & PARTNERS              ,ABBOTS CROSS MEDICAL PRACTICE,92 DOAGH ROAD,NEWTOWNABBEY,BT37 9QW,Northern,8125
438,Dr. BEIRNE & PARTNERS               ,TRAMWAYS MEDICAL CENTRE,FARMLEY ROAD,NEWTOWNABBEY,BT36 7XX,Northern,10579
440,Dr. DORAN & PARTNERS                ,NOTTING HILL MEDICAL PRACTICE,DOAGH ROAD,NEWTOWNABBEY,BT37 9QN,Northern,10221
451,Dr. CLARKE & PARTNERS               ,BROWNLOW HEALTH CENTRE,1 LEGAHORY CENTRE,"LEGAHORY, CRAIGAVON",BT65 5BE,Southern,6198
453,Dr. MCCLOSKEY & PARTNERS            ,BANBRIDGE GROUP SURGERY,1 OLD HOSPITAL ROAD,BANBRIDGE,BT32 3GN,Southern,4178
454,Dr. HUEY & PARTNERS                 ,THE SURGERY,11 MAIN STREET,"LOUGHBRICKLAND, BANBRIDGE",BT32 3NQ,Southern,8789
455,Dr. MAGOWAN & PARTNERS              ,THE HEALTH CENTRE,CASTLEVIEW,"GILFORD, CRAIGAVON",BT63 6JS,Southern,5664
457,Dr. MCDONALD & PARTNERS             ,WYNNE HILL SURGERY,51 HILL STREET,"LURGAN, CRAIGAVON",BT66 6BW,Southern,11564
458,Dr. TROUGHTON & PARTNERS            ,PORTADOWN HEALTH&CARE CENTRE,TAVANAGH AVENUE,PORTADOWN,BT62 3BU,Southern,4987
460,Dr. LENNON & PARTNERS               ,60A MAIN STREET,DONAGHCLONEY,CRAIGAVON,BT66 7LR,Southern,4348
461,Dr. CLARKE & PARTNER                ,THE HEALTH CENTRE,TAVANAGH AVENUE,"PORTADOWN, CRAIGAVON",BT62 3BU,Southern,3882
462,Dr. EAKIN & PARTNERS                ,60 HIGH STREET,LURGAN,CRAIGAVON,BT66 8BA,Southern,9661
463,Dr. PATTERSON & PARTNERS            ,THE SURGERY,7 MOORES LANE,"LURGAN, CRAIGAVON",BT66 8DW,Southern,4881
464,Dr. O'CONNOR & PARTNERS             ,THE HEALTH CENTRE,TAVANAGH AVENUE,"PORTADOWN, CRAIGAVON",BT62 3BU,Southern,5025
465,Dr. ARMSTRONG & PARTNERS            ,28 CHURCH WALK,LURGAN,CRAIGAVON,BT67 9AA,Southern,8437
467,Dr. MCAULEY & PARTNERS              ,87/89 WILLIAM STREET,LURGAN,CRAIGAVON,BT66 6JB,Southern,5466
469,Dr. MCCANDLESS & PARTNERS           ,BANBRIDGE GROUP SURGERY,1 OLD HOSPITAL ROAD,BANBRIDGE,BT32 3GN,Southern,8858
470,Dr. SHARPE & PARTNERS               ,RIVERSIDE PRACTICE,"THE HEALTH CENTRE, TAVANAGH AVENUE","PORTADOWN, CRAIGAVON",BT62 3BU,Southern,13268
471,Dr. MCNIFF & PARTNERS               ,BANBRIDGE GROUP SURGERY,1 OLD HOSPITAL ROAD,BANBRIDGE,BT32 3GN,Southern,7898
472,Dr. MULLAN & PARTNER                ,SCARVA STREET SURGERY,60 SCARVA STREET,"LOUGHBRICKLAND, BANBRIDGE",BT32 3NH,Southern,3073
473,Dr. DAVIS & PARTNERS                ,52 MAIN STREET,MOIRA,CRAIGAVON,BT67 0LQ,South Eastern,9737
474,Dr. ATCHISON & PARTNERS             ,50 GALLOWS STREET,DROMORE,CO DOWN,BT25 1BD,Southern,8022
475,Dr. WILSON & PARTNERS               ,8a LURGAN ROAD,AGHALEE,CRAIGAVON,BT67 0DD,South Eastern,5413
476,Dr. LUTTON & PARTNERS               ,THE SURGERY,32 STATION ROAD,"BALLYWARD, CASTLEWELLAN",BT31 9TU,Southern,2813
477,Dr. WILLIAMSON & PARTNERS           ,THE HEALTH CENTRE,TAVANAGH AVENUE,"PORTADOWN, CRAIGAVON",BT62 3BU,Southern,5045
478,Dr. HAGAN & PARTNERS                ,BANNVIEW MEDICAL PRACTICE,PORTADOWN H & C CENTRE,TAVANAGH AVENUE,BT62 3BU,Southern,4953
479,Dr. BURNETT & PARTNERS              ,THE HEALTH CENTRE,TAVANAGH AVENUE,"PORTADOWN, CRAIGAVON",BT62 3BU,Southern,8888
482,Dr. MCCLOSKEY & PARTNERS            ,THE OLD SCHOOL HOUSE MEDICAL CENTRE,1 ANTRIM ROAD,"LURGAN, CRAIGAVON",BT67 9BW,Southern,5043
491,Dr. MARSHALL & PARTNERS             ,ABBEY COURT SURGERY,DOBBIN LANE,ARMAGH,BT61 7QG,Southern,8192
493,Dr. JOHNSTON & PARTNER              ,MID ULSTER HEALTH CARE,SOUTH TYRONE HOSPITAL,CARLAND ROAD,BT71 4AU,Southern,8874
494,Dr. BOYD & PARTNER                  ,THE VALLEY MEDICAL PRACTICE,20 COONEEN ROAD,FIVEMILETOWN,BT75 0ND,Southern,4365
495,Dr. CARSON & PARTNERS               ,CAMPBELL SURGERY,10 QUARRY LANE,DUNGANNON,BT70 1HX,Southern,11367
497,Dr. MCCOLLUM & PARTNERS             ,WILLOWBANK,KEADY,CO ARMAGH,BT60 3RL,Southern,9406
498,Dr. MCSHANE & PARTNER               ,MCSHANE AND CAMPBELL PRACTICE,"MOY HEALTH CENTRE, CHARLEMONT STREET",MOY,BT71 7SL,Southern,3758
499,Dr. POTTER & PARTNER                ,ERRIGAL MEDICAL CENTRE,OLD DUNGANNON ROAD,"BALLYGAWLEY,DUNGANNON",BT70 2EY,Southern,4269
500,Dr. HERRON & PARTNER                ,22 BARRACK STREET,COALISLAND,DUNGANNON,BT71 4LS,Southern,2373
501,Dr. MCCONVILLE & PARTNER            ,MOY MEDICAL PRACTICE,CHARLEMONT STREET,MOY,BT71 7SL,Southern,2659
502,Dr. CARLILE & PARTNERS              ,15 DARTAN REE,TYNAN,ARMAGH,BT60 4QT,Southern,5730
503,Dr. WRIGHT & PARTNERS               ,THE HEALTH CENTRE,NEWRY STREET,"MARKETHILL, ARMAGH",BT60 1TA,Southern,6286
504,Dr. CLEARY & PARTNER                ,MOY MEDICAL CENTRE,CHARLEMONT STREET,"MOY, DUNGANNON",BT71 7SL,Southern,3620
505,Dr. GARLAND & PARTNERS              ,PARKVIEW SURGERY,"SOUTH TYRONE HOSPITAL SITE, CARLAND ROAD,",DUNGANNON,BT71 4AU,Southern,9035
506,Dr. GRIBBEN & PARTNER               ,2 SYDNEY LANE,AUGHNACLOY,CO TYRONE,BT69 6AF,Southern,5091
507,Dr. WATTERS                         ,THE HEALTH CENTRE,24A TASSAGH ROAD,KEADY,BT60 3TU,Southern,2723
508,Dr. PICKERING & PARTNER             ,TANDRAGEE MEDICAL CENTRE,3 MONTAGUE STREET,"TANDRAGEE, CRAIGAVON",BT62 2AN,Southern,3647
509,Dr. MCKAY & PARTNERS                ,57 THOMAS STREET,DUNGANNON,CO TYRONE,BT70 1HW,Southern,6420
512,Dr. O'DONNELL & PARTNERS            ,THE MEDICAL CENTRE,15 BARRACK STREET,"COALISLAND, DUNGANNON",BT71 4LS,Southern,4466
514,Dr. GARVIN & PARTNERS               ,THE ARCHWAY SURGERY,DOBBIN LANE,ARMAGH,BT61 7QG,Southern,8257
515,Dr. QUINN & PARTNERS                ,THE HEALTH CENTRE,"6 GREENVIEW, MAYNOOTH ROAD","RICHHILL, ARMAGH",BT61 9PD,Southern,5432
516,Dr. O'HAGAN & PARTNERS              ,THE FRIARY SURGERY,DOBBIN LANE,ARMAGH,BT61 7QG,Southern,9070
519,Dr. MITCHEL & PARTNER               ,THE SURGERY,10A LINESIDE,"COALISLAND, DUNGANNON",BT71 4LP,Southern,4179
526,Dr. MULLIGAN & PARTNERS             ,CORNMARKET SURGERY,NEWRY HEALTH VILLAGE,"MONAGHAN STREET, NEWRY",BT35 6BW,Southern,4915
528,Dr. FEE                             ,THE HEALTH CENTRE,MCCORMICK PLACE,"CROSSMAGLEN, NEWRY",BT35 9HD,Southern,4792
529,Dr. FLOOD & PARTNERS                ,CORNMARKET SURGERY,NEWRY HEALTH VILLAGE,"MONAGHAN STREET, NEWRY",BT35 6BW,Southern,6656
530,Dr. MEGAW                           ,THE HEALTH CENTRE,JOHN STREET,"RATHFRILAND, NEWRY",BT34 5QH,Southern,2915
531,Dr. ALLEN & PARTNER                 ,14 KILKEEL ROAD,ANNALONG,NEWRY,BT34 4TH,Southern,4227
532,Dr. CHAMBERS & PARTNER              ,KILKEEL PRIMARY CARE CENTRE,GREENCASTLE STREET,"KILKEEL, NEWRY",BT34 4BH,Southern,3853
533,Dr. VETTIANKAL                      ,MEIGH SURGERY,5B DRUMINTEE ROAD,"KILLEAVY, NEWRY",BT35 8JT,Southern,2757
534,Dr. FEARON & PARTNERS               ,CLANRYE SURGERY,NEWRY HEALTH VILLAGE,"MONAGHAN STREET, NEWRY",BT35 6BW,Southern,9003
535,Dr. WADE & PARTNERS                 ,THE HEALTH CENTRE,JOHN STREET,"RATHFRILAND, NEWRY",BT34 5QH,Southern,4355
536,Dr. MCGIVERN & PARTNERS             ,SUMMER HILL SURGERY,50 GREAT GEORGES STREET,"WARRENPOINT, NEWRY",BT34 3HS,Southern,8320
537,Dr. MCEVOY & PARTNERS               ,MCVERRY/MCEVOY MEDICAL CENTRE,NEWRY HEALTH VILLAGE,"MONAGHAN STREET, NEWRY",BT35 6BW,Southern,9657
539,Dr. FORSHAW & PARTNERS              ,CLANRYE SURGERY,NEWRY HEALTH VILLAGE,"MONAGHAN STREET, NEWRY",BT35 6BW,Southern,4597
540,Dr. O'NEILL & PARTNERS              ,MEADOWLANDS SURGERY,MONAGHAN STREET,NEWRY,BT35 6BW,Southern,7180
542,Dr. LAMBE & PARTNERS                ,53 DUNDALK STREET,NEWTOWNHAMILTON,NEWRY,BT35 0PB,Southern,3888
543,Dr. MURPHY & PARTNERS               ,THE HEALTH CENTRE,SUMMERHILL,"WARRENPOINT, NEWRY",BT34 3JD,Southern,4713
544,Dr. O'REILLY & PARTNERS             ,CORNMARKET SURGERY,NEWRY HEALTH VILLAGE,"MONAGHAN STREET, NEWRY",BT35 6BW,Southern,7273
545,Dr. MAGUIRE & PARTNER               ,MAPHONER SURGERY,2A FORKHILL ROAD,"MULLAGHBAWN, NEWRY",BT35 9RA,Southern,5121
546,Dr. MCKERNAN & PARTNER              ,BESSBROOK SURGERY,7A CONVENT HILL,"BESSBROOK, NEWRY",BT35 7AW,Southern,2430
547,Dr. SHANNON & PARTNER               ,THE HEALTH CENTRE,JOHN STREET,"RATHFRILAND, NEWRY",BT34 5QH,Southern,3728
549,Dr. MULHOLLAND & PARTNERS           ,THE HEALTH CENTRE,2A MARKETHILL ROAD,"NEWTOWNHAMILTON, NEWRY",BT35 0BE,Southern,4453
551,Dr. ALLEN & PARTNER                 ,RATHKEELAND HOUSE,1 BLANEY ROAD,"CROSSMAGLEN, NEWRY",BT35 9JJ,Southern,4165
553,Dr. BONNER                          ,MARINA SURGERY,15 HAVELOCK PLACE,"WARRENPOINT, NEWRY",BT34 3NE,Southern,2208
554,Dr. POOTS & PARTNERS                ,MOURNE FAMILY SURGERY,"MOURNE HOSPITAL, NEWRY STREET","KILKEEL,NEWRY",BT34 4DN,Southern,4180
555,Dr. MERCER & PARTNER                ,KILKEEL PRIMARY CARE CENTRE,GREENCASTLE STREET,"KILKEEL, NEWRY",BT34 4BH,Southern,1835
556,Dr. DILLON & PARTNERS               ,SHANLIEVE SURGERY,"KILKEEL PRIMARY CARE CENTRE, GREENCASTLE STREET","KILKEEL, NEWRY",BT34 4BH,Southern,3434
557,Dr. PATTERSON & PARTNERS            ,Arbor Family Practice,Brownlow Health Centre,"1 LEGAHORY CENTRE, LEGAHORY, CRAIGAVON",BT65 5BE,Southern,2999
562,Dr. MAGUIRE & PARTNERS              ,THE HEALTH CENTRE,ERNE ROAD,ENNISKILLEN,BT74 6NN,Western,4219
563,Dr. GUETTE                          ,"DEVENISH PRACTICE, THE HEALTH CENTRE",ERNE ROAD,ENNISKILLEN,BT74 6NN,Western,3938
564,Dr. MEADE & PARTNERS                ,LAKESIDE MEDICAL PRACTICE,ERNE ROAD,ENNISKILLEN,BT74 6NN,Western,7059
566,Dr. MCCAW & PARTNERS                ,IRVINESTOWN HEALTH CENTRE,CHURCH STREET,IRVINESTOWN,BT94 1EH,Western,7620
568,Dr. MALLON & PARTNER                ,THE HEALTH CENTRE,ERNE ROAD,ENNISKILLEN,BT74 6NN,Western,2973
571,Dr. CATHCART & PARTNERS             ,THE HEALTH CENTRE,ERNE ROAD,ENNISKILLEN,BT74 6NN,Western,7391
574,Dr. PORTEOUS & PARTNERS             ,MAPLE GROUP PRACTICE,DRUMHAW,"LISNASKEA, ENNISKILLEN",BT92 0FP,Western,14363
576,Dr. HERDMAN & PARTNERS              ,RATHMORE CLINIC,BELLEEK,ENNISKILLEN,BT93 3FY,Western,3854
584,Dr. CROMIE & PARTNERS               ,BROOKEBOROUGH & TEMPO PRIMARY CARE SERVICES,9 TANYARD LANE,"BROOKEBOROUGH, ENNISKILLEN",BT94 4JG,Western,7172
585,Dr. CUNNINGHAM & PARTNERS           ,CUILCAGH MEDICAL PRACTICE,DRUMLAGHY,"FLORENCECOURT, ENNISKILLEN",BT92 1BZ,Western,7660
596,Dr. COSGROVE & PARTNERS             ,"CITYVIEW MEDICAL, WATERSIDE HEALTH CENTRE",SPENCER ROAD,LONDONDERRY,BT47 6AH,Western,9682
597,Dr. MCQUILLAN & PARTNERS            ,BOVALLY MEDICAL CENTRE,2 ROSSAIR ROAD,LIMAVADY,BT49 0TE,Western,6093
598,Dr. DURAND & PARTNERS               ,QUAYSIDE MEDICAL PRACTICE,80 - 84 STRAND ROAD,LONDONDERRY,BT48 7NN,Western,12075
599,Dr. O'DONNELL & PARTNERS            ,"PARK MEDICAL, THE HEALTH CENTRE",GREAT JAMES STREET,LONDONDERRY,BT48 7DH,Western,8231
600,Dr. GALLAGHER & PARTNERS            ,THE HEALTH CENTRE,IRWIN CRESCENT,"CLAUDY, LONDONDERRY",BT47 4AB,Western,4955
601,Dr. ROBINSON & PARTNERS             ,MOURNESIDE MEDICAL CENTRE,1A BALLYCOLMAN AVENUE,STRABANE,BT82 9AF,Western,10783
602,Dr. DOHERTY & PARTNERS              ,OAKLEAF MEDICAL PRACTICE,GREAT JAMES STREET,LONDONDERRY,BT48 7DH,Western,10611
603,Dr. KNOX & PARTNER                  ,THE HEALTH CENTRE,FEENY,LONDONDERRY,BT47 4TD,Western,5917
604,Dr. MCCLOSKEY & PARTNERS            ,THE ABERFOYLE SURGERY,120 STRAND ROAD,LONDONDERRY,BT48 7NY,Western,11407
605,Dr. FULLERTON & PARTNER             ,256 BERRYHILL ROAD,DUNAMANAGH,STRABANE,BT82 0NB,Western,4038
606,Dr. BANKHEAD & PARTNERS             ,BRIDGE STREET MEDICAL CENTRE,BRIDGE STREET,LONDONDERRY,BT48 6LD,Western,4783
608,Dr. BLACK & PARTNERS                ,ABBEY MEDICAL PRACTICE,ABBEY STREET,LONDONDERRY,BT48 9DN,Western,6926
609,Dr. PRATT & PARTNERS                ,ROSSAIR FAMILY PRACTICE,2 ROSSAIR ROAD,LIMAVADY,BT49 0TE,Western,6569
610,Dr. O'FLAHERTY & PARTNERS           ,STRABANE HEALTH CENTRE,UPPER MAIN STREET,STRABANE,BT82 8AS,Western,7788
614,Dr. WARNOCK & PARTNERS              ,DUNGIVEN HEALTH CENTRE,DUNGIVEN,LONDONDERRY,BT47 4RS,Western,3561
615,Dr. LALSINGH & PARTNERS             ,CLARENDON MEDICAL,35 NORTHLAND AVENUE,LONDONDERRY,BT48 7GW,Western,10972
616,Dr. O'HARE & PARTNERS               ,WESTERN RURAL HEALTHCARE,CASTLEDERG GROUP SURGERY,"13A LOWER STRABANE ROAD, CASTLEDERG",BT81 7AZ,Western,15076
618,Dr. DOHERTY                         ,49 CLARENDON STREET,LONDONDERRY,,BT48 7ER,Western,2871
619,Dr. QUINN & PARTNERS                ,THE HEALTH CENTRE,SCROGGY ROAD,LIMAVADY,BT49 0NA,Western,5904
620,Dr. ETHERSON & PARTNERS             ,STRABANE HEALTH CENTRE,UPPER MAIN STREET,STRABANE,BT82 8AS,Western,6465
621,Dr. DEANE & PARTNER                 ,NORTHSIDE MEDICAL PRACTICE,"SHANTALLOW HEALTH CENTRE, RACECOURSE ROAD",LONDONDERRY,BT48 8NL,Western,3600
622,Dr. DEVLIN & PARTNER                ,"RACECOURSE MEDICAL, SHANTALLOW HEALTH CENTRE",RACECOURSE ROAD,LONDONDERRY,BT48 8NL,Western,4771
623,Dr. ORR & PARTNERS                  ,FOYLESIDE FAMILY PRACTICE,BRIDGE STREET MEDICAL CENTRE,"BRIDGE STREET, LONDONDERRY",BT48 6LD,Western,5862
624,Dr. O'FLAHERTY & PARTNERS           ,"GLENDERMOTT MEDICAL, WATERSIDE HEALTH CENTRE",SPENCER ROAD,LONDONDERRY,BT47 6AH,Western,7698
625,Dr. MCEVOY & PARTNER                ,BAYVIEW MEDICAL CENTRE,3 BAYVIEW TERRACE,LONDONDERRY,BT48 7EE,Western,4002
626,Dr. HEALY & PARTNERS                ,"RIVERFRONT MEDICAL, WATERSIDE HEALTH CENTRE",SPENCER ROAD,LONDONDERRY,BT47 6AH,Western,8738
627,Dr. PATTERSON & PARTNERS            ,EGLINTON MEDICAL PRACTICE,29 MAIN STREET,"EGLINTON, LONDONDERRY",BT47 3AB,Western,7512
629,Dr. HENDERSON & PARTNERS            ,THE HEALTH CENTRE,SCROGGY ROAD,LIMAVADY,BT49 0NA,Western,6964
651,Dr. MONAGHAN & PARTNERS             ,FINTONA GROUP PRACTICE,33 DROMORE ROAD,"FINTONA, OMAGH",BT78 2BB,Western,6748
652,Dr. RITCHIE & PARTNER               ,2H MAIN STREET,DRUMQUIN,CO TYRONE,BT78 4SB,Western,1947
654,Dr. QUINN & PARTNERS                ,GRANGE FAMILY PRACTICE,7 DONAGHANIE ROAD,OMAGH,BT79 0NR,Western,6677
655,Dr. SCULLY                          ,23 OMAGH ROAD,DRUMQUIN,OMAGH,BT78 4QY,Western,1559
657,Dr. O'NEILL & PARTNERS              ,THREE SPIRES SURGERY,7 DONAGHANIE ROAD,OMAGH,BT79 0NR,Western,10173
660,Dr. CORRY & PARTNERS                ,CARRICKMORE HEALTH CENTRE,TERMON ROAD,"CARRICKMORE, OMAGH",BT79 9JR,Western,9377
661,Dr. REILLY                          ,DROMORE SURGERY,16 CAMDERRY ROAD,"DROMORE, OMAGH",BT78 3AU,Western,5846
662,Dr. GALLAGHER & PARTNERS            ,DRUMRAGH FAMILY PRACTICE,7 DONAGHANIE ROAD,OMAGH,BT79 0NR,Western,10777
663,Dr. DEEHAN & PARTNER                ,STRULE MEDICAL PRACTICE,7 DONAGHANIE ROAD,OMAGH,BT79 0NR,Western,3138
664,Dr. HICKS & PARTNER                 ,41 MAIN STREET,PLUMBRIDGE,OMAGH,BT79 8DL,Western,3307
