artist,title,album
squirrel nut zippers,that fascinating thing,perennial favorites
elton john,benny and the jets,goodbye yellow brick road
killers,bones,sam's town
natalie merchant,kind &amp; generous,ophelia
andrew lloyd webber,down once more/track down this murderer,phantom of the opera
metallica,enter sandman (s&amp;m),s&amp;m
madonna,into the groove,you can dance
they might be giants,xtc vs. adam ant,severe tire damage
mannheim steamroller,carol of the bells,a fresh aire christmas
mariah carey,without you,music box
aquabats,the man with glooey hands,the floating eye of death
counting crows,a murder of one,august and everything after
frankie valli,can't take my eyes off you,solo
hootie and the blowfish,hannah jane,cracked rear view
jack johnson,it's all understood,brushfire fairytales
sheryl crow,abilene,c'mon c'mon
barenaked ladies,everything had changed,are me
tlc,no scrubs,fanmail
enya,the memory of trees,paint the sky with stars:  the best of enya
beach boys,sloop john b,pet sounds
jon secada,&aacute;ngel,jon secada
madonna,lucky star,madonna
goo goo dolls,you never know,gutterflower
weird al yankovic,achy breaky song,alapalooza
a-teens,mamma mia,the abba generation
counting crows,mr. jones,august and everything after
squirrel nut zippers,suits are picking up the bill,perennial favorites
kenny loggins,return to pooh corner,return to pooh corner
n sync,pop,celebrity
michael mclean,which part is mine?,one heart in the right place
rod stewart,forever young,out of order
mulan,honor to us all,mulan soundtrack
goo goo dolls,here is gone,gutterflower
itayp&uacute;,sin ti,folklore latinamericano vol. i
richard marx,right here waiting,repeat offender
weezer,photograph,weezer (2001)
norah jones,in the morning,feels like home
jewel,everybody needs someone sometime,this way
aquabats,lotto fever,the floating eye of death
they might be giants,nightgown of the sullen moon,they'll need a crane
alejandro sanz,lo que fui es lo que soy,mtv unplugged (alejandro sanz)
andrew lloyd webber,the point of no return,phantom of the opera
cake,sheep go to heaven,prolonging the magic
dave matthews band,smooth rider,stand up
ben folds,the ascent of stan,rockin' the suburbs
the simpsons,the simpsons main title theme,songs in the key of springfield
aquabats,attacked by snakes!,the fury of the aquabats
beethoven,pathetique,
brahms,hungarian dance,
adam ant,goody two shoes,friend or foe
fatboy slim,rockafeller skank,you've come a long way baby
itayp&uacute;,a mis paisanos,folklore latinamericano vol. ii
michael mclean,from god's arms to my arms to yours,one heart in the right place
cake,you turn the screws,prolonging the magic
greg simpson,north star,especially for youth - joy in the journey (1998)
simple plan,perfect,no pads no helmets... just balls
abba,chiquitita,voulez-vous
squirrel nut zippers,meant to be,hot
thalia,amor a la mexicana,amor a la mexicana
reel big fish,snoop dog baby,turn the radio off
rednex,cotton eye joe,sex &amp; violins
jason mraz,you and i both,waiting for my rocket to come
michelle branch,goodbye to you,the spirit room
elemeno-p,sing and shout,no more lonely people
amy grant,big yellow taxi,house of love
music man,ya got trouble,music man soundtrack
dashboard confessional,as lovers go,a mark a mission a brand a scar
itayp&uacute;,tiempo al tiempo,folklore latinamericano vol. ii
jewel,break me,this way
hootie and the blowfish,when i'm lonely,fairweather johnson
john mellencamp,teardrops will fall,trouble no more
simon and garfunkel,the dangling conversation,parsley sage rosemary and thyme
tracy chapman,remember the tinman,new beginning
barenaked ladies,call and answer,stunt
smashing pumpkins,cupid de locke,mellon collie and the infinite sadness - dawn to dusk
eric clapton,change the world,phenomenon soundtrack
u2,unchained melody,best of 1980-1990
weird al yankovic,albuquerque,running with scissors
kenneth cope,come follow me,my servant joseph
police,message in a bottle,reggatta de blanc
ben folds five,steven's last night in town,whatever and ever amen
killers,read my mind,sam's town
abba,one of us,the visitors
weezer,pardon me,make believe
jack johnson,tomorrow morning,on and on
man&aacute;,estoy agotado,falta amor
red hot chili peppers,aeroplane (clean),one hot minute
david cook,the truth,analog heart
tears for fears,everybody wants to rule the world,songs from the big chair
aquabats,lobster bucket!,the fury of the aquabats
jerry goldsmith,main title - locutus,star trek first contact soundtrack
beatles,twist and shout,introducing... the beatles
billy joel,my life,52nd street
rossini,william tell overture,
weird al yankovic,midnight star,in 3-d
mariah carey,one sweet day,daydream
aerosmith,cryin',get a grip
moby,my weakness,play
weezer,love explosion,maladroit
jewel,words get in the way,goodbye alice in wonderland
killers,believe me natalie,hot fuss
michael mclean,a distant serenade,distant serenade
nirvana,smells like teen spirit,nevermind
boo radleys,there she goes,so i married an axe murderer soundtrack
bobby mcferrin,don't worry be happy,simple pleasures
bowling for soup,baby one more time,freaky friday soundtrack
they might be giants,lie still little bottle,lincoln
james taylor,sweet baby james,sweet baby james
nirvana,territorial pissings,nevermind
collective soul,gel,collective soul
enrique iglesias,don't turn off the lights,escape
jewel,go tell it on the mountain - life uncommon - from a distance,joy: a holiday collection
forever plaid,a tribute to mr. c,forever plaid soundtrack
jewel,life uncommon,spirit
natalie merchant,golden boy,motherland
diomedes diaz,si te vas te vas,
lisa loeb,furious rose,firecracker
natalie merchant,wonder,tigerlily
hootie and the blowfish,the killing stone,looking for lucky
live,waitress (clean),throwing copper
garth brooks,to make you feel my love,hope floats soundtrack
eagles,please come home for christmas,christmas of hope
hootie and the blowfish,tootie,fairweather johnson
simple plan,untitled (how can this happen to me),still not getting any...
jekyll &amp; hyde,someone like you,jekyll &amp; hyde soundtrack
jewel,gloria,joy: a holiday collection
they might be giants,about me,severe tire damage
natalie merchant,river,tigerlily
squirrel nut zippers,my drag,perennial favorites
randy newman,mr. president (have pity on the working man),good old boys
the simpsons,the field of excellence,go simpsonic with the simpsons
depeche mode,it's no good,ultra
aquabats,radiation song!,myths legends and other amazing adventures vol. 2
king chang&oacute;,sin ti,the return of el santo
green day,extraordinary girl,american idiot
david barrus,man of sorrows,on stage 2: more broadway favorites
u2,when love comes to town,rattle and hum
madonna,frozen,ray of light
james taylor,jump up behind me,hourglass
the simpsons,poochie rap song,go simpsonic with the simpsons
billy joel,she's always a woman,the stranger
wallflowers,invisible city,bringing down the horse
bon jovi,always,cross road
hootie and the blowfish,use me,scattered smothered and covered
sheryl crow,letter to god,wildflower
weezer,automatic,weezer (2008)
goo goo dolls,iris,dizzy up the girl
beastie boys,paul revere,licensed to ill
les mis&eacute;rables,turning,les mis&eacute;rables soundtrack
bobby mcferrin,menuet - string quintet in e major op.11-5 g. 275,paper music
matchbox 20,bent,mad season
robbie williams,angels,the ego has landed
sarah mclachlan,adia,mirrorball
jewel,standing still,this way
indigo girls,shame on you (clean),shaming of the sun
