Year,Quarter,LocationDesc,HealthTopic,PolicyTopic,Setting,Title,PolicyTypeID,PolicyTopicID
2011,1,New York,Obesity,Menu Labeling,Restaurant/Retail,Nutritional Information in Food Establishments,LEG,032MNL
2013,4,Arizona,Nutrition,Vending,School/After School,High School Nutrition Standards,LEG,051VEN
2011,1,Maryland,Nutrition,Fruits and Vegetables,Community,Raw Agricultural Products Sales,LEG,025FAV
2013,1,District of Columbia,Nutrition,Nutrition Standards,Early Care and Education,Healthy Tots Act of 2013,LEG,010NUS
2011,1,Arkansas,Nutrition,Access to Healthy Foods,Early Care and Education,Childhood Education Appropriation,LEG,001AHF
2011,1,California,Physical Activity,Public Transportation,Community,Local Development,LEG,040TRS
2013,1,New York,Obesity,Food Restrictions,School/After School,Trans Fat Elimination Program,LEG,020FOR
2011,1,Montana,Obesity,Appropriations,Early Care and Education,Study on Reducing Childhood Hunger,LEG,002APP
2011,1,Illinois,Nutrition,Correctional Facilities Farms Programs,School/After School,Appropriations to Agencies,LEG,018CFP
2011,1,Washington,Obesity,Body Mass Index (BMI),School/After School,Certain Public Facilities and Impact Fees,LEG,006BMI
2011,1,New York,Nutrition,Farm Direct Foods,Community,Tax Incentive to Domestic Life Insurance Companies,LEG,015FDF
2010,1,Washington,Nutrition,Farmers Markets,Restaurant/Retail,Property Tax Exemption for Church Property,LEG,016FAM
2015,2,New Jersey,Nutrition,Disparities/Equity,Community,"""An act making appropriations for the support of the State Government and the several public purposes for the fiscal year ending June 30, 2016 and regulating the disbursement thereof.""",LEG,013DEQ
2010,1,Virginia,Obesity,Disparities/Equity,Community,Health Care Access,LEG,013DEQ
2010,1,District of Columbia,Nutrition,Farmers Markets,Community,Bellevue Small Area Action Plan,LEG,016FAM
2007,1,Iowa,Nutrition,Farm Direct Foods,School/After School,Relating To And Making Appropriations Involving St,LEG,015FDF
2011,1,California,Nutrition,Access to Healthy Foods,Community,Food and Agriculture<br>,REG,001AHF
2010,1,Florida,Nutrition,School Nutrition,Restaurant/Retail,School Food Service Programs,LEG,043SNU
2011,1,Pennsylvania,Nutrition,Healthier Food Retail and Food Deserts,School/After School,School Foods Reform,LEG,021HFR
2009,1,Alabama,Physical Activity,Appropriations,Community,Public Education,LEG,002APP
2009,1,Illinois,Nutrition,Access to Healthy Foods,School/After School,Local Food and Farms and Jobs Act,LEG,001AHF
2009,1,Washington,Obesity,Body Mass Index (BMI),Community,Economic Stimulus,LEG,006BMI
2010,1,Tennessee,Obesity,Body Mass Index (BMI),Community,Appropriations,LEG,006BMI
2001,1,Maine,Physical Activity,Public Transportation,Community,Passenger Rail Service Financial Liability,LEG,040TRS
2003,1,Texas,Physical Activity,Appropriations,Community,An Act Making Appropriations<br>,LEG,002APP
2011,1,Massachusetts,Obesity,Body Mass Index (BMI),Community,Livable Communities and Zoning Reform Act,LEG,006BMI
2011,1,New York,Nutrition,Appropriations,School/After School,School Districts Purchase of Food Products,LEG,002APP
2011,1,Florida,Obesity,Appropriations,Community,Public Food Service Establishments,LEG,002APP
2010,1,Illinois,Nutrition,Medical Care,School/After School,Share the Road,LEG,026MEC
2009,1,Florida,Obesity,Body Mass Index (BMI),Community,Jacksonville Transportation Authority,LEG,006BMI
2010,1,Oklahoma,Obesity,Food Restrictions,School/After School,Public Health And Safety,LEG,020FOR
2006,1,Virginia,Nutrition,Farm Direct Foods,School/After School,Farm to School Website,LEG,015FDF
2010,1,Virginia,Physical Activity,Appropriations,Community,Revenues of the Commonwealth,LEG,002APP
2011,1,Kentucky,Obesity,Disparities/Equity,Early Care and Education,Legislative Task Force on Childhood Obesity,LEG,013DEQ
2011,1,Hawaii,Obesity,Incentives,Community,Medicaid,LEG,029INC
2010,1,Maine,Nutrition,Agriculture and Farming,Restaurant/Retail,Maine Food Processing Grant Program,REG,017AGF
2009,1,California,Nutrition,Farm Direct Foods,Community,Public Health: Food Justice,LEG,015FDF
2009,1,Massachusetts,Physical Activity,Task Forces/Councils,School/After School,Physical Education,LEG,047TFC
2011,1,Washington,Nutrition,Access to Healthy Foods,Community,State Agency Food Purchasing Policy,LEG,001AHF
2008,1,Hawaii,Nutrition,Incentives,Community,Senate Concurrent  Resolution<br>,LEG,029INC
2009,1,New Mexico,Nutrition,Farm Direct Foods,School/After School,Fresh Fruit in School,LEG,015FDF
2011,1,Illinois,Obesity,Appropriations,Community,Public Aid Code,LEG,002APP
2011,1,Massachusetts,Obesity,Appropriations,Community,Safety of Bicycle Paths,LEG,002APP
2011,1,New York,Nutrition,Task Forces/Councils,Community,Office Of Nutrition And Fitness,LEG,047TFC
2009,1,Massachusetts,Obesity,Appropriations,School/After School,Physical Activity in Schools,LEG,002APP
2010,1,Connecticut,Obesity,Sugar Sweetened Beverages,Community,Vending Machine Sales,LEG,046SSB
2009,1,Maine,Nutrition,Appropriations,School/After School,Farm Products in School Food Programs,LEG,002APP
2011,1,Virginia,Nutrition,Farm Direct Foods,School/After School,Purchase of State Grown Food Products,LEG,015FDF
2011,1,Mississippi,Obesity,Sugar Sweetened Beverages,Community,Sweetened Beverages and Syrups Tax,LEG,046SSB
2003,1,Maine,Physical Activity,Initiatives and Programs,School/After School,An Act to Study Obesity and Methods to Reduce the Cost of Health Care and Increase the Public Health<br>,LEG,053INP
2010,1,Hawaii,Physical Activity,Bicycling,Community,Bicycle Operation,LEG,005BIK
2010,1,North Carolina,Physical Activity,Physical Education Requirements,School/After School,Health and Physical Education Classes,LEG,036PER
2008,1,Texas,Physical Activity,Public Safety,Community,Community Development,REG,039SAF
2012,1,Indiana,Nutrition,Food Assistance Programs,School/After School,Farm-to-School<br>,LEG,003FAP
2001,1,Vermont,Physical Activity,Pedestrians/Walking,Community,Transportation Capital Program,LEG,052PED
2009,1,Massachusetts,Nutrition,Incentives,Community,Fiscal Recovery Emergency Measure,LEG,029INC
2010,1,Maryland,Nutrition,Appropriations,Community,Department of Agriculture,LEG,002APP
2009,1,Kentucky,Obesity,Liability and Indemnity,Work Place,Healthy Lifestyles,LEG,030LAI
2011,1,Mississippi,Obesity,Disparities/Equity,Restaurant/Retail,Sweetened Beverages and Syrups Tax,LEG,013DEQ
2009,1,Rhode Island,Nutrition,Incentives,Community,Taxation,LEG,029INC
2009,1,Illinois,Physical Activity,Appropriations,Community,Agency Appropriations,LEG,002APP
2009,1,Rhode Island,Nutrition,Farmers Markets,Community,Special Supplemental Nutrition Program,REG,016FAM
2011,1,Indiana,Nutrition,Access to Healthy Foods,Restaurant/Retail,Local Food and Farm Task Force,LEG,001AHF
2009,1,Minnesota,Nutrition,Fruits and Vegetables,Community,State Government,LEG,025FAV
2011,1,Florida,Physical Activity,School Siting,Community,Growth Management,LEG,042SIT
2017,1,Utah,Nutrition,Food Security,Community,Local Food Advisory Council,LEG,023FOS
2009,1,Massachusetts,Obesity,Appropriations,Community,Livable Communities and Zoning Reform Act,LEG,002APP
2007,1,Ohio,Physical Activity,Physical Education Requirements,School/After School,Appropriations for Operation of State Programs,LEG,036PER
2010,1,Pennsylvania,Nutrition,Farm Direct Foods,School/After School,School Foods Reform,LEG,015FDF
2011,1,Oklahoma,Nutrition,Nutrition Standards,Restaurant/Retail,License Discounts For Healthy Restaurants,LEG,010NUS
2009,1,Arkansas,Nutrition,Liability and Indemnity,Community,Legislative Projects,LEG,030LAI
2007,1,California,Physical Activity,Appropriations,Community,Park Development and Community Revitalization,LEG,002APP
2010,1,Maryland,Physical Activity,Bicycling,Community,Safe and Earth Friendly Roadway Act,LEG,005BIK
2009,1,New York,Obesity,Appropriations,Community,Bus Rapid Transit Program,LEG,002APP
2010,1,Illinois,Nutrition,Farmers Markets,Community,Department of Human Services,LEG,016FAM
2011,1,Montana,Obesity,TV/Screen Viewing,Early Care and Education,Day Care Licensing Requirements,LEG,048TVS
2013,4,New York,Nutrition,Task Forces/Councils,Community,Amending the Agriculture and Markets Law,LEG,047TFC
2011,1,District of Columbia,Nutrition,Vending,Restaurant/Retail,Workplace Wellness,LEG,051VEN
2010,1,Delaware,Nutrition,Nutrition Standards,School/After School,Escheats,LEG,010NUS
2009,1,Washington,Nutrition,Appropriations,Work Place,Womans Right To Breastfeed,LEG,002APP
2012,1,California,Nutrition,Initiatives and Programs,Community,An Act Relating to Land Use<br>,LEG,053INP
2010,1,Missouri,Nutrition,Appropriations,Community,Farm to Institution Initiative,LEG,002APP
2011,1,Hawaii,Nutrition,Food Assistance Programs,Restaurant/Retail,Food and Medical Services,LEG,003FAP
2013,4,Arizona,Nutrition,School Nutrition,School/After School,High School Nutrition Standards,LEG,043SNU
2011,1,Hawaii,Nutrition,Access to Healthy Foods,Restaurant/Retail,Child Nutrition Programs,LEG,001AHF
2011,1,Kentucky,Nutrition,Access to Healthy Foods,School/After School,Budget Bill Amendments,LEG,001AHF
2009,1,Kentucky,Nutrition,Task Forces/Councils,Work Place,State Employee Health Insurance,LEG,047TFC
2010,1,Maryland,Obesity,Disparities/Equity,Community,Health Disparities,LEG,013DEQ
2009,1,Utah,Nutrition,Agriculture and Farming,Community,Food Establishment Registration,REG,017AGF
2010,1,Texas,Physical Activity,Pedestrians/Walking,Community,Coastal Area Planning,REG,052PED
2003,1,Vermont,Nutrition,Agriculture and Farming,School/After School,Nutrition Policy in Schools,LEG,017AGF
2011,1,South Dakota,Nutrition,Incentives,Community,Food Sales Tax Refund Program,LEG,029INC
2007,1,North Carolina,Nutrition,Medical Care,Community,Appropriations Act of 2007,LEG,026MEC
2009,1,Massachusetts,Obesity,Appropriations,Community,Electronic Benefit Transfer Farmers Market Project,LEG,002APP
2006,1,Connecticut,Obesity,Food Restrictions,Community,Farmers Markets,LEG,020FOR
2012,1,Oklahoma,Nutrition,Access to Healthy Foods,Community,An Act Relating to Revenue and Taxation<br>,LEG,001AHF
2011,1,Texas,Nutrition,Healthier Food Retail and Food Deserts,School/After School,Interagency Obesity Council,LEG,021HFR
2011,1,Kentucky,Nutrition,Access to Healthy Foods,Early Care and Education,Childcare Nutrition and Physical Activity Standards,LEG,001AHF
2011,1,California,Nutrition,Healthier Food Retail and Food Deserts,Restaurant/Retail,Taxation: Sweetened Beverage Tax: Children's Health,LEG,021HFR
2011,1,Arkansas,Nutrition,Appropriations,School/After School,Education Appropriation,LEG,002APP
2011,1,New York,Nutrition,Farm Direct Foods,Restaurant/Retail,Nutrition Standards for Restaurants,LEG,015FDF
2011,1,Texas,Nutrition,Incentives,School/After School,Programs to Improve Health of Public School Students,LEG,029INC
2009,1,West Virginia,Nutrition,Fruits and Vegetables,Community,Healthy West Virginia Program,LEG,025FAV
2009,1,New York,Physical Activity,Physical Activity Requirements,School/After School,Governor's Council on Physical Fitness,LEG,035PAR
2010,1,New Jersey,Nutrition,Food Assistance Programs,Restaurant/Retail,State Budget,LEG,003FAP
2010,1,Kentucky,Obesity,Appropriations,School/After School,Summer Learning Camps,LEG,002APP
2011,1,Hawaii,Obesity,Health Insurance Coverage,Work Place,Tax Credits,LEG,028HIC
2009,1,New York,Nutrition,School Nutrition,School/After School,School Breakfast Incentive Program,LEG,043SNU
2011,1,Oregon,Nutrition,Medical Care,Community,Transit Benefit Districts,LEG,026MEC
2012,1,Hawaii,Nutrition,Farm Direct Foods,Community,An Act Related to Hawaii-grown Produce,LEG,015FDF
2010,1,North Carolina,Nutrition,Initiatives and Programs,Community,Video Gaming and Profit Sharing,LEG,053INP
2011,1,Rhode Island,Physical Activity,Public Safety,Community,State Affairs and Government,LEG,039SAF
2009,1,Massachusetts,Nutrition,Medical Care,Community,Transportation System Modernization,LEG,026MEC
2011,1,Minnesota,Physical Activity,"Parks, Recreation and Trails",Community,Transportation,LEG,034PRT
2010,1,Missouri,Physical Activity,Built Environment and Street-Scale Design,Community,Department of Transportation,LEG,049BED
2011,1,Tennessee,Physical Activity,Bicycling,Community,Traffic Safety,LEG,005BIK
2005,1,Illinois,Nutrition,Medical Care,Community,Park Zone Speed Limits,LEG,026MEC
2011,1,Arizona,Obesity,Menu Labeling,Community,City and County Planning and Aggregate Resources,LEG,032MNL
2001,1,Arkansas,Nutrition,Correctional Facilities Farms Programs,Community,An Act to Make an Appropriation    <br>,LEG,018CFP
2011,1,Rhode Island,Nutrition,Incentives,Community,Minority Health Disparities,LEG,029INC
2010,1,Minnesota,Nutrition,Liability and Indemnity,Community,Capital Improvements,LEG,030LAI
2011,1,Alabama,Physical Activity,Bicycling,Community,Rules of the Road Concerning Bicyclists,LEG,005BIK
2011,1,Illinois,Nutrition,Access to Healthy Foods,Restaurant/Retail,Food Handling Regulation Enforcement,LEG,001AHF
2011,1,Tennessee,Nutrition,Access to Healthy Foods,Restaurant/Retail,Taxes,LEG,001AHF
2010,1,Virginia,Obesity,Food Restrictions,Community,Food Standards for Agency Meals,LEG,020FOR
2011,1,Minnesota,Nutrition,Agriculture and Farming,Restaurant/Retail,Agriculture,LEG,017AGF
2013,1,New York,Nutrition,Breastfeeding,Early Care and Education,Omnibus Obesity and Respiratory Illness Reduction Act,LEG,007BFD
2009,1,Florida,Nutrition,Disparities/Equity,Community,Sales and Use Tax,LEG,013DEQ
2009,1,Mississippi,Nutrition,Appropriations,Community,Sales Taxation,LEG,002APP
2009,1,Indiana,Nutrition,Farmers Markets,Community,Farmers Markets and Roadside Stands,LEG,016FAM
2011,1,Ohio,Nutrition,Appropriations,Community,Underserved Community Grocery Store Tax Credits,LEG,002APP
2008,1,Utah,Physical Activity,Appropriations,Community,Urban Trails Appropriation,LEG,002APP
2009,1,California,Nutrition,Medical Care,Community,Budget Act of 2009: Revisions,LEG,026MEC
2001,1,Georgia,Physical Activity,Initiatives and Programs,School/After School,Senate Resolution<br>,LEG,053INP
2013,1,Oklahoma,Nutrition,Farmers Markets,Community,An Act Relating to Revenue and Taxation,LEG,016FAM
2010,1,Delaware,Obesity,Appropriations,Community,2010 Appropriations,LEG,002APP
2011,1,Iowa,Nutrition,Agriculture and Farming,Restaurant/Retail,Production and Marketing of Local Foods,LEG,017AGF
2010,1,Minnesota,Nutrition,Farmers Markets,School/After School,Education Finance,LEG,016FAM
2010,1,New Mexico,Obesity,Appropriations,Community,Parks and Recreation Authority,LEG,002APP
2012,1,New York,Physical Activity,Incentives,School/After School,Relates to Obesity Prevention<br>,LEG,029INC
2009,1,Pennsylvania,Obesity,Appropriations,School/After School,Education Code,LEG,002APP
2012,1,Vermont,Nutrition,Agriculture and Farming,Community,Promotion and Marketing of Vermont Foods and Products<br>,LEG,017AGF
2009,1,Massachusetts,Nutrition,Appropriations,Community,Food Policy Council,LEG,002APP
2009,1,Missouri,Nutrition,Farmers Markets,Community,State and Local Sales Tax Exemption,LEG,016FAM
2009,1,Michigan,Nutrition,Farm Direct Foods,School/After School,Recreational Authorities Act,LEG,015FDF
2011,1,Texas,Obesity,Menu Labeling,Community,Rowlett Pecan Grove Management District Creation,LEG,032MNL
2011,1,Nevada,Physical Activity,Disabilities,School/After School,Use of Athletic Fields for Youth Sports,LEG,011DIS
2011,1,Hawaii,Obesity,Appropriations,Community,Salt Lake District Park Master Plan,LEG,002APP
2009,1,Wisconsin,Physical Activity,Pedestrians/Walking,Community,Bicycle and Pedestrian Accommodations,REG,052PED
2009,1,New York,Obesity,Incentives,Restaurant/Retail,Tax on Beverage Syrups and Soft Drinks,LEG,029INC
2005,1,Illinois,Obesity,Appropriations,Community,Omnibus Appropriations,LEG,002APP
2005,1,Vermont,Nutrition,Farm Direct Foods,School/After School,Vermont Products,LEG,015FDF
2010,1,Washington,Obesity,Food Restrictions,Restaurant/Retail,Washington Food Policy Forum,LEG,020FOR
2010,1,Illinois,Nutrition,Farm Direct Foods,Community,Farmers Markets,LEG,015FDF
2015,1,New York,Physical Activity,Physical Education Requirements,School/After School,Physical Education/Activity Pilot,LEG,036PER
2009,1,Iowa,Nutrition,Farmers Markets,Community,Local Food and Farm Task Force,LEG,016FAM
2011,1,California,Obesity,Food Restrictions,Community,State Planning,LEG,020FOR
2011,1,New York,Obesity,Disparities/Equity,Community,Condition of African American Men Study,LEG,013DEQ
2012,3,North Carolina,Obesity,Initiatives and Programs,Early Care and Education,The Current Operations and Capital Improvements Appropriations Act of 2012,LEG,053INP
2011,1,New York,Nutrition,Access to Healthy Foods,School/After School,Prohibiting the Sale of Certain Foods and Beverages<br>,LEG,001AHF
2011,1,New York,Nutrition,Food Security,Community,Community Food Security Program,LEG,023FOS
2009,1,Massachusetts,Physical Activity,Bicycling,Community,Student Nutrition and Wellness,LEG,005BIK
2011,1,Florida,Physical Activity,Bicycling,Community,Utility Relocation,LEG,005BIK
2011,1,Idaho,Physical Activity,Public Safety,Community,Urban Renewal,LEG,039SAF
2011,1,Washington,Obesity,Appropriations,School/After School,Student Focused State Level Education Governance System,LEG,002APP
2010,1,Louisiana,Nutrition,Appropriations,Early Care and Education,Child Placing Agencies,REG,002APP
2011,1,California,Obesity,Appropriations,Community,Budget Act of 2011,LEG,002APP
2011,1,Oklahoma,Obesity,Health Insurance Coverage,School/After School,School Property,LEG,028HIC
2011,1,Maine,Nutrition,Food Assistance Programs,Work Place,Individual and Small Group Health Plans,LEG,003FAP
2011,1,Vermont,Physical Activity,Bicycling,Community,Capital Construction Appropriations,LEG,005BIK
2011,1,Texas,Physical Activity,Public Transportation,Community,Specific Management District Creation and Tax,LEG,040TRS
2009,1,Florida,Physical Activity,School Siting,School/After School,Growth Management,LEG,042SIT
2005,1,Maryland,Obesity,Food Restrictions,School/After School,Health and Nutrition in Public Schools,LEG,020FOR
2012,1,New York,Nutrition,Task Forces/Councils,Restaurant/Retail,An Act to Combat the Incidence of Adult and Childhood Obesity<br>,LEG,047TFC
2009,1,Virginia,Nutrition,Appropriations,Community,Budget Bill,LEG,002APP
2011,1,New Mexico,Obesity,Appropriations,Community,Sweetened Beverage Excise Tax Act,LEG,002APP
2011,1,Michigan,Nutrition,Food Assistance Programs,Work Place,Uniform Employee Health Care,LEG,003FAP
2011,1,Maryland,Obesity,Food Restrictions,Restaurant/Retail,Maryland Food and Nutrition Policy Council,LEG,020FOR
2006,1,Mississippi,Obesity,Task Forces/Councils,School/After School,Local School Health Councils,LEG,047TFC
2010,1,Tennessee,Physical Activity,Physical Education Requirements,School/After School,Student Physical Activity,LEG,036PER
2010,1,Hawaii,Nutrition,Agriculture and Farming,Restaurant/Retail,Aliomanu Road Reconstruction,LEG,017AGF
2010,1,Maryland,Nutrition,Farm Direct Foods,Restaurant/Retail,Program Open Space,LEG,015FDF
2010,1,Washington,Obesity,Incentives,Restaurant/Retail,Taxation,LEG,029INC
2014,4,District of Columbia,Nutrition,Farm Direct Foods,Community,Food Policy Council,LEG,015FDF
2009,1,Georgia,Obesity,Appropriations,Community,Social Services,LEG,002APP
2009,1,New York,Obesity,Body Mass Index (BMI),Community,State Agencies And Public Authorities Smart Growth,LEG,006BMI
2009,1,New York,Obesity,Appropriations,Community,Parking in a Bicycle Lane Violations,LEG,002APP
2010,1,California,Nutrition,Appropriations,Restaurant/Retail,"Agriculture: Fruits, Nuts, Vegetables: State Grown Act",LEG,002APP
2012,1,West Virginia,Nutrition,Agriculture and Farming,Community,Making Appropriations of Public Money out of the Treasury<br>,LEG,017AGF
2010,1,Illinois,Nutrition,Medical Care,School/After School,Childhood Obesity,LEG,026MEC
2005,1,Kansas,Physical Activity,Physical Activity Requirements,School/After School,Food and Beverages Available to Students,LEG,035PAR
2009,1,Pennsylvania,Obesity,Food Restrictions,Community,Food Safety,LEG,020FOR
2011,1,Mississippi,Nutrition,Incentives,Community,Fruits and Vegetables Sales Tax,LEG,029INC
2011,1,Massachusetts,Nutrition,Agriculture and Farming,Restaurant/Retail,Distribution of Raw Milk,LEG,017AGF
2010,1,Vermont,Physical Activity,Appropriations,Community,Amendment to the Charter of the City of Burlington,LEG,002APP
2011,1,Arkansas,Physical Activity,Physical Activity Requirements,School/After School,Appropriation to the Department of Human Services,LEG,035PAR
2010,1,Wisconsin,Nutrition,Agriculture and Farming,Restaurant/Retail,Food Produced in This State,LEG,017AGF
2011,1,Vermont,Physical Activity,Public Transportation,Community,Transportation Program,LEG,040TRS
2010,1,Tennessee,Physical Activity,Public Safety,Community,Redevelopment Projects,LEG,039SAF
2011,1,Vermont,Nutrition,Access to Healthy Foods,Community,Agriculture Economic Development,LEG,001AHF
2013,1,California,Physical Activity,Task Forces/Councils,Community,An Act Relating to the Environment,LEG,047TFC
2003,1,Rhode Island,Nutrition,Incentives,Community,Youth Obesity,LEG,029INC
2008,1,Louisiana,Obesity,Initiatives and Programs,Community,House  Resolution<br>,LEG,053INP
2008,1,Virginia,Nutrition,Appropriations,School/After School,Board of Education Database on Nutrition and Fitness,LEG,002APP
2011,1,Nevada,Physical Activity,Bicycling,Community,Military Installations,LEG,005BIK
2010,1,New Jersey,Nutrition,Breastfeeding,Work Place,Breast Feeding Civil Right Protection,LEG,007BFD
2009,1,Washington,Nutrition,Agriculture and Farming,Community,Supplemental Operating Appropriations,LEG,017AGF
2011,1,Washington,Physical Activity,Built Environment and Street-Scale Design,Community,"Requires providing for the needs of public transportation, bicyclists, and pedestrians in all city planning, Allows any city or town to use funds available for bicycle paths and pedestrian walkways.<br>",LEG,049BED
2011,1,Maryland,Nutrition,Agriculture and Farming,Restaurant/Retail,Maryland Livestock and Poultry Care Advisory Board,LEG,017AGF
2011,1,Montana,Obesity,Appropriations,Restaurant/Retail,Tobacco Product Taxes,LEG,002APP
2009,1,Minnesota,Obesity,Appropriations,Community,Economic Development,LEG,002APP
2012,4,California,Nutrition,Access to Healthy Foods,Community,Qualified Residential Rental Projects,REG,001AHF
2011,1,Missouri,Nutrition,Agriculture and Farming,Restaurant/Retail,Farm to Table Advisory Board,LEG,017AGF
2009,1,Missouri,Physical Activity,Physical Education Requirements,School/After School,School District Records,LEG,036PER
2009,1,Wisconsin,Physical Activity,Bicycling,School/After School,Budget Act,LEG,005BIK
2012,1,Hawaii,Nutrition,Incentives,School/After School,An Act Relating to Agriculture,LEG,029INC
2011,1,Hawaii,Obesity,Health Insurance Coverage,Community,Medicaid,LEG,028HIC
2003,1,Illinois,Nutrition,Disparities/Equity,Community,An Act Making Appropriations<br>,LEG,013DEQ
2010,1,Maryland,Nutrition,Incentives,Community,Blue Ribbon Commission on Transportation Funding,LEG,029INC
2009,1,Nevada,Physical Activity,Physical Education Requirements,School/After School,Physical Activity in Public Schools,LEG,036PER
2010,1,Wisconsin,Nutrition,Agriculture and Farming,School/After School,Locally Grown Food in School Meals,LEG,017AGF
2007,1,Iowa,Obesity,Appropriations,Community,Relating To And Making Appropriations Involving St,LEG,002APP
2009,1,New York,Nutrition,Agriculture and Farming,Community,Provisions Relating to Retail Farm Operations,LEG,017AGF
2011,1,California,Nutrition,Farm Direct Foods,Community,Food and Agriculture<br>,REG,015FDF
2011,1,Montana,Nutrition,Agriculture and Farming,Medical and/or Hospital,Healthy Choices by Medicaid Recipients,LEG,017AGF
2009,1,New Hampshire,Obesity,Food Restrictions,Community,Farmers Markets,LEG,020FOR
2011,1,Utah,Physical Activity,"Parks, Recreation and Trails",Community,Outdoor Activities for Children,LEG,034PRT
2009,1,Massachusetts,Nutrition,School Nutrition,School/After School,Trans Fat in School Served Products,LEG,043SNU
2010,1,Missouri,Nutrition,Fruits and Vegetables,School/After School,Farm to Institution Initiative,LEG,025FAV
2011,1,Maine,Obesity,Appropriations,Community,Local Food Production,LEG,002APP
2010,1,Arizona,Obesity,Body Mass Index (BMI),Community,County Planning and Zoning,LEG,006BMI
2010,1,New Jersey,Nutrition,Appropriations,Community,Economic Development Promotion Act,LEG,002APP
2001,1,New York,Nutrition,Appropriations,Community,An Act to Implement Language Qualifying Appropriations<br>,LEG,002APP
2004,1,Illinois,Nutrition,Appropriations,Community,Nutrition Outreach and Public Education Act,LEG,002APP
2011,1,Indiana,Obesity,Appropriations,Community,Complete Streets Guidelines,LEG,002APP
2012,1,West Virginia,Physical Activity,Disabilities,School/After School,Free Appropriate Public Education<br>,REG,011DIS
2010,1,North Carolina,Obesity,Task Forces/Councils,Community,Legislative Task Force on Childhood Obesity,LEG,047TFC
2011,1,Illinois,Obesity,Liability and Indemnity,Restaurant/Retail,Home Rule County Soft Drink Retailers' Occupation Tax,LEG,030LAI
2016,4,Texas,Physical Activity,Disabilities,Community,Transportation Alternatives Set-Aside Program,REG,011DIS
2009,1,New York,Obesity,Incentives,Community,Additional Taxes,LEG,029INC
2005,1,Pennsylvania,Nutrition,Initiatives and Programs,Community,House  Resolution<br>,LEG,053INP
2010,1,Rhode Island,Nutrition,Food Assistance Programs,Medical and/or Hospital,Insurance,LEG,003FAP
2011,1,Alabama,Nutrition,Medical Care,Community,Rules of the Road Concerning Bicyclists,LEG,026MEC
2009,1,Ohio,Physical Activity,Physical Education Requirements,School/After School,Healthy Students Act,LEG,036PER
2011,1,Kentucky,Nutrition,Agriculture and Farming,Community,Legislative Resolution,LEG,017AGF
2010,1,Hawaii,Nutrition,Trans Fats,Restaurant/Retail,Trans Fats,LEG,050FAT
2009,1,Massachusetts,Obesity,Appropriations,Community,Food Policy Council,LEG,002APP
2011,1,New Jersey,Physical Activity,Disparities/Equity,Community,Treatment of Mixed Use Projects Under Urban Transit,LEG,013DEQ
2009,1,Michigan,Nutrition,Appropriations,School/After School,Recreational Authorities Act,LEG,002APP
2011,1,Texas,Physical Activity,Pedestrians/Walking,Community,Rowlett Pecan Grove Management District Creation,LEG,052PED
2015,1,Minnesota,Physical Activity,Disparities/Equity,Community,"""Programs to support bicycle, pedestrian, and other nonmotorized transportation activities""",LEG,013DEQ
2011,1,Minnesota,Physical Activity,Appropriations,Community,Capital Investment,LEG,002APP
2011,1,Minnesota,Nutrition,Medical Care,Community,Capital Investment,LEG,026MEC
2011,1,New York,Nutrition,Disparities/Equity,Medical and/or Hospital,Adult Day Services Respite Demonstration Programs,LEG,013DEQ
2009,1,Missouri,Obesity,Sugar Sweetened Beverages,School/After School,School Districts,LEG,046SSB
2011,1,New York,Nutrition,Appropriations,Restaurant/Retail,Nutrition Standards for Restaurants,LEG,002APP
2005,1,Illinois,Physical Activity,Public Safety,School/After School,Safe Routes to School Construction Program,LEG,039SAF
2010,1,Mississippi,Physical Activity,Appropriations,School/After School,Healthier School Initiative,LEG,002APP
2005,1,Delaware,Physical Activity,Appropriations,School/After School,Statewide Health Advisory Council,LEG,002APP
2011,1,Montana,Nutrition,Agriculture and Farming,Community,Appropriations by Budget Amendment,LEG,017AGF
2011,1,Hawaii,Physical Activity,Public Transportation,Community,Taxation,LEG,040TRS
2009,1,Connecticut,Physical Activity,Appropriations,School/After School,Funding of School Construction Projects,LEG,002APP
2010,1,Hawaii,Obesity,Health Insurance Coverage,Medical and/or Hospital,Coverage for Weight Management,LEG,028HIC
2010,1,District of Columbia,Obesity,Appropriations,Restaurant/Retail,Bellevue Small Area Action Plan,LEG,002APP
2010,1,New York,Obesity,Food Restrictions,Restaurant/Retail,Farmers Markets Facilities Construction Program,LEG,020FOR
2009,1,Michigan,Nutrition,Breastfeeding,Work Place,Employment Discrimination,LEG,007BFD
2011,1,Hawaii,Nutrition,Appropriations,Medical and/or Hospital,Tax Credits,LEG,002APP
2012,1,North Carolina,Nutrition,Fruits and Vegetables,School/After School,An Act to Encourage Use of the Farm to School Program<br>,LEG,025FAV
2011,1,Utah,Nutrition,Appropriations,Community,Management of Junior Livestock Show Appropriation,REG,002APP
2009,1,Mississippi,Nutrition,Food Assistance Programs,Medical and/or Hospital,Obesity,LEG,003FAP
2011,1,Florida,Obesity,Menu Labeling,Community,Growth Management,LEG,032MNL
2011,1,Minnesota,Physical Activity,"Parks, Recreation and Trails",Community,City of Clearwater Sales Tax Provisions,LEG,034PRT
2010,1,District of Columbia,Nutrition,Incentives,Community,Supermarket Tax Exemptions,LEG,029INC
