artist,title,album
firehouse,love of a lifetime,don't treat me bad
they might be giants,absolutely bill's mood,they might be giants
hootie and the blowfish,use me,scattered smothered and covered
john mellencamp,jack and diane,american fool
the simpsons,lisa's sax (medley),go simpsonic with the simpsons
saigon kick,love is on the way,the lizard
offspring,original prankster,conspiracy of one
backstreet boys,i want it that way,millenium
daughtry,home,daughtry
weezer,why bother?,pinkerton
les mis&eacute;rables,back at the barricade,les mis&eacute;rables soundtrack
brooks and dunn,boot scootin' boogie,brand new man
cake,stickshifts and safetybelts,fashion nugget
joss stone,the chokin' kind,the soul sessions
britney spears,don't let me be the last to know,oops! i did it again
sheryl crow,love is free,detours
jack johnson,f-stop blues,brushfire fairytales
barenaked ladies,the old apartment,rock spectacle
itayp&uacute;,acuarela de sikus,folklore latinamericano vol. ii
the simpsons,itchy &amp; scratchy main title theme,songs in the key of springfield
jerry goldsmith,the dish,star trek first contact soundtrack
cake,nugget,fashion nugget
lisa loeb,firecracker,firecracker
phil collins,true colors,hits
will smith,just the two of us,big willie style
jack johnson,gone,on and on
the simpsons,the simpsons end credits,testify
police,don't stand so close to me,zenyatta mondatta
the simpsons,cash and cary,go simpsonic with the simpsons
crowded house,don't dream it's over,crowded house
josh groban,o holy night,josh groban in concert
aquabats,the wild sea,myths legends and other amazing adventures vol. 2
3 doors down,running out of days,away from the sun
five for fighting,world,two lights
tracy chapman,i am yours,let it rain
moby,natural blues,play
selena,dreaming of you,dreaming of you
indigo girls,go,come on now social
simon and garfunkel,el condor pasa (if i could),bridge over troubled water
reel big fish,she has a girlfriend now,turn the radio off
killers,enterlude,sam's town
the simpsons,school day,sing the blues
they might be giants,in the middle in the middle in the middle,no!
red hot chili peppers,warm tape,by the way
michael mclean,let him in (the innkeeper),the forgotten carols
they might be giants,the house at the top of the tree,no!
journey,lights,infinity
they might be giants,why does the sun shine? (the sun is a mass of incandescent gas),why does the sun shine?
mormon tabernacle choir,consider the lilies,consider the lilies
sheryl crow,it don't hurt,globe sessions
live,top,throwing copper
greg simpson,north star,especially for youth - joy in the journey (1998)
they might be giants,toddler hiway,they might be giants
phil collins,dance into the light,dance into the light
romantics,talking in your sleep,in heat
maroon 5,secret,songs about jane
franz ferdinand,take me out,franz ferdinand
goo goo dolls,truth is a whisper,gutterflower
weird al yankovic,money for nothing,uhf soundtrack
cake,mr. mastodon farm,motorcade of generosity
annie lennox,no more i love you's,medusa
kenny loggins,cody's song,leap of faith
rem,the one i love,document
michael mclean,homeless reprise,the forgotten carols
counting crows,omaha,august and everything after
celine dion,the power of love,the colour of my love
dido,white flag,life for rent
they might be giants,fibber island,no!
counting crows,holiday in spain,hard candy
stray cats,rock this town,stray cats
weird al yankovic,everything you know is wrong,bad hair day
duran duran,come undone,duran duran [the wedding album]
olga ta&ntilde;&oacute;n,como olvidar (merengue),yo por ti
reel big fish,join the club,turn the radio off
garth brooks,wrapped up in you,scarecrow
aquabats,now stand back for your own safety!,charge!!
duncan sheik,barely breathing,duncan sheik
bangles,walk like an egyptian,different light
barenaked ladies,jane,maybe you should drive
sheryl crow,wildflower,wildflower
everclear,everything to everyone,so much for the afterglow
brian setzer orchestra,the house is rockin',guitar slinger
cake,rock 'n' roll lifestyle,motorcade of generosity
ben folds,losing lisa,rockin' the suburbs
starship,nothing's gonna stop us now,no protection
blessid union of souls,i believe,home
les mis&eacute;rables,master of the house,les mis&eacute;rables soundtrack
alison krauss,when you say nothing at all,keith whitley: tribute
dave matthews band,the last stop,before these crowded streets
u2,new year's day,war
dave matthews band,smooth rider,stand up
linkin park,what i've done,minutes to midnight
3 doors down,when i'm gone,away from the sun
alannah myles,black velvet,alannah myles
jamiroquai,virtual insanity,travelling without moving
shawn colvin,polaroids,fat city
man&aacute;,c&oacute;mo te deseo,donde jugaran los ni&ntilde;os?
platters,smoke gets in your eyes,
snap,rhythm is a dancer,the madman's return
they might be giants,hall of heads,apollo 18
andrew lloyd webber,all i ask of you,phantom of the opera
les mis&eacute;rables,stars,les mis&eacute;rables soundtrack
lisa loeb,wishing heart,firecracker
weird al yankovic,headline news,greatest hits volume ii (weird al yankovic)
aquabats,anti-matter,the floating eye of death
billy joel,only the good die young,the stranger
they might be giants,exquisite dead guy,factory showroom
metallica,holier than thou,metallica
mr. big,to be with you,lean into it
the simpsons,look at all those idiots,sing the blues
falco,rock me amadeus,falco 3
red hot chili peppers,venice queen,by the way
guns n' roses,knocking on heaven's door,use your illusion ii
the simpsons,'round springfield,songs in the key of springfield
squirrel nut zippers,put a lid on it,hot
smashing pumpkins,x.y.u.,mellon collie and the infinite sadness - twilight to starlight
no doubt,ex-girlfriend,return of saturn
jimmy cliff,i can see clearly now,cool runnings soundtrack
they might be giants,spider,apollo 18
melissa etheridge,breathe,lucky
they might be giants,road movie to berlin,flood
naked eyes,always something there to remind me,naked eyes
jack johnson,mediocre bad guys,on and on
jewel,jesus loves you,this way
barenaked ladies,call and answer,stunt
david barrus,you're not alone,on stage
mozart,piano sonata in a - rondo alla turca,
weird al yankovic,the weird al show theme,running with scissors
styx,mr. roboto,kilroy was here
rem,man on the moon,automatic for the people
goo goo dolls,let love in,let love in
romantics,what i like about you,the romantics
green day,tired of waiting for you,shenanigans
squirrel nut zippers,pallin' with al,perennial favorites
maroon 5,this love,songs about jane
alanis morissette,head over feet,jagged little pill
toad the wet sprocket,good intentions,friends soundtrack
natalie merchant,i'm not gonna beg,motherland
phil collins,easy lover,hits
hootie and the blowfish,i will wait,musical chairs
vapors,turning japanese,new clear days
les mis&eacute;rables,i dreamed a dream,les mis&eacute;rables soundtrack
david cook,eleanor rigby,
fray,how to save a life,how to save a life
dan hartman,i can dream about you,streets of fire soundtrack
seal,human beings,human being
mariah carey,without you,music box
norah jones,don't know why,come away with me
barenaked ladies,helicopters,maroon
norah jones,sunrise,feels like home
madonna,holiday,madonna
squirrel nut zippers,just this side of blue,bedlam ballroom
live,i alone,throwing copper
they might be giants,why does the sun shine,severe tire damage
big audio dynamite ii,rush (new york city club version),so i married an axe murderer soundtrack
moby,bodyrock,play
david barrus,bring him home,on stage
better than ezra,good,deluxe
northern voices,hold on to the child,faithful
james taylor,up er mei,hourglass
david archuleta,sweet caroline,
beastie boys,fight for your right,licensed to ill
the simpsons,jingle bells,songs in the key of springfield
andrew lloyd webber,the point of no return,phantom of the opera
michael johns,we will rock you / we are the champions,
dave matthews band,louisiana bayou,stand up
n sync,tearin' up my heart,n sync
kris kross,jump,totally krossed out
weird al yankovic,harvey the wonder hamster,alapalooza
they might be giants,museum of idiots,the spine
counting crows,sundays,saturday nights &amp; sunday mornings
goo goo dolls,sympathy,gutterflower
killers,my list,sam's town
aquabats,super rad!,the fury of the aquabats
tracy chapman,broken,let it rain
sarah mclachlan,path of thorns,mirrorball
puff daddy,i'll be missing you,no way out
shakira,objection,laundry service
weird al yankovic,jerry springer,running with scissors
weird al yankovic,alimony,even worse
beethoven,minuet,
postal service,such great heights,give up
perry como,catch a falling star,
dave matthews band,everyday,everyday
simon and garfunkel,scarborough fair-canticle,parsley sage rosemary and thyme
omc,how bizarre,how bizarre
weird al yankovic,addicted to spuds,polka party!
ricardo montaner,cada quien con cada cual,sue&ntilde;o repetido
goo goo dolls,strange love,let love in
jack johnson,never know,in between dreams
wallflowers,heroes,godzilla soundtrack
gershwin,someone to watch over me,
corrs,una noche,in blue
enya,on my way home,paint the sky with stars:  the best of enya
journey,lovin' touchin' squeezin',evolution
chumbawamba,the big issue,tubthumper
dave matthews band,american baby intro,stand up
the simpsons,union strike folk song,go simpsonic with the simpsons
goo goo dolls,you never know,gutterflower
forever plaid,gotta be this or that - undecided,forever plaid soundtrack
counting crows,raining in baltimore,august and everything after
jerry goldsmith,fully functional,star trek first contact soundtrack
big bad voodoo daddy,the boogie bumper,big bad voodoo daddy
foo fighters,my hero,the colour and the shape
aquabats,hey luno!,myths legends and other amazing adventures vol. 2
james taylor,mexico,gorilla
itayp&uacute;,la adelita,folklore latinamericano vol. ii
weird al yankovic,eat it,in 3-d
wham,wake me up before you go-go,make it big
the simpsons,eye on springfield theme,songs in the key of springfield
moby,run on,play
aquabats,danger woman!,myths legends and other amazing adventures vol. 2
northern voices,lost in the work,faithful
julian lennon,cole's song,mr. holland's opus soundtrack
scott mckenzie,san francisco (be sure to wear flowers in your hair),voice of scott mckenzie
dionne farris,i know,wild seed - wild flower
squirrel nut zippers,bent out of shape,bedlam ballroom
simon and garfunkel,the sounds of silence,sounds of silence
cake,i bombed korea,motorcade of generosity
dashboard confessional,screaming infidelities,the places you have come to fear the most
the simpsons,hullaba lula (feat. kelsey grammar) (unaired bonus track),testify
3 doors down,this time,away from the sun
garth brooks,friends in low places,no fences
hootie and the blowfish,innocence,hootie and the blowfish
creedence clearwater revival,fortunate son,willy and the poor boys
police,wrapped around your finger,synchronicity
counting crows,miller's angels,recovering the satellites
michael mclean,let it go,you've always been there for me
they might be giants,i can't hide from my mind,the spine
dave matthews band,you might die trying,stand up
coldplay,clocks,a rush of blood to the head
hootie and the blowfish,one love,looking for lucky
the simpsons,scorpio end credits,go simpsonic with the simpsons
joe public,live and learn,live and learn
sheryl crow,out of our heads,detours
wallflowers,closer to you,red letter days
jewel,near you always,pieces of you
la ley,el duelo,mtv unplugged (la ley)
eric clapton,swing low sweet chariot,there's one in every crowd
aquabats,magic chicken!,the fury of the aquabats
squirrel nut zippers,the interlocutor,hot
chesney hawkes,one and only,one and only
sarah mclachlan,good enough,mirrorball
weird al yankovic,your horoscope for today,running with scissors
joan osborne,man in the long black coat,relish
shawn colvin,wichita skyline,a few small repairs
paul simon,you can call me al,graceland
duran duran,hungry like the wolf,rio
