artist,title,album
jack johnson,mediocre bad guys,on and on
beatles,yellow submarine,yellow submarine
fastball,fire escape,all the pain money can buy
richard marx,the way she loves me,paid vacation
culture club,karma chameleon,colour by numbers
dave matthews band,where are you going,busted stuff
marcels,blue moon,blue moon
jewel,go tell it on the mountain - life uncommon - from a distance,joy: a holiday collection
they might be giants,bed bed bed,no!
chumbawamba,creepy crawling,tubthumper
david archuleta,when you believe,
hootie and the blowfish,tucker's town,fairweather johnson
barenaked ladies,helicopters,maroon
arrested development,tennessee,3 years 5 months &amp; 2 days in the life of--
barenaked ladies,go home,maroon
jack johnson,banana pancakes,in between dreams
les mis&eacute;rables,the attack on rue plumet,les mis&eacute;rables soundtrack
weird al yankovic,dare to be stupid,dare to be stupid
gorillaz,clint eastwood,gorillaz
tracy chapman,happy,let it rain
green day,extraordinary girl,american idiot
shawn colvin,you and the mona lisa,a few small repairs
ugly kid joe,cat's in the cradle,america's least wanted
weezer,pink triangle,pinkerton
flaming lips,she don't use jelly,transmissions from the satellite heart
journey,when you love a woman,trial by fire
tlc,no scrubs,fanmail
john williams,bugler's dream (1992 olympic theme),summon the heroes
shania twain,you've got a way,come on over
michael jackson,the way you make me feel,bad
aquabats,demolition rickshaw!,charge!!
sheryl crow,over you,c'mon c'mon
david barrus,bring him home,on stage
barenaked ladies,baby seat,maroon
phil collins,one more night,no jacket required
natalie merchant,the letter,tigerlily
kenny g,forever in love,breathless
blur,song 2,blur
andrew lloyd webber,learn to be lonely,phantom of the opera
collective soul,sister don't cry,hints allegations and things left unsaid
killers,where the white boys dance,sam's town
cake,where would i be?,prolonging the magic
fulanito,callate,americanizao
moby,find my baby,play
r. kelly and celine dion,i'm your angel,these are special times
vivaldi,summer - 3rd movement,
starship,sara,knee deep in the hoopla
bach,toccata and fugue in d minor,
sting,brand new day,brand new day
squirrel nut zippers,the kraken,perennial favorites
michael mclean,homeless reprise,the forgotten carols
david cook,i'm alive,
john mellencamp,teardrops will fall,trouble no more
cake,carbon monoxide,pressure chief
goo goo dolls,name,a boy named goo
counting crows,you can't count on me,saturday nights &amp; sunday mornings
sarah mclachlan,hold on,mirrorball
barenaked ladies,conventioneers,maroon
sheryl crow,peace be upon us,detours
boyz ii men,motownphilly,cooleyhighharmony
sugar ray,when it's over,sugar ray
lit,happy in the meantime,atomic
indigo girls,ghost,rites of passage
chumbawamba,amnesia,tubthumper
backstreet boys,i want it that way,millenium
andrew lloyd webber,wishing you were somehow here again,phantom of the opera
creed,my sacrifice,weathered
the simpsons,krusty the clown main title,go simpsonic with the simpsons
they might be giants,extra savoir-faire,john henry
boyz ii men,yesterday,ii
bizet,carmen suite no. 1,
michael bolton,can i touch you...there,greatest hits (1985-1995)
firehouse,when i look into your eyes,hold your fire
roxette,joyride,joyride
john williams,superman (love theme),superman soundtrack
liz draper,i've got to find out who i am,old testament soundtrack
collective soul,perfect day,blender
ben folds,rockin' the suburbs,rockin' the suburbs
beatles,love me do,please please me
blessid union of souls,i wanna be there,blessid union of souls
dave matthews band,stolen away on 55th &amp; 3rd,stand up
beethoven,symphony no. 9,
adam ant,goody two shoes,friend or foe
goo goo dolls,what a scene,gutterflower
beatles,twist and shout,introducing... the beatles
les mis&eacute;rables,the runaway cart,les mis&eacute;rables soundtrack
hootie and the blowfish,michelle post,musical chairs
mr. mister,kyrie,welcome to the real world
deep blue something,a water prayer,home
the simpsons,happy just the way we are,go simpsonic with the simpsons
madonna,holiday,madonna
smashing pumpkins,cupid de locke,mellon collie and the infinite sadness - dawn to dusk
factoria,todav&iacute;a,
wreckx n effect,rump shaker,hard or smooth
jason castro,michelle,
strauss,also sprach zarathrustra,
r. kelly,i believe i can fly,space jam soundtrack
counting crows,monkey,recovering the satellites
the simpsons,union strike folk song,go simpsonic with the simpsons
wallflowers,god don't make lonely girls,bringing down the horse
aquabats,todd-1 in space mountain land!,yo check out this ride!
soup dragons,divine thing,hotwired
the simpsons,itchy &amp; scratchy end credits theme,songs in the key of springfield
aquabats,aquabat march,the return of the aquabats!
reel big fish,everything sucks (clean),turn the radio off
natalie merchant,the worst thing,motherland
everlast,what it's like (clean),whitey ford sings the blues
guns n' roses,knocking on heaven's door,use your illusion ii
they might be giants,mr. xcitement,mink car
eurythmics,here comes the rain again,touch
kenneth cope,my servant joseph,my servant joseph
amy grant,whatever it takes,house of love
david lee roth,just a gigolo,crazy from the heat
they might be giants,lucky ball and chain,flood
madonna,la isla bonita,true blue
duran duran,electric barbarella,medazzaland
alison krauss,down to the river to pray,o brother where art thou? soundtrack
randy newman,you've got a friend in me,toy story soundtrack
dashboard confessional,ghost of a good thing,a mark a mission a brand a scar
shakira,objection,laundry service
they might be giants,mink car,mink car
andrew lloyd webber,angel of music,phantom of the opera
linkin park,shadow of the day,minutes to midnight
they might be giants,stand on your own head,lincoln
rem,it's a free world baby,friends soundtrack
10000 maniacs,because the night,mtv unplugged (10000 maniacs)
ray charles,what'd i say,what'd i say
deep blue something,josey,home
reo speedwagon,can't fight this feeling,wheels are turnin'
vivaldi,autumn - 3rd movement,
madonna,like a prayer,like a prayer
rachmaninoff,rhapsody on a theme of paganini,
hootie and the blowfish,let her cry,cracked rear view
adam sandler,the chanukah song,what the hell happened to me!
savage garden,to the moon and back,savage garden
they might be giants,put your hand inside the puppet head,they might be giants
lenny kravitz,lady,baptism
jewel,jupiter,spirit
jewel,long slow slide,goodbye alice in wonderland
chopin,military polonaise op. 40 no. 1,
weird al yankovic,hardware store,poodle hat
journey,lights,infinity
boyz ii men,i'll make love to you,ii
beatles,i want to hold your hand,meet the beatles
barenaked ladies,some fantastic,stunt
they might be giants,she's an angel,they might be giants
weezer,slob,maladroit
billy joel,she's always a woman,the stranger
goo goo dolls,tucked away,gutterflower
rem,shiny happy people,out of time
green day,give me novacaine,american idiot
rem,imitation of life,reveal
puff daddy,i'll be missing you,no way out
steppenwolf,born to be wild,steppenwolf
aquabats,the baker!,myths legends and other amazing adventures vol. 2
they might be giants,the day,they might be giants
billy joel,it's still rock and roll to me,glass houses
barenaked ladies,light up my room,stunt
weird al yankovic,polka party!,polka party!
vivaldi,winter - 1st movement,
live,i alone,throwing copper
les mis&eacute;rables,a heart full of love,les mis&eacute;rables soundtrack
aretha franklin,respect,i never loved a man the way i love you
aquabats,look at me (i'm a winner)!,charge!!
fastball,the way,all the pain money can buy
barenaked ladies,never is enough,stunt
metallica,the day that never comes,death magnetic
voice male,only one,hooked
g. love and special sauce,cold beverage,g. love and special sauce
they might be giants,man it's so loud in here,mink car
weezer,freak me out,make believe
northern voices,faithful,faithful
michael jackson,bad,bad
chumbawamba,one by one,tubthumper
ben folds,gone,rockin' the suburbs
sarah mclachlan,angel,surfacing
weird al yankovic,germs,running with scissors
billy joel,to make you feel my love,greatest hits volume iii
shawn colvin,if i were brave,a few small repairs
ray parker jr.,ghostbusters,ghostbusters soundtrack
music man,marian the librarian,music man soundtrack
hootie and the blowfish,waltz into me,looking for lucky
chad kroeger,hero,spiderman soundtrack
they might be giants,pencil rain,lincoln
forever plaid,gotta be this or that - undecided,forever plaid soundtrack
weezer,everybody get dangerous,weezer (2008)
the simpsons,all singing all dancing (medley),go simpsonic with the simpsons
jennifer paige,crush,jennifer paige
josh groban,o holy night,josh groban in concert
n sync,bye bye bye,no strings attached
seether and amy lee,broken,the punisher soundtrack
sheryl crow,good is good,wildflower
garth brooks,rodeo,ropin' the wind
metallica,sad but true (s&amp;m),s&amp;m
toad the wet sprocket,all i want,fear
